vrt,Y,X,puvodni zhlavi,zhlaví,skruž,terén,OD,DO,,,MIN Kavernometrie pod 10m,MAX Kavernometrie pod 10m,,,H_BazeQ,BazeQ,H_BazeNg,BazeNg,H_BazeNd,BazeNd,,ID vrtu, 17.-23.6.20 ,8/10/2020,9/10/2020,9/24/2020,10/8/2020,11/9/2020,,11/9/2020
1420-1,699901.798,960971.5,,278.113,277.474,276.995,20.000,40.000,256.995,236.995,180,200,,Ng,,,,,,,,1420_1,26.89,26.97,27.06,,27.13,27.14,,250.973
1420-2,698687.425,960605.71,,289.085,288.560,288.030,39.000,43.000,249.030,245.030,,,,,,,,,43,245.030,,1420_2,suchý,suchý,39.92,,44.00,43.36,,245.725
1420-3stary,698678.565,960615.65,,289.205,288.730,288.080,,,288.080,288.080,,,,,,,,,,,,,,,,,,,,
1420-3,698679.75,960613.72,,289.155,288.690,288.100,56.000,62.000,232.100,226.100,,,,Nd,,,,,62,226.100,,1420_3,48.87,48.81,48.95,,49.05,48.99,,240.165
1420-4,698691.73,960601.18,,289.050,288.490,287.940,21.280,28.940,266.660,259.000,,,,Ng,28.94,259.000,,,,,,1420_4,25.89,25.88,25.77,,25.83,25.81,,263.240
1420-5,698957.08,961032.75,,296.545,295.980,295.390,52.000,64.000,243.390,231.390,,,,Nd,,,,,,,,1420_5,57.55,57.53,57.75,,57.72,57.70,,238.845
1420-6,698402.685,961133.025,,286.385,285.790,285.240,43.000,49.000,242.240,236.240,,,,Nd,27,258.240,49,236.240,,,,1420_6,40.72,40.77,40.87,,41.00,40.94,,245.445
U_1,698010.265,961649.56,,308.760,,311.036,,,311.036,311.036,,,,,,,,311.036,,,,,,,,56.65,,56.65,254.386,254.386
1420-18,697990.46,961350.795,,312.610,312.160,311.593,55.540,74.000,256.053,237.593,,,,Nd,39.800,271.793,55.54,256.053,74,237.593,,1430_18,54.45,58.64,59.50,,59.60,59.56,,253.050
1420_17,697638.23,961467.95,,314.845,314.425,313.830,60.000,76.000,253.830,237.830,,,,Nd,35.000,278.830,55,258.830,76,237.830,,1430_17,57.39,59.65,59.77,,59.87,59.88,,254.965
Uh 2,697325.74,961055.26,308.190,308.190,307.750,307.200,22.000,39.000,285.200,268.200,,,,Ng,22,285.200,39,268.200,,,,,,,,26.49,,26.55,281.700,281.640
1420_7,696648.78,961189.26,,319.390,318.880,318.300,43.220,58.000,275.080,260.300,,,,Ng,33.600,284.700,58,260.300,,,,1420_7,33.59,33.58,33.59,,33.62,33.55,,285.840
GI-1,698164.729,961784.994,307.762,307.762,307.213,306.612,,,,,,,,,,,,,,,,,,,,53.06,,53.1,254.702,254.662
GI-2,697938.049,961986.025,321.927,321.927,321.446,320.941,,,,,,,,,,,,,,,,,,,,66.88,,66.9,255.047,255.027
GI-3,698627.81,961976.76,307.080,307.080,306.420,306.340,,,,,,,,,,,,,,,,,,,,52.34,,52.44,254.740,254.640
JA-1,698245.79,962358.77,276.875,276.875,,,,,,,,,,,,,,,,,,,,,,24.5,,24.67,252.375,252.205
HV-13A,698228.11,962280.24,276.710,277.190,276.840,276.690,,,,,,,,,,,,,,,,,,,,21.91,,21.98,255.280,255.210
H-8a,700072.04,963261.48,316.450,317.000,316.660,316.050,,,,,,,,,,,,,,,,,,,,38.6,,40.49,278.400,276.510
H3-b,702616.963,961039.676,245.271,245.271,244.987,244.487,,,,,,,,,,,,,,,,,,,,67.27,,67.52,178.001,177.751
H-9,702695.78,961633.42,244.280,244.280,244.000,243.510,,,,,,,,,,,,,,,,,,,,12.62,,12.76,231.660,231.520
H-7a,699890.99,962688.21,320.430,320.430,320.095,319.540,,,,,,,,,,,,,,,,,,,,nedostupný,,70.75,#VALUE!,249.680
H6-b,699394.3,960682.69,290.240,290.640,290.210,289.640,,,,,,,,,,,,,,,,,,,,96.17,,96.45,194.470,194.190
H6,699429.34,960673.75,290.510,290.990,290.570,290.010,,,,,,,,,,,,,,,,,,,,120.07,,121.97,170.920,169.020
H5-b,700824.92,961254.32,270.320,271.910,271.390,270.870,,,,,,,,,,,,,,,,,,,,93.42,,93.77,178.490,178.140
H-2a,701951.82,960639.02,246.800,246.800,246.520,246.050,,,,,,,,,,,,,,,,,,,,69.8,,69.98,177.000,176.820
H-3,702614.574,961050.654,245.246,245.246,245.077,244.621,,,,,,,,,,,,,,,,,,,,7.36,,7.23,237.886,238.016
H-4a,699709.763,961413.183,277.135,277.135,276.837,276.338,,,,,,,,,,,,,,,,,,,,96.12,,96.48,181.015,180.655
H4,699694.713,961436.949,277.576,277.576,277.499,277.195,,,,,,,,,,,,,,,,,,,,66.55,,67.38,211.026,210.196
6313_8,691711.85,963091.01,,485.305,484.830,484.290,,,,,,,,,,,,,,,,6413_8,18.92,18.04,18.64,,18.72,15.45,,469.855
1430_9,689830.41,958518.6,,334.380,333.930,333.370,,,,,,,,,,,,,,,,1430_9,24.49,24.34,24.24,,24.12,23.83,,310.550
1430_10,688240.14,959279.37,,348.600,347.390,346.900,,,,,,,,,,,,,,,,1430_10,8.85,8.82,8.79,,8.76,8.57,,340.030
1430_10A,688229.79,959279.86,,348.730,348.300,347.550,,,,,,,,,,,,,,,,1430_10A,6.22,5.85,5.69,,5.69,5.44,,343.290
1430-11,689795.729,957485.622,,311.610,311.036,310.475,,,,,,,,,,,,,,,,1430_11,8.15,8.15,8.17,,8.17,8.13,,303.480
1430-13,690204.234,956548.544,,305.449,304.910,304.353,,,,,,,,,,,,,,,,1430_13,5.15,5.21,5.17,,5.18,5.15,,300.299
1430-14,688345.47,953384.33,,257.160,,257.630,,,,,,,,,,,,,,,,1430_14,přetok,"přetok 0,2 l/s",přetok,,"přetok 0,2 l/s",přetok,,#VALUE!
1430_15,688022.93,951889.97,,257.480,256.820,256.770,,,,,,,,,,,,,,,,1430_15,29.47,29.26,29.27,,29.30,29.07,,228.410
1430-16,688248.16,949543.83,,272.530,272.200,271.610,,,,,,,,,,,,,,,,1430_16,34.87,34.88,34.91,,34.96,34.85,,237.680
Uh-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
