# Version 1.00
#
freq[Hz];re:Smith_S11;im:Smith_S11;re:Magnitude_Z<-S11[Ohm];im:Magnitude_Z<-S11[Ohm];re:Phase_S11;im:Phase_S11;
8.000000000000000E+07;-8.247456086922307E-01;-4.023636169895616E-01;2.261119779852757E+00;-1.152378341527657E+01;-8.247456086922307E-01;-4.023636169895616E-01;
8.050000000000000E+07;-8.456763977069269E-01;-3.539635531566239E-01;2.258631733272879E+00;-1.002215285106007E+01;-8.456763977069269E-01;-3.539635531566239E-01;
8.100000000000000E+07;-8.637098313439265E-01;-3.050814514456697E-01;2.256149310770095E+00;-8.554111595363144E+00;-8.637098313439265E-01;-3.050814514456697E-01;
8.150000000000000E+07;-8.787284652697092E-01;-2.559682970080652E-01;2.257443333246481E+00;-7.119841437057423E+00;-8.787284652697092E-01;-2.559682970080652E-01;
8.200000000000000E+07;-8.908819881660980E-01;-2.063102936285234E-01;2.263203536436345E+00;-5.702331999061975E+00;-8.908819881660980E-01;-2.063102936285234E-01;
8.250000000000000E+07;-9.003443179639316E-01;-1.562991679400567E-01;2.268462155070663E+00;-4.298966806761039E+00;-9.003443179639316E-01;-1.562991679400567E-01;
8.300000000000000E+07;-9.070410310155396E-01;-1.053848872930108E-01;2.277612752143743E+00;-2.888910221768292E+00;-9.070410310155396E-01;-1.053848872930108E-01;
8.350000000000000E+07;-9.111820412319780E-01;-5.314603599965779E-02;2.283209783486843E+00;-1.453888373469486E+00;-9.111820412319780E-01;-5.314603599965779E-02;
8.400000000000000E+07;-9.119435275756980E-01;-1.431765988999010E-03;2.302770704029336E+00;-3.916712347639053E-02;-9.119435275756980E-01;-1.431765988999010E-03;
8.450000000000000E+07;-9.098965890718903E-01;4.960398326643203E-02;2.323560950340890E+00;1.358951608517246E+00;-9.098965890718903E-01;4.960398326643203E-02;
8.500000000000000E+07;-9.048722357824193E-01;1.005936191638271E-01;2.350965563347954E+00;2.764580738705023E+00;-9.048722357824193E-01;1.005936191638271E-01;
8.550000000000000E+07;-8.972019493604754E-01;1.510035974891443E-01;2.377390175105202E+00;4.168862648596547E+00;-8.972019493604754E-01;1.510035974891443E-01;
8.600000000000000E+07;-8.866510210193993E-01;2.008659784274226E-01;2.409895874817871E+00;5.579921722082161E+00;-8.866510210193993E-01;2.008659784274226E-01;
8.650000000000000E+07;-8.731576113356272E-01;2.499190033715809E-01;2.452079274243988E+00;6.998221237581388E+00;-8.731576113356272E-01;2.499190033715809E-01;
8.700000000000000E+07;-8.570305534072685E-01;2.982036657223014E-01;2.495742870943995E+00;8.429814431544074E+00;-8.570305534072685E-01;2.982036657223014E-01;
8.750000000000000E+07;-8.383968676163960E-01;3.455478819742477E-01;2.539039032487850E+00;9.875317989514070E+00;-8.383968676163960E-01;3.455478819742477E-01;
8.800000000000000E+07;-8.170518229960324E-01;3.920628302367528E-01;2.586003680552901E+00;1.134641135322363E+01;-8.170518229960324E-01;3.920628302367528E-01;
8.850000000000000E+07;-7.930834187128105E-01;4.368733211666903E-01;2.644745321444584E+00;1.282655591509752E+01;-7.930834187128105E-01;4.368733211666903E-01;
8.900000000000000E+07;-7.660591214202321E-01;4.803826222695115E-01;2.722396048997872E+00;1.434092582698018E+01;-7.660591214202321E-01;4.803826222695115E-01;
8.950000000000000E+07;-7.369028978620579E-01;5.223104633945300E-01;2.799180225345495E+00;1.587743582228837E+01;-7.369028978620579E-01;5.223104633945300E-01;
9.000000000000000E+07;-7.053365008594893E-01;5.624347843851968E-01;2.886761020023844E+00;1.744251296804876E+01;-7.053365008594893E-01;5.624347843851968E-01;
9.050000000000000E+07;-6.713592486375577E-01;6.011497610612191E-01;2.977912509685360E+00;1.905494553171665E+01;-6.713592486375577E-01;6.011497610612191E-01;
9.100000000000000E+07;-6.353634472097313E-01;6.377238928933526E-01;3.077167180808553E+00;2.069789301946868E+01;-6.353634472097313E-01;6.377238928933526E-01;
9.150000000000000E+07;-5.972991478197527E-01;6.721775606277522E-01;3.186798552089448E+00;2.238213959929907E+01;-5.972991478197527E-01;6.721775606277522E-01;
9.200000000000000E+07;-5.570756813979084E-01;7.045193900358607E-01;3.309315595843752E+00;2.412050162718795E+01;-5.570756813979084E-01;7.045193900358607E-01;
9.250000000000000E+07;-5.150853266596632E-01;7.341656280675597E-01;3.451916211823574E+00;2.590122083987627E+01;-5.150853266596632E-01;7.341656280675597E-01;
