# Version 1.00
#
freq[Hz];re:Smith_S11;im:Smith_S11;re:Magnitude_Z<-S11[Ohm];im:Magnitude_Z<-S11[Ohm];re:Phase_S11;im:Phase_S11;
8.000000000000000E+07;-8.892188335148526E-01;-1.846991241748538E-01;2.430799102089459E+00;-5.125887219707044E+00;-8.892188335148526E-01;-1.846991241748538E-01;
8.050000000000000E+07;-8.977692205390548E-01;-1.304823913783474E-01;2.445518132212887E+00;-3.605926657944124E+00;-8.977692205390548E-01;-1.304823913783474E-01;
8.100000000000000E+07;-9.030264563244811E-01;-7.658995279371023E-02;2.462898971324572E+00;-2.111442508999893E+00;-9.030264563244811E-01;-7.658995279371023E-02;
8.150000000000000E+07;-9.051188167076230E-01;-2.314718308611205E-02;2.482416878935898E+00;-6.376610748078207E-01;-9.051188167076230E-01;-2.314718308611205E-02;
8.200000000000000E+07;-9.041617440230065E-01;2.989868579875146E-02;2.503602633626762E+00;8.243988323852911E-01;-9.041617440230065E-01;2.989868579875146E-02;
8.250000000000000E+07;-9.004684326625053E-01;8.295195354812837E-02;2.518549825004764E+00;2.292338157595966E+00;-9.004684326625053E-01;8.295195354812837E-02;
8.300000000000000E+07;-8.935639305544073E-01;1.363901334029552E-01;2.537899010587520E+00;3.784213957152756E+00;-8.935639305544073E-01;1.363901334029552E-01;
8.350000000000000E+07;-8.832579163845323E-01;1.907715528755771E-01;2.560129700926570E+00;5.324272089952096E+00;-8.832579163845323E-01;1.907715528755771E-01;
8.400000000000000E+07;-8.695531264095980E-01;2.436556978728150E-01;2.595361185568804E+00;6.854664493623423E+00;-8.695531264095980E-01;2.436556978728150E-01;
8.450000000000000E+07;-8.527268065090948E-01;2.952843179967618E-01;2.637432831541127E+00;8.389260845233894E+00;-8.527268065090948E-01;2.952843179967618E-01;
8.500000000000000E+07;-8.325763215629158E-01;3.460401130975509E-01;2.689313115213107E+00;9.949171368683242E+00;-8.325763215629158E-01;3.460401130975509E-01;
8.550000000000000E+07;-8.093459105736336E-01;3.954643222265318E-01;2.748692626217796E+00;1.152915308004834E+01;-8.093459105736336E-01;3.954643222265318E-01;
8.600000000000000E+07;-7.829090078339754E-01;4.434198265384074E-01;2.820897540992173E+00;1.313686403642355E+01;-7.829090078339754E-01;4.434198265384074E-01;
8.650000000000000E+07;-7.535870101218775E-01;4.897153795685773E-01;2.900330765213775E+00;1.477320795059347E+01;-7.535870101218775E-01;4.897153795685773E-01;
8.700000000000000E+07;-7.213301972667610E-01;5.342257481881496E-01;2.990504614808616E+00;1.644593932045369E+01;-7.213301972667610E-01;5.342257481881496E-01;
8.750000000000000E+07;-6.861738599464393E-01;5.768663450260750E-01;3.091834206537321E+00;1.816354355678861E+01;-6.861738599464393E-01;5.768663450260750E-01;
8.800000000000000E+07;-6.482483787319381E-01;6.172399711926017E-01;3.208644324269974E+00;1.992569961766127E+01;-6.482483787319381E-01;6.172399711926017E-01;
8.850000000000000E+07;-6.073875870550113E-01;6.555077108168141E-01;3.341590036652089E+00;2.175319994869297E+01;-6.073875870550113E-01;6.555077108168141E-01;
8.900000000000000E+07;-5.637061648044405E-01;6.910380116861254E-01;3.501917585153346E+00;2.364373792314305E+01;-5.637061648044405E-01;6.910380116861254E-01;
8.950000000000000E+07;-5.179239833577811E-01;7.231389814958424E-01;3.693368354293609E+00;2.557952053627518E+01;-5.179239833577811E-01;7.231389814958424E-01;
9.000000000000000E+07;-4.699202637668795E-01;7.524496936741556E-01;3.905508315405553E+00;2.759413841627896E+01;-4.699202637668795E-01;7.524496936741556E-01;
9.050000000000000E+07;-4.197604151233262E-01;7.789034691388801E-01;4.139523547283478E+00;2.970181606651019E+01;-4.197604151233262E-01;7.789034691388801E-01;
9.100000000000000E+07;-3.675412139492888E-01;8.026082179833121E-01;4.389476385276763E+00;3.192111526391714E+01;-3.675412139492888E-01;8.026082179833121E-01;
9.150000000000000E+07;-3.133057641830186E-01;8.226766173559527E-01;4.685326462083359E+00;3.425579984476734E+01;-3.133057641830186E-01;8.226766173559527E-01;
