# Version 1.00
#
freq[Hz];re:Smith_S11;im:Smith_S11;re:Magnitude_Z<-S11[Ohm];im:Magnitude_Z<-S11[Ohm];re:Phase_S11;im:Phase_S11;
8.000000000000000E+07;-7.721562301697042E-01;-5.111297969001853E-01;2.094794643271773E+00;-1.502531286591053E+01;-7.721562301697042E-01;-5.111297969001853E-01;
8.050000000000000E+07;-7.978394514156201E-01;-4.688619429835484E-01;2.080218224264436E+00;-1.358209838392897E+01;-7.978394514156201E-01;-4.688619429835484E-01;
8.100000000000000E+07;-8.214781483437362E-01;-4.245518665636236E-01;2.071587314737260E+00;-1.213689530643247E+01;-8.214781483437362E-01;-4.245518665636236E-01;
8.150000000000000E+07;-8.429311326453723E-01;-3.782193019908435E-01;2.068364746673145E+00;-1.068583639477800E+01;-8.429311326453723E-01;-3.782193019908435E-01;
8.200000000000000E+07;-8.618879883860606E-01;-3.308025527192445E-01;2.065385953133970E+00;-9.250482676210360E+00;-8.618879883860606E-01;-3.308025527192445E-01;
8.250000000000000E+07;-8.781882791220311E-01;-2.831431296629845E-01;2.059661165169620E+00;-7.848167063629591E+00;-8.781882791220311E-01;-2.831431296629845E-01;
8.300000000000000E+07;-8.917407687084509E-01;-2.350770402730084E-01;2.057505180623795E+00;-6.468922404316937E+00;-8.917407687084509E-01;-2.350770402730084E-01;
8.350000000000000E+07;-9.023763525803893E-01;-1.881224418973974E-01;2.056778160781754E+00;-5.147797496344007E+00;-9.023763525803893E-01;-1.881224418973974E-01;
8.400000000000000E+07;-9.106849355883416E-01;-1.376731821917222E-01;2.066929843308857E+00;-3.751649361423486E+00;-9.106849355883416E-01;-1.376731821917222E-01;
8.450000000000000E+07;-9.160923741003995E-01;-8.618205809764973E-02;2.084183141128090E+00;-2.342643892387899E+00;-9.160923741003995E-01;-8.618205809764973E-02;
8.500000000000000E+07;-9.185280609612912E-01;-3.491925489092513E-02;2.106031246853747E+00;-9.483852873914811E-01;-9.185280609612912E-01;-3.491925489092513E-02;
8.550000000000000E+07;-9.181274769997688E-01;1.552576517807909E-02;2.130762930059131E+00;4.219583909366553E-01;-9.181274769997688E-01;1.552576517807909E-02;
8.600000000000000E+07;-9.150664039987257E-01;6.560344304581922E-02;2.156304693745921E+00;1.786691655867423E+00;-9.150664039987257E-01;6.560344304581922E-02;
8.650000000000000E+07;-9.089628083379677E-01;1.152589354532981E-01;2.194194702022911E+00;3.151369577197270E+00;-9.089628083379677E-01;1.152589354532981E-01;
8.700000000000000E+07;-9.003252615253851E-01;1.645040792649151E-01;2.231164752343291E+00;4.521457373892592E+00;-9.003252615253851E-01;1.645040792649151E-01;
8.750000000000000E+07;-8.887546654185545E-01;2.129415327206857E-01;2.280417725490458E+00;5.894186516424357E+00;-8.887546654185545E-01;2.129415327206857E-01;
8.800000000000000E+07;-8.748249292850577E-01;2.603363570705580E-01;2.329308847976154E+00;7.266396675607084E+00;-8.748249292850577E-01;2.603363570705580E-01;
8.850000000000000E+07;-8.584749558900828E-01;3.071277049769209E-01;2.377129707529342E+00;8.655735493969928E+00;-8.584749558900828E-01;3.071277049769209E-01;
8.900000000000000E+07;-8.394126241271535E-01;3.528323049056887E-01;2.435850180728287E+00;1.005813575283846E+01;-8.394126241271535E-01;3.528323049056887E-01;
8.950000000000000E+07;-8.178206369558682E-01;3.977678544391255E-01;2.497337086138369E+00;1.148724616279496E+01;-8.178206369558682E-01;3.977678544391255E-01;
9.000000000000000E+07;-7.938690161076769E-01;4.411835300667496E-01;2.565911893434659E+00;1.292804232755151E+01;-7.938690161076769E-01;4.411835300667496E-01;
9.050000000000000E+07;-7.671822896853728E-01;4.832802899130155E-01;2.649662778153774E+00;1.439836990205395E+01;-7.671822896853728E-01;4.832802899130155E-01;
9.100000000000000E+07;-7.380436413789014E-01;5.240438789890983E-01;2.741224535169775E+00;1.590219901849980E+01;-7.380436413789014E-01;5.240438789890983E-01;
9.150000000000000E+07;-7.067553223363315E-01;5.626842447339272E-01;2.846820059854751E+00;1.742257524720310E+01;-7.067553223363315E-01;5.626842447339272E-01;
9.200000000000000E+07;-6.734656756406476E-01;5.993742255416953E-01;2.962185327038043E+00;1.896911856362793E+01;-6.734656756406476E-01;5.993742255416953E-01;
9.250000000000000E+07;-6.382944739091801E-01;6.337838731320818E-01;3.093280893616612E+00;2.053944863877462E+01;-6.382944739091801E-01;6.337838731320818E-01;
9.300000000000000E+07;-6.015464066906480E-01;6.660796385472963E-01;3.232051399658922E+00;2.213909344574159E+01;-6.015464066906480E-01;6.660796385472963E-01;
9.350000000000000E+07;-5.631614672404024E-01;6.965535328928241E-01;3.374620088150884E+00;2.378403061255607E+01;-5.631614672404024E-01;6.965535328928241E-01;
