# Version 1.00
#
freq[Hz];re:Smith_S11;im:Smith_S11;re:Magnitude_Z<-S11[Ohm];im:Magnitude_Z<-S11[Ohm];re:Phase_S11;im:Phase_S11;
8.000000000000000E+07;-7.663152407153956E-01;-5.260217183703431E-01;2.002934852424731E+00;-1.548685790668614E+01;-7.663152407153956E-01;-5.260217183703431E-01;
8.050000000000000E+07;-7.926676084013500E-01;-4.847400707382751E-01;1.982020727489014E+00;-1.405601812989311E+01;-7.926676084013500E-01;-4.847400707382751E-01;
8.100000000000000E+07;-8.169373037119944E-01;-4.414579941688330E-01;1.969715628814886E+00;-1.262698848889830E+01;-8.169373037119944E-01;-4.414579941688330E-01;
8.150000000000000E+07;-8.393109886680701E-01;-3.960853866562298E-01;1.958692745877037E+00;-1.118901536129349E+01;-8.393109886680701E-01;-3.960853866562298E-01;
8.200000000000000E+07;-8.592664070945897E-01;-3.490842808123654E-01;1.953225746827585E+00;-9.754414093919088E+00;-8.592664070945897E-01;-3.490842808123654E-01;
8.250000000000000E+07;-8.764408915673720E-01;-3.014058535094729E-01;1.951975630496273E+00;-8.344856279130418E+00;-8.764408915673720E-01;-3.014058535094729E-01;
8.300000000000000E+07;-8.908337026914933E-01;-2.535373388993954E-01;1.952642293032765E+00;-6.966204725999025E+00;-8.908337026914933E-01;-2.535373388993954E-01;
8.350000000000000E+07;-9.023860668354435E-01;-2.073278129305234E-01;1.948557083904897E+00;-5.661511568479171E+00;-9.023860668354435E-01;-2.073278129305234E-01;
8.400000000000000E+07;-9.119080056183902E-01;-1.577074461129108E-01;1.950296991882690E+00;-4.285221171374881E+00;-9.119080056183902E-01;-1.577074461129108E-01;
8.450000000000000E+07;-9.188260705443118E-01;-1.067379823835947E-01;1.954433480269681E+00;-2.890054231957342E+00;-9.188260705443118E-01;-1.067379823835947E-01;
8.500000000000000E+07;-9.224265541913171E-01;-5.567321078613536E-02;1.974002694988288E+00;-1.505160028677635E+00;-9.224265541913171E-01;-5.567321078613536E-02;
8.550000000000000E+07;-9.234120754879902E-01;-4.917134639417581E-03;1.990599272826022E+00;-1.329121200113249E-01;-9.234120754879902E-01;-4.917134639417581E-03;
