# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz];re:ZMag1_S12;im:ZMag1_S12;re:SMag1_S11;im:SMag1_S11;re:ZPh1_S12;im:ZPh1_S12;re:SPh1_S11;im:SPh1_S11;
5.000000000000000E+07;-2.816700915980042E-03;-7.727421553155455E-03;5.835886335534960E-01;5.680232142068652E-01;-2.816700915980042E-03;-7.727421553155455E-03;5.835886335534960E-01;5.680232142068652E-01;
5.025025025025025E+07;-4.072382229992352E-03;-7.596400553704441E-03;5.539670540857841E-01;5.498652668053571E-01;-4.072382229992352E-03;-7.596400553704441E-03;5.539670540857841E-01;5.498652668053571E-01;
5.050050050050050E+07;-5.319919552849298E-03;-7.157089119008824E-03;5.152882243026874E-01;5.389419483116246E-01;-5.319919552849298E-03;-7.157089119008824E-03;5.152882243026874E-01;5.389419483116246E-01;
5.075075075075075E+07;-6.454145664190838E-03;-6.266269063568308E-03;4.713554091763346E-01;5.401799160881769E-01;-6.454145664190838E-03;-6.266269063568308E-03;4.713554091763346E-01;5.401799160881769E-01;
5.100100100100100E+07;-7.231651007375578E-03;-5.108748564673332E-03;4.278018110534210E-01;5.547599095620114E-01;-7.231651007375578E-03;-5.108748564673332E-03;4.278018110534210E-01;5.547599095620114E-01;
5.125125125125125E+07;-7.657254182971199E-03;-3.760975991721252E-03;3.903883394935670E-01;5.832239705362808E-01;-7.657254182971199E-03;-3.760975991721252E-03;3.903883394935670E-01;5.832239705362808E-01;
5.150150150150150E+07;-7.649760294994905E-03;-2.550644887518323E-03;3.636778117695350E-01;6.151041176271311E-01;-7.649760294994905E-03;-2.550644887518323E-03;3.636778117695350E-01;6.151041176271311E-01;
5.175175175175175E+07;-7.369326173719612E-03;-1.462701572407092E-03;3.473722009716377E-01;6.508180450386875E-01;-7.369326173719612E-03;-1.462701572407092E-03;3.473722009716377E-01;6.508180450386875E-01;
5.200200200200200E+07;-6.881532988608080E-03;-5.948965704777913E-04;3.403964911884663E-01;6.845194810192055E-01;-6.881532988608080E-03;-5.948965704777913E-04;3.403964911884663E-01;6.845194810192055E-01;
5.225225225225225E+07;-6.327496711854174E-03;2.997005479958976E-05;3.399486245950624E-01;7.135911279207618E-01;-6.327496711854174E-03;2.997005479958976E-05;3.399486245950624E-01;7.135911279207618E-01;
5.250250250250250E+07;-5.762818953119400E-03;4.387635324593508E-04;3.436374289301758E-01;7.372861813941090E-01;-5.762818953119400E-03;4.387635324593508E-04;3.436374289301758E-01;7.372861813941090E-01;
5.275275275275275E+07;-5.231145792319290E-03;7.269538600917499E-04;3.489337828900791E-01;7.560548013495144E-01;-5.231145792319290E-03;7.269538600917499E-04;3.489337828900791E-01;7.560548013495144E-01;
5.300300300300300E+07;-4.749445469361346E-03;8.882896001605386E-04;3.549591670718371E-01;7.705683236689216E-01;-4.749445469361346E-03;8.882896001605386E-04;3.549591670718371E-01;7.705683236689216E-01;
5.325325325325325E+07;-4.341674120874282E-03;9.915999157789649E-04;3.605022866700228E-01;7.821358011448047E-01;-4.341674120874282E-03;9.915999157789649E-04;3.605022866700228E-01;7.821358011448047E-01;
5.350350350350350E+07;-3.991661193423768E-03;1.012356267596081E-03;3.654019483194042E-01;7.909775746356865E-01;-3.991661193423768E-03;1.012356267596081E-03;3.654019483194042E-01;7.909775746356865E-01;
5.375375375375375E+07;-3.687074428914181E-03;1.036701815140513E-03;3.694359829564185E-01;7.982465455471278E-01;-3.687074428914181E-03;1.036701815140513E-03;3.694359829564185E-01;7.982465455471278E-01;
5.400400400400400E+07;-3.432464635940372E-03;1.004273096029932E-03;3.725572592350089E-01;8.040409803131238E-01;-3.432464635940372E-03;1.004273096029932E-03;3.725572592350089E-01;8.040409803131238E-01;
5.425425425425425E+07;-3.205843721010335E-03;9.796868024107546E-04;3.747058647330721E-01;8.091225317664241E-01;-3.205843721010335E-03;9.796868024107546E-04;3.747058647330721E-01;8.091225317664241E-01;
5.450450450450450E+07;-3.012636821026373E-03;9.505657490417234E-04;3.764510277122575E-01;8.134900978479631E-01;-3.012636821026373E-03;9.505657490417234E-04;3.764510277122575E-01;8.134900978479631E-01;
5.475475475475475E+07;-2.843434897083432E-03;9.185048105088794E-04;3.776252251222025E-01;8.172833853883138E-01;-2.843434897083432E-03;9.185048105088794E-04;3.776252251222025E-01;8.172833853883138E-01;
5.500500500500500E+07;-2.683850292974990E-03;8.649869288654861E-04;3.784657423733196E-01;8.205992717299402E-01;-2.683850292974990E-03;8.649869288654861E-04;3.784657423733196E-01;8.205992717299402E-01;
5.525525525525525E+07;-2.559334648672644E-03;8.215667001048937E-04;3.789692251674120E-01;8.237467496533050E-01;-2.559334648672644E-03;8.215667001048937E-04;3.789692251674120E-01;8.237467496533050E-01;
5.550550550550550E+07;-2.440789525638590E-03;7.806096076225793E-04;3.788945804421496E-01;8.264589128137511E-01;-2.440789525638590E-03;7.806096076225793E-04;3.788945804421496E-01;8.264589128137511E-01;
5.575575575575575E+07;-2.324359980521439E-03;7.447485521562812E-04;3.789608722370906E-01;8.286526464477840E-01;-2.324359980521439E-03;7.447485521562812E-04;3.789608722370906E-01;8.286526464477840E-01;
5.600600600600600E+07;-2.248010327184640E-03;6.922637682529882E-04;3.785051439157717E-01;8.305530677915715E-01;-2.248010327184640E-03;6.922637682529882E-04;3.785051439157717E-01;8.305530677915715E-01;
5.625625625625625E+07;-2.161389291952415E-03;6.553738163396629E-04;3.777112966893069E-01;8.321154278994721E-01;-2.161389291952415E-03;6.553738163396629E-04;3.777112966893069E-01;8.321154278994721E-01;
5.650650650650650E+07;-2.070651481380319E-03;6.040258130153969E-04;3.770151584811128E-01;8.335812652945664E-01;-2.070651481380319E-03;6.040258130153969E-04;3.770151584811128E-01;8.335812652945664E-01;
5.675675675675675E+07;-2.015708734818699E-03;5.487237204915242E-04;3.756210801581639E-01;8.347669356933455E-01;-2.015708734818699E-03;5.487237204915242E-04;3.756210801581639E-01;8.347669356933455E-01;
5.700700700700700E+07;-1.939003388595398E-03;5.018078677216102E-04;3.741613898935059E-01;8.358015551162866E-01;-1.939003388595398E-03;5.018078677216102E-04;3.741613898935059E-01;8.358015551162866E-01;
5.725725725725726E+07;-1.899708617626135E-03;4.741749469081627E-04;3.723184884332967E-01;8.365998504142991E-01;-1.899708617626135E-03;4.741749469081627E-04;3.723184884332967E-01;8.365998504142991E-01;
5.750750750750751E+07;-1.857637458723692E-03;4.351935671911201E-04;3.704027746818997E-01;8.373972037572751E-01;-1.857637458723692E-03;4.351935671911201E-04;3.704027746818997E-01;8.373972037572751E-01;
5.775775775775776E+07;-1.819079635067633E-03;3.936898924377740E-04;3.680295313948226E-01;8.381640885217690E-01;-1.819079635067633E-03;3.936898924377740E-04;3.680295313948226E-01;8.381640885217690E-01;
5.800800800800801E+07;-1.771781043058013E-03;3.508222172997384E-04;3.713937934231256E-01;8.358889168470953E-01;-1.771781043058013E-03;3.508222172997384E-04;3.713937934231256E-01;8.358889168470953E-01;
5.825825825825826E+07;-1.750198923721369E-03;3.104239667346629E-04;3.689782128336262E-01;8.365923994471479E-01;-1.750198923721369E-03;3.104239667346629E-04;3.689782128336262E-01;8.365923994471479E-01;
5.850850850850851E+07;-1.710610510036200E-03;2.867425343108374E-04;3.663309393623915E-01;8.369435874051964E-01;-1.710610510036200E-03;2.867425343108374E-04;3.663309393623915E-01;8.369435874051964E-01;
5.875875875875876E+07;-1.693827850889013E-03;2.546633936446648E-04;3.634571154360929E-01;8.372941655714166E-01;-1.693827850889013E-03;2.546633936446648E-04;3.634571154360929E-01;8.372941655714166E-01;
5.900900900900901E+07;-1.660371581348197E-03;2.120267871738197E-04;3.606009261751279E-01;8.376798942958525E-01;-1.660371581348197E-03;2.120267871738197E-04;3.606009261751279E-01;8.376798942958525E-01;
5.925925925925926E+07;-1.649230667089533E-03;1.690659954967759E-04;3.573199463445419E-01;8.379721499404190E-01;-1.649230667089533E-03;1.690659954967759E-04;3.573199463445419E-01;8.379721499404190E-01;
5.950950950950951E+07;-1.623568485673551E-03;1.412620473365993E-04;3.541030869126120E-01;8.385995378003052E-01;-1.623568485673551E-03;1.412620473365993E-04;3.541030869126120E-01;8.385995378003052E-01;
5.975975975975976E+07;-1.597141157932267E-03;1.035575583692610E-04;3.504380657881506E-01;8.393147131525448E-01;-1.597141157932267E-03;1.035575583692610E-04;3.504380657881506E-01;8.393147131525448E-01;
6.001001001001001E+07;-1.609554053988690E-03;6.815500490182135E-05;3.470611783862305E-01;8.402124944286586E-01;-1.609554053988690E-03;6.815500490182135E-05;3.470611783862305E-01;8.402124944286586E-01;
6.026026026026026E+07;-1.597138750794781E-03;5.548210607808996E-05;3.437845306263709E-01;8.414286236443721E-01;-1.597138750794781E-03;5.548210607808996E-05;3.437845306263709E-01;8.414286236443721E-01;
6.051051051051051E+07;-1.583074649180251E-03;5.056493586272164E-05;3.407168187510151E-01;8.428637861847612E-01;-1.583074649180251E-03;5.056493586272164E-05;3.407168187510151E-01;8.428637861847612E-01;
6.076076076076076E+07;-1.582035185070682E-03;2.228021842229010E-05;3.378937534076051E-01;8.442587741226319E-01;-1.582035185070682E-03;2.228021842229010E-05;3.378937534076051E-01;8.442587741226319E-01;
6.101101101101101E+07;-1.559821521954922E-03;6.488681731833962E-06;3.352642232884800E-01;8.459380749306881E-01;-1.559821521954922E-03;6.488681731833962E-06;3.352642232884800E-01;8.459380749306881E-01;
6.126126126126126E+07;-1.552205271199117E-03;-1.246322899052481E-05;3.330160053238548E-01;8.474079349533404E-01;-1.552205271199117E-03;-1.246322899052481E-05;3.330160053238548E-01;8.474079349533404E-01;
6.151151151151151E+07;-1.553421260505999E-03;-3.042710458038725E-05;3.307908927522686E-01;8.487702653414574E-01;-1.553421260505999E-03;-3.042710458038725E-05;3.307908927522686E-01;8.487702653414574E-01;
