# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz];re:SMag2_S11;im:SMag2_S11;re:ZPh2_S12;im:ZPh2_S12;re:SPh2_S11;im:SPh2_S11;re:ZMag2_S12;im:ZMag2_S12;
5.000000000000000E+07;5.832458875625391E-01;5.672210296083963E-01;-2.659975105567316E-03;-7.767567925421804E-03;5.832458875625391E-01;5.672210296083963E-01;-2.659975105567316E-03;-7.767567925421804E-03;
5.025025025025025E+07;5.528703738840953E-01;5.514358887429034E-01;-3.921442154186878E-03;-7.713726709032371E-03;5.528703738840953E-01;5.514358887429034E-01;-3.921442154186878E-03;-7.713726709032371E-03;
5.050050050050050E+07;5.144095844545832E-01;5.433481783201238E-01;-5.150964287299806E-03;-7.256485654043445E-03;5.144095844545832E-01;5.433481783201238E-01;-5.150964287299806E-03;-7.256485654043445E-03;
5.075075075075075E+07;4.726868782646739E-01;5.464714930358342E-01;-6.373046690822126E-03;-6.483986625365745E-03;4.726868782646739E-01;5.464714930358342E-01;-6.373046690822126E-03;-6.483986625365745E-03;
5.100100100100100E+07;4.321719150044102E-01;5.622552021758416E-01;-7.205353554399754E-03;-5.327368760583661E-03;4.321719150044102E-01;5.622552021758416E-01;-7.205353554399754E-03;-5.327368760583661E-03;
5.125125125125125E+07;3.982322858199961E-01;5.876772991236396E-01;-7.637433988716435E-03;-3.986078322703837E-03;3.982322858199961E-01;5.876772991236396E-01;-7.637433988716435E-03;-3.986078322703837E-03;
5.150150150150150E+07;3.737500755157276E-01;6.199726042006122E-01;-7.790569072444518E-03;-2.592435839077393E-03;3.737500755157276E-01;6.199726042006122E-01;-7.790569072444518E-03;-2.592435839077393E-03;
5.175175175175175E+07;3.584750368828166E-01;6.518957006829450E-01;-7.473537711100139E-03;-1.496750601876922E-03;3.584750368828166E-01;6.518957006829450E-01;-7.473537711100139E-03;-1.496750601876922E-03;
5.200200200200200E+07;3.516900813047262E-01;6.830738425194516E-01;-7.037513523586684E-03;-6.872317120096545E-04;3.516900813047262E-01;6.830738425194516E-01;-7.037513523586684E-03;-6.872317120096545E-04;
5.225225225225225E+07;3.510191454779497E-01;7.102564320785735E-01;-6.464496755568931E-03;-1.480779968650427E-05;3.510191454779497E-01;7.102564320785735E-01;-6.464496755568931E-03;-1.480779968650427E-05;
5.250250250250250E+07;3.543149573227491E-01;7.328677140236965E-01;-5.847269472544608E-03;4.831537579861389E-04;3.543149573227491E-01;7.328677140236965E-01;-5.847269472544608E-03;4.831537579861389E-04;
5.275275275275275E+07;3.587507773697438E-01;7.509847200180371E-01;-5.290782597457715E-03;7.271536151823549E-04;3.587507773697438E-01;7.509847200180371E-01;-5.290782597457715E-03;7.271536151823549E-04;
5.300300300300300E+07;3.642423687101295E-01;7.656555036273947E-01;-4.803198456719610E-03;9.241618314953336E-04;3.642423687101295E-01;7.656555036273947E-01;-4.803198456719610E-03;9.241618314953336E-04;
5.325325325325325E+07;3.694518670522027E-01;7.772397770404017E-01;-4.354804500593996E-03;1.012984131757043E-03;3.694518670522027E-01;7.772397770404017E-01;-4.354804500593996E-03;1.012984131757043E-03;
5.350350350350350E+07;3.739848513393031E-01;7.863806567469571E-01;-4.009753245086691E-03;1.062592377068575E-03;3.739848513393031E-01;7.863806567469571E-01;-4.009753245086691E-03;1.062592377068575E-03;
5.375375375375375E+07;3.778834654041320E-01;7.936878435864246E-01;-3.732432810453626E-03;1.058706519058668E-03;3.778834654041320E-01;7.936878435864246E-01;-3.732432810453626E-03;1.058706519058668E-03;
5.400400400400400E+07;3.808721406991595E-01;7.998162813592949E-01;-3.433615417625140E-03;1.054104879915588E-03;3.808721406991595E-01;7.998162813592949E-01;-3.433615417625140E-03;1.054104879915588E-03;
5.425425425425425E+07;3.830931614910172E-01;8.050524970956631E-01;-3.246334741628471E-03;1.028807633981001E-03;3.830931614910172E-01;8.050524970956631E-01;-3.246334741628471E-03;1.028807633981001E-03;
5.450450450450450E+07;3.847379897448497E-01;8.097634709393877E-01;-3.026615417903564E-03;1.002454222567071E-03;3.847379897448497E-01;8.097634709393877E-01;-3.026615417903564E-03;1.002454222567071E-03;
5.475475475475475E+07;3.859066675907601E-01;8.138186459662047E-01;-2.823911203118342E-03;9.585584009009853E-04;3.859066675907601E-01;8.138186459662047E-01;-2.823911203118342E-03;9.585584009009853E-04;
5.500500500500500E+07;3.868389947723476E-01;8.173665343543437E-01;-2.696070749480035E-03;8.972961668025880E-04;3.868389947723476E-01;8.173665343543437E-01;-2.696070749480035E-03;8.972961668025880E-04;
5.525525525525525E+07;3.875218621558973E-01;8.207393237136303E-01;-2.563223425858119E-03;8.818319576271450E-04;3.875218621558973E-01;8.207393237136303E-01;-2.563223425858119E-03;8.818319576271450E-04;
5.550550550550550E+07;3.875841355541552E-01;8.236203162487599E-01;-2.441168275984503E-03;7.963251183665282E-04;3.875841355541552E-01;8.236203162487599E-01;-2.441168275984503E-03;7.963251183665282E-04;
5.575575575575575E+07;3.876228094952801E-01;8.258834563279552E-01;-2.343412542418048E-03;7.719499264978538E-04;3.876228094952801E-01;8.258834563279552E-01;-2.343412542418048E-03;7.719499264978538E-04;
5.600600600600600E+07;3.873235714721436E-01;8.280347759290658E-01;-2.233627162979144E-03;6.877975182500517E-04;3.873235714721436E-01;8.280347759290658E-01;-2.233627162979144E-03;6.877975182500517E-04;
5.625625625625625E+07;3.865603108588644E-01;8.299542819363475E-01;-2.175348488288487E-03;6.952527959119587E-04;3.865603108588644E-01;8.299542819363475E-01;-2.175348488288487E-03;6.952527959119587E-04;
