# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz];re:ZMag1_S12;im:ZMag1_S12;re:SMag1_S11;im:SMag1_S11;re:ZPh1_S12;im:ZPh1_S12;re:SPh1_S11;im:SPh1_S11;
5.000000000000000E+07;1.205022107423872E-03;-5.346986750488281E-03;5.244653948763525E-01;7.541855084985082E-01;1.205022107423872E-03;-5.346986750488281E-03;5.244653948763525E-01;7.541855084985082E-01;
5.025025025025025E+07;4.943318568265011E-04;-5.960712815324204E-03;5.188972972957554E-01;7.443802329010080E-01;4.943318568265011E-04;-5.960712815324204E-03;5.188972972957554E-01;7.443802329010080E-01;
5.050050050050050E+07;-4.973767128635683E-04;-6.472779335592798E-03;5.083570327386792E-01;7.326012840766244E-01;-4.973767128635683E-04;-6.472779335592798E-03;5.083570327386792E-01;7.326012840766244E-01;
5.075075075075075E+07;-1.848215863215669E-03;-6.701261711464172E-03;4.899917689092747E-01;7.213412367556848E-01;-1.848215863215669E-03;-6.701261711464172E-03;4.899917689092747E-01;7.213412367556848E-01;
5.100100100100100E+07;-3.433881508886179E-03;-6.365686980336942E-03;4.639399384476864E-01;7.161808009958678E-01;-3.433881508886179E-03;-6.365686980336942E-03;4.639399384476864E-01;7.161808009958678E-01;
5.125125125125125E+07;-4.808312801752178E-03;-5.337846308015488E-03;4.344104902495743E-01;7.215608378651721E-01;-4.808312801752178E-03;-5.337846308015488E-03;4.344104902495743E-01;7.215608378651721E-01;
5.150150150150150E+07;-5.586970460049911E-03;-3.847280394357407E-03;4.090261260019127E-01;7.376961491971806E-01;-5.586970460049911E-03;-3.847280394357407E-03;4.090261260019127E-01;7.376961491971806E-01;
5.175175175175175E+07;-5.629064469741729E-03;-2.357085017323620E-03;3.919437945670312E-01;7.590494154951117E-01;-5.629064469741729E-03;-2.357085017323620E-03;3.919437945670312E-01;7.590494154951117E-01;
5.200200200200200E+07;-5.202761584162288E-03;-1.162299747152754E-03;3.832225298156000E-01;7.799215771991295E-01;-5.202761584162288E-03;-1.162299747152754E-03;3.832225298156000E-01;7.799215771991295E-01;
5.225225225225225E+07;-4.601296938698212E-03;-3.967390073050306E-04;3.796123088148258E-01;7.974130191750042E-01;-4.601296938698212E-03;-3.967390073050306E-04;3.796123088148258E-01;7.974130191750042E-01;
5.250250250250250E+07;-3.985981676185126E-03;4.260417740948110E-05;3.786350787564807E-01;8.109900065321979E-01;-3.985981676185126E-03;4.260417740948110E-05;3.786350787564807E-01;8.109900065321979E-01;
5.275275275275275E+07;-3.438432197498393E-03;3.068695382271908E-04;3.781123421635242E-01;8.215918817800862E-01;-3.438432197498393E-03;3.068695382271908E-04;3.781123421635242E-01;8.215918817800862E-01;
5.300300300300300E+07;-3.007979396020002E-03;4.238466961435781E-04;3.778644422721735E-01;8.296363906771059E-01;-3.007979396020002E-03;4.238466961435781E-04;3.778644422721735E-01;8.296363906771059E-01;
5.325325325325325E+07;-2.641026659995092E-03;4.963805191342504E-04;3.771522143739058E-01;8.361797196279706E-01;-2.641026659995092E-03;4.963805191342504E-04;3.771522143739058E-01;8.361797196279706E-01;
5.350350350350350E+07;-2.351730135157914E-03;5.073484617415346E-04;3.758589300562504E-01;8.414261391924545E-01;-2.351730135157914E-03;5.073484617415346E-04;3.758589300562504E-01;8.414261391924545E-01;
5.375375375375375E+07;-2.103800644347049E-03;4.936645163653524E-04;3.741825449198549E-01;8.457719719255338E-01;-2.103800644347049E-03;4.936645163653524E-04;3.741825449198549E-01;8.457719719255338E-01;
5.400400400400400E+07;-1.898515424049985E-03;4.642733290828812E-04;3.721455246581092E-01;8.495540242745043E-01;-1.898515424049985E-03;4.642733290828812E-04;3.721455246581092E-01;8.495540242745043E-01;
5.425425425425425E+07;-1.733765891369066E-03;4.391878180922854E-04;3.695470315811192E-01;8.528635629004712E-01;-1.733765891369066E-03;4.391878180922854E-04;3.695470315811192E-01;8.528635629004712E-01;
5.450450450450450E+07;-1.590420327242340E-03;4.096512353835891E-04;3.666465115557256E-01;8.558814045745359E-01;-1.590420327242340E-03;4.096512353835891E-04;3.666465115557256E-01;8.558814045745359E-01;
5.475475475475475E+07;-1.469703710391184E-03;3.738240339433380E-04;3.632003995753167E-01;8.585403389842559E-01;-1.469703710391184E-03;3.738240339433380E-04;3.632003995753167E-01;8.585403389842559E-01;
5.500500500500500E+07;-1.389699311719696E-03;3.507735461909377E-04;3.597005237761113E-01;8.610268891542636E-01;-1.389699311719696E-03;3.507735461909377E-04;3.597005237761113E-01;8.610268891542636E-01;
5.525525525525525E+07;-1.295273682668947E-03;3.208826834358145E-04;3.559469781707336E-01;8.632199594723700E-01;-1.295273682668947E-03;3.208826834358145E-04;3.559469781707336E-01;8.632199594723700E-01;
5.550550550550550E+07;-1.214966945368598E-03;2.871581835444460E-04;3.519855206177762E-01;8.654966494027747E-01;-1.214966945368598E-03;2.871581835444460E-04;3.519855206177762E-01;8.654966494027747E-01;
5.575575575575575E+07;-1.153028376580884E-03;2.621437089220972E-04;3.475753725314145E-01;8.678250197392612E-01;-1.153028376580884E-03;2.621437089220972E-04;3.475753725314145E-01;8.678250197392612E-01;
5.600600600600600E+07;-1.091956241968287E-03;2.284982653805203E-04;3.436568624134190E-01;8.697957494000839E-01;-1.091956241968287E-03;2.284982653805203E-04;3.436568624134190E-01;8.697957494000839E-01;
5.625625625625625E+07;-1.039104267344668E-03;2.081746496473752E-04;3.392647279885938E-01;8.718393171284777E-01;-1.039104267344668E-03;2.081746496473752E-04;3.392647279885938E-01;8.718393171284777E-01;
5.650650650650650E+07;-1.007313606238666E-03;1.885967478936863E-04;3.348018200195912E-01;8.737371906350124E-01;-1.007313606238666E-03;1.885967478936863E-04;3.348018200195912E-01;8.737371906350124E-01;
5.675675675675675E+07;-9.572776922262043E-04;1.697378378612091E-04;3.303146003229716E-01;8.756284755250178E-01;-9.572776922262043E-04;1.697378378612091E-04;3.303146003229716E-01;8.756284755250178E-01;
5.700700700700700E+07;-9.127576938209671E-04;1.431300519167500E-04;3.257009892113534E-01;8.774715680854408E-01;-9.127576938209671E-04;1.431300519167500E-04;3.257009892113534E-01;8.774715680854408E-01;
5.725725725725726E+07;-8.989569174179552E-04;1.363377191486474E-04;3.211710468802009E-01;8.791522491433382E-01;-8.989569174179552E-04;1.363377191486474E-04;3.211710468802009E-01;8.791522491433382E-01;
5.750750750750751E+07;-8.640358510283094E-04;1.196662421082387E-04;3.165759073898499E-01;8.810222803233794E-01;-8.640358510283094E-04;1.196662421082387E-04;3.165759073898499E-01;8.810222803233794E-01;
5.775775775775776E+07;-8.288091097836631E-04;1.113099275282336E-04;3.117636466410563E-01;8.827127648045618E-01;-8.288091097836631E-04;1.113099275282336E-04;3.117636466410563E-01;8.827127648045618E-01;
5.800800800800801E+07;-8.008615430946674E-04;7.658937891247850E-05;3.138605545932789E-01;8.814501965800680E-01;-8.008615430946674E-04;7.658937891247850E-05;3.138605545932789E-01;8.814501965800680E-01;
5.825825825825826E+07;-7.988493298952140E-04;5.720729827497943E-05;3.090926090634724E-01;8.829838746339896E-01;-7.988493298952140E-04;5.720729827497943E-05;3.090926090634724E-01;8.829838746339896E-01;
5.850850850850851E+07;-7.585129308525660E-04;2.971018686931047E-05;3.043985335947339E-01;8.843118815846138E-01;-7.585129308525660E-04;2.971018686931047E-05;3.043985335947339E-01;8.843118815846138E-01;
5.875875875875876E+07;-7.466374772347441E-04;1.852216653431221E-05;2.996413680546413E-01;8.855752684788982E-01;-7.466374772347441E-04;1.852216653431221E-05;2.996413680546413E-01;8.855752684788982E-01;
5.900900900900901E+07;-7.352546292859955E-04;1.499084237624640E-05;2.949693096061569E-01;8.866858361777288E-01;-7.352546292859955E-04;1.499084237624640E-05;2.949693096061569E-01;8.866858361777288E-01;
5.925925925925926E+07;-7.231690485268839E-04;-6.119865613807739E-06;2.901922240031279E-01;8.878101699961440E-01;-7.231690485268839E-04;-6.119865613807739E-06;2.901922240031279E-01;8.878101699961440E-01;
5.950950950950951E+07;-7.066448967298258E-04;-1.658916926880975E-05;2.852067640680154E-01;8.890236661773639E-01;-7.066448967298258E-04;-1.658916926880975E-05;2.852067640680154E-01;8.890236661773639E-01;
5.975975975975976E+07;-7.053975144536163E-04;-2.381593131988974E-05;2.804643212802745E-01;8.902761270199845E-01;-7.053975144536163E-04;-2.381593131988974E-05;2.804643212802745E-01;8.902761270199845E-01;
6.001001001001001E+07;-6.849222009101494E-04;-3.727901330429861E-05;2.755814078338881E-01;8.914224206355192E-01;-6.849222009101494E-04;-3.727901330429861E-05;2.755814078338881E-01;8.914224206355192E-01;
6.026026026026026E+07;-6.746239644100712E-04;-4.263186183538559E-05;2.708394549645036E-01;8.928604100613076E-01;-6.746239644100712E-04;-4.263186183538559E-05;2.708394549645036E-01;8.928604100613076E-01;
6.051051051051051E+07;-6.651324672587655E-04;-4.110076530576424E-05;2.662380938741223E-01;8.942574238867420E-01;-6.651324672587655E-04;-4.110076530576424E-05;2.662380938741223E-01;8.942574238867420E-01;
6.076076076076076E+07;-6.593174751223223E-04;-5.406128935991625E-05;2.617969002532614E-01;8.957588120533108E-01;-6.593174751223223E-04;-5.406128935991625E-05;2.617969002532614E-01;8.957588120533108E-01;
6.101101101101101E+07;-6.317911781962500E-04;-5.380942425147512E-05;2.572911953283811E-01;8.970569776937081E-01;-6.317911781962500E-04;-5.380942425147512E-05;2.572911953283811E-01;8.970569776937081E-01;
6.126126126126126E+07;-6.351060642934159E-04;-7.188959708399309E-05;2.532050964326759E-01;8.983788161410713E-01;-6.351060642934159E-04;-7.188959708399309E-05;2.532050964326759E-01;8.983788161410713E-01;
6.151151151151151E+07;-6.123424050837406E-04;-7.010573389639050E-05;2.489872444408457E-01;8.994795593308300E-01;-6.123424050837406E-04;-7.010573389639050E-05;2.489872444408457E-01;8.994795593308300E-01;
6.176176176176176E+07;-6.076912631103922E-04;-7.829225770938243E-05;2.448673789076818E-01;9.005919429642626E-01;-6.076912631103922E-04;-7.829225770938243E-05;2.448673789076818E-01;9.005919429642626E-01;
6.201201201201201E+07;-6.004739208467214E-04;-9.563748901421159E-05;2.409087418198191E-01;9.016390007619629E-01;-6.004739208467214E-04;-9.563748901421159E-05;2.409087418198191E-01;9.016390007619629E-01;
6.226226226226226E+07;-5.900590362303353E-04;-1.047737737692399E-04;2.368131453336898E-01;9.027308683770926E-01;-5.900590362303353E-04;-1.047737737692399E-04;2.368131453336898E-01;9.027308683770926E-01;
