# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz];re:SMag2_S11;im:SMag2_S11;re:ZPh2_S12;im:ZPh2_S12;re:SPh2_S11;im:SPh2_S11;re:ZMag2_S12;im:ZMag2_S12;
5.000000000000000E+07;5.358368848574091E-01;7.479909130392109E-01;1.062353592696575E-03;-5.288714157153440E-03;5.358368848574091E-01;7.479909130392109E-01;1.062353592696575E-03;-5.288714157153440E-03;
5.025025025025025E+07;5.299771760325337E-01;7.384040299463583E-01;4.434400004840926E-04;-5.911467330841430E-03;5.299771760325337E-01;7.384040299463583E-01;4.434400004840926E-04;-5.911467330841430E-03;
5.050050050050050E+07;5.188785329028262E-01;7.267799315484673E-01;-6.189135192920081E-04;-6.409203750742973E-03;5.188785329028262E-01;7.267799315484673E-01;-6.189135192920081E-04;-6.409203750742973E-03;
5.075075075075075E+07;5.001070893003612E-01;7.156411092101344E-01;-1.956382437955106E-03;-6.644392555063171E-03;5.001070893003612E-01;7.156411092101344E-01;-1.956382437955106E-03;-6.644392555063171E-03;
5.100100100100100E+07;4.736448535882541E-01;7.103018527085584E-01;-3.503068428150114E-03;-6.315909196587108E-03;4.736448535882541E-01;7.103018527085584E-01;-3.503068428150114E-03;-6.315909196587108E-03;
5.125125125125125E+07;4.434411389537735E-01;7.161584495011426E-01;-4.904418682520262E-03;-5.244821390711808E-03;4.434411389537735E-01;7.161584495011426E-01;-4.904418682520262E-03;-5.244821390711808E-03;
5.150150150150150E+07;4.178075936394023E-01;7.328153558748975E-01;-5.598776511161026E-03;-3.747312637935065E-03;4.178075936394023E-01;7.328153558748975E-01;-5.598776511161026E-03;-3.747312637935065E-03;
5.175175175175175E+07;4.016979032771902E-01;7.549897869729628E-01;-5.637041997731590E-03;-2.327193334966885E-03;4.016979032771902E-01;7.549897869729628E-01;-5.637041997731590E-03;-2.327193334966885E-03;
5.200200200200200E+07;3.929463956916145E-01;7.764155337311260E-01;-5.182862378518270E-03;-1.086558878449813E-03;3.929463956916145E-01;7.764155337311260E-01;-5.182862378518270E-03;-1.086558878449813E-03;
5.225225225225225E+07;3.906042062926296E-01;7.942580738429481E-01;-4.529894701798094E-03;-2.830421283198593E-04;3.906042062926296E-01;7.942580738429481E-01;-4.529894701798094E-03;-2.830421283198593E-04;
