# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz];re:ZMag1_S12;im:ZMag1_S12;re:SMag1_S11;im:SMag1_S11;re:ZPh1_S12;im:ZPh1_S12;re:SPh1_S11;im:SPh1_S11;
5.000000000000000E+07;-2.600907658918081E-03;-7.351166451599236E-03;5.907331277413580E-01;5.651031401688815E-01;-2.600907658918081E-03;-7.351166451599236E-03;5.907331277413580E-01;5.651031401688815E-01;
5.025025025025025E+07;-3.689243447075727E-03;-7.265969425340979E-03;5.649917618595417E-01;5.477036449524428E-01;-3.689243447075727E-03;-7.265969425340979E-03;5.649917618595417E-01;5.477036449524428E-01;
5.050050050050050E+07;-4.730992224275364E-03;-6.939379996241721E-03;5.308523273866547E-01;5.352566352971383E-01;-4.730992224275364E-03;-6.939379996241721E-03;5.308523273866547E-01;5.352566352971383E-01;
5.075075075075075E+07;-5.739970028662289E-03;-6.300967093934686E-03;4.907532283139818E-01;5.319312969763293E-01;-5.739970028662289E-03;-6.300967093934686E-03;4.907532283139818E-01;5.319312969763293E-01;
5.100100100100100E+07;-6.616933932327789E-03;-5.376007473677783E-03;4.486042085438592E-01;5.400755947276269E-01;-6.616933932327789E-03;-5.376007473677783E-03;4.486042085438592E-01;5.400755947276269E-01;
5.125125125125125E+07;-7.117096227042992E-03;-4.317068758220527E-03;4.096068865829607E-01;5.596269348526219E-01;-7.117096227042992E-03;-4.317068758220527E-03;4.096068865829607E-01;5.596269348526219E-01;
5.150150150150150E+07;-7.331026172975095E-03;-3.162841261582645E-03;3.774379289690428E-01;5.880427878549385E-01;-7.331026172975095E-03;-3.162841261582645E-03;3.774379289690428E-01;5.880427878549385E-01;
5.175175175175175E+07;-7.239589959971413E-03;-2.096331356690954E-03;3.547109798343752E-01;6.218699504068208E-01;-7.239589959971413E-03;-2.096331356690954E-03;3.547109798343752E-01;6.218699504068208E-01;
5.200200200200200E+07;-6.909325325345005E-03;-1.175162005153785E-03;3.415999872369596E-01;6.561185248966476E-01;-6.909325325345005E-03;-1.175162005153785E-03;3.415999872369596E-01;6.561185248966476E-01;
5.225225225225225E+07;-6.476492433948414E-03;-4.720520952123845E-04;3.365569956264812E-01;6.881245074875068E-01;-6.476492433948414E-03;-4.720520952123845E-04;3.365569956264812E-01;6.881245074875068E-01;
5.250250250250250E+07;-5.974358018109061E-03;7.309312940007166E-05;3.373680012471903E-01;7.152054887816519E-01;-5.974358018109061E-03;7.309312940007166E-05;3.373680012471903E-01;7.152054887816519E-01;
5.275275275275275E+07;-5.445887416893841E-03;4.218468229787724E-04;3.413324600586323E-01;7.374907722485295E-01;-5.445887416893841E-03;4.218468229787724E-04;3.413324600586323E-01;7.374907722485295E-01;
5.300300300300300E+07;-4.976717855184135E-03;6.710728360677981E-04;3.467882171946196E-01;7.551084488238315E-01;-4.976717855184135E-03;6.710728360677981E-04;3.467882171946196E-01;7.551084488238315E-01;
5.325325325325325E+07;-4.553762424215797E-03;8.184804271364172E-04;3.525904724597685E-01;7.689340517483257E-01;-4.553762424215797E-03;8.184804271364172E-04;3.525904724597685E-01;7.689340517483257E-01;
5.350350350350350E+07;-4.176237108220572E-03;8.906955499860909E-04;3.579277390145393E-01;7.797652288937925E-01;-4.176237108220572E-03;8.906955499860909E-04;3.579277390145393E-01;7.797652288937925E-01;
5.375375375375375E+07;-3.853507956880456E-03;9.128550688521102E-04;3.626836266193873E-01;7.883708027457915E-01;-3.853507956880456E-03;9.128550688521102E-04;3.626836266193873E-01;7.883708027457915E-01;
5.400400400400400E+07;-3.565079341335120E-03;9.274054097560011E-04;3.662539346904682E-01;7.954280487089870E-01;-3.565079341335120E-03;9.274054097560011E-04;3.662539346904682E-01;7.954280487089870E-01;
5.425425425425425E+07;-3.331001488459321E-03;8.996768810760195E-04;3.691657988643653E-01;8.012887071783247E-01;-3.331001488459321E-03;8.996768810760195E-04;3.691657988643653E-01;8.012887071783247E-01;
5.450450450450450E+07;-3.131156208810632E-03;8.962708002665652E-04;3.713946299154589E-01;8.063094781714949E-01;-3.131156208810632E-03;8.962708002665652E-04;3.713946299154589E-01;8.063094781714949E-01;
5.475475475475475E+07;-2.949224024231494E-03;8.639081636879528E-04;3.732158324696969E-01;8.107618308602069E-01;-2.949224024231494E-03;8.639081636879528E-04;3.732158324696969E-01;8.107618308602069E-01;
5.500500500500500E+07;-2.789769926176064E-03;8.198642443245007E-04;3.746211935848819E-01;8.146048635124851E-01;-2.789769926176064E-03;8.198642443245007E-04;3.746211935848819E-01;8.146048635124851E-01;
5.525525525525525E+07;-2.638960705170572E-03;7.962962527485206E-04;3.756560593050496E-01;8.180036754859127E-01;-2.638960705170572E-03;7.962962527485206E-04;3.756560593050496E-01;8.180036754859127E-01;
5.550550550550550E+07;-2.507858137891057E-03;7.600820759966293E-04;3.762763455760479E-01;8.209658295492476E-01;-2.507858137891057E-03;7.600820759966293E-04;3.762763455760479E-01;8.209658295492476E-01;
