# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz];re:ZMag1_S12;im:ZMag1_S12;re:SMag1_S11;im:SMag1_S11;re:ZPh1_S12;im:ZPh1_S12;re:SPh1_S11;im:SPh1_S11;
5.000000000000000E+07;-3.651418701990295E-04;-7.350354388617885E-03;5.101140483104650E-01;7.407434376271099E-01;-3.651418701990295E-04;-7.350354388617885E-03;5.101140483104650E-01;7.407434376271099E-01;
5.025025025025025E+07;-2.569835877844795E-03;-8.199497731890007E-03;4.908688659987330E-01;7.231984597354802E-01;-2.569835877844795E-03;-8.199497731890007E-03;4.908688659987330E-01;7.231984597354802E-01;
5.050050050050050E+07;-5.554557166566844E-03;-7.526406453714302E-03;4.547237896104177E-01;7.147012602716956E-01;-5.554557166566844E-03;-7.526406453714302E-03;4.547237896104177E-01;7.147012602716956E-01;
5.075075075075075E+07;-7.601447944165698E-03;-4.918841170210929E-03;4.146019224119185E-01;7.310762665536977E-01;-7.601447944165698E-03;-4.918841170210929E-03;4.146019224119185E-01;7.310762665536977E-01;
5.100100100100100E+07;-7.555733875404399E-03;-2.080954609096595E-03;3.925668152224520E-01;7.626445641318574E-01;-7.555733875404399E-03;-2.080954609096595E-03;3.925668152224520E-01;7.626445641318574E-01;
5.125125125125125E+07;-6.458049956043277E-03;-2.993321456771567E-04;3.874160383228179E-01;7.906109206949852E-01;-6.458049956043277E-03;-2.993321456771567E-04;3.874160383228179E-01;7.906109206949852E-01;
5.150150150150150E+07;-5.283687204163417E-03;5.463604082478011E-04;3.888247935474540E-01;8.093816524650429E-01;-5.283687204163417E-03;5.463604082478011E-04;3.888247935474540E-01;8.093816524650429E-01;
5.175175175175175E+07;-4.348652785187633E-03;9.219818098794246E-04;3.912030842902481E-01;8.219583628596629E-01;-4.348652785187633E-03;9.219818098794246E-04;3.912030842902481E-01;8.219583628596629E-01;
5.200200200200200E+07;-3.629742549768915E-03;1.020571089982147E-03;3.928123960260279E-01;8.302547228048700E-01;-3.629742549768915E-03;1.020571089982147E-03;3.928123960260279E-01;8.302547228048700E-01;
5.225225225225225E+07;-3.070612546232191E-03;1.034862374300489E-03;3.932582961878059E-01;8.366864656984112E-01;-3.070612546232191E-03;1.034862374300489E-03;3.932582961878059E-01;8.366864656984112E-01;
