# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz];re:SMag2_S11;im:SMag2_S11;re:ZPh2_S12;im:ZPh2_S12;re:SPh2_S11;im:SPh2_S11;re:ZMag2_S12;im:ZMag2_S12;
5.000000000000000E+07;5.148132910408653E-01;7.381380817183840E-01;-2.755596822129881E-04;-7.318200285396673E-03;5.148132910408653E-01;7.381380817183840E-01;-2.755596822129881E-04;-7.318200285396673E-03;
5.025025025025025E+07;4.934448034531816E-01;7.218534573686619E-01;-2.410797705117131E-03;-8.172138083968277E-03;4.934448034531816E-01;7.218534573686619E-01;-2.410797705117131E-03;-8.172138083968277E-03;
5.050050050050050E+07;4.567192139149871E-01;7.165905532316041E-01;-5.397206752690372E-03;-7.644647338544121E-03;4.567192139149871E-01;7.165905532316041E-01;-5.397206752690372E-03;-7.644647338544121E-03;
5.075075075075075E+07;4.197865836027314E-01;7.351551744183844E-01;-7.632870652400094E-03;-5.166108251321739E-03;4.197865836027314E-01;7.351551744183844E-01;-7.632870652400094E-03;-5.166108251321739E-03;
5.100100100100100E+07;4.014211166943384E-01;7.653754022503348E-01;-7.654817778863320E-03;-2.189275651904837E-03;4.014211166943384E-01;7.653754022503348E-01;-7.654817778863320E-03;-2.189275651904837E-03;
5.125125125125125E+07;3.979168687948123E-01;7.908794070873640E-01;-6.569610626662017E-03;-3.259555148963880E-04;3.979168687948123E-01;7.908794070873640E-01;-6.569610626662017E-03;-3.259555148963880E-04;
5.150150150150150E+07;3.994988297150767E-01;8.082262553668796E-01;-5.352529513210784E-03;5.273765669201663E-04;3.994988297150767E-01;8.082262553668796E-01;-5.352529513210784E-03;5.273765669201663E-04;
5.175175175175175E+07;4.016322156208834E-01;8.198567620070485E-01;-4.445442734057509E-03;8.642204932285649E-04;4.016322156208834E-01;8.198567620070485E-01;-4.445442734057509E-03;8.642204932285649E-04;
5.200200200200200E+07;4.029412727689748E-01;8.280795655407529E-01;-3.676330715779967E-03;1.034380201316465E-03;4.029412727689748E-01;8.280795655407529E-01;-3.676330715779967E-03;1.034380201316465E-03;
5.225225225225225E+07;4.031252681003796E-01;8.341283850324521E-01;-3.088414679848678E-03;1.017049227801738E-03;4.031252681003796E-01;8.341283850324521E-01;-3.088414679848678E-03;1.017049227801738E-03;
5.250250250250250E+07;4.024047377251742E-01;8.390497018122578E-01;-2.717144384953053E-03;1.005846293469910E-03;4.024047377251742E-01;8.390497018122578E-01;-2.717144384953053E-03;1.005846293469910E-03;
5.275275275275275E+07;4.006826478315849E-01;8.433048070182554E-01;-2.363473961832276E-03;9.194852965759886E-04;4.006826478315849E-01;8.433048070182554E-01;-2.363473961832276E-03;9.194852965759886E-04;
5.300300300300300E+07;3.985410568539314E-01;8.468118591300252E-01;-2.055443641110211E-03;8.664175386905456E-04;3.985410568539314E-01;8.468118591300252E-01;-2.055443641110211E-03;8.664175386905456E-04;
5.325325325325325E+07;3.959208992629965E-01;8.499810801317009E-01;-1.886163437217816E-03;7.974266076188998E-04;3.959208992629965E-01;8.499810801317009E-01;-1.886163437217816E-03;7.974266076188998E-04;
5.350350350350350E+07;3.926963142964251E-01;8.527652744233823E-01;-1.698409422165211E-03;7.220199667272899E-04;3.926963142964251E-01;8.527652744233823E-01;-1.698409422165211E-03;7.220199667272899E-04;
5.375375375375375E+07;3.892891904518953E-01;8.556978308659778E-01;-1.586977189799422E-03;6.752494758666555E-04;3.892891904518953E-01;8.556978308659778E-01;-1.586977189799422E-03;6.752494758666555E-04;
5.400400400400400E+07;3.853532556198596E-01;8.582067192064036E-01;-1.473006250609444E-03;6.810222783247243E-04;3.853532556198596E-01;8.582067192064036E-01;-1.473006250609444E-03;6.810222783247243E-04;
