# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz];re:SMag2_S11;im:SMag2_S11;re:ZPh2_S12;im:ZPh2_S12;re:SPh2_S11;im:SPh2_S11;re:ZMag2_S12;im:ZMag2_S12;
5.000000000000000E+07;5.871669187411769E-01;6.209942614746813E-01;-9.915618165445641E-04;-6.920775838215837E-03;5.871669187411769E-01;6.209942614746813E-01;-9.915618165445641E-04;-6.920775838215837E-03;
5.025025025025025E+07;5.684546081178955E-01;6.034134920824348E-01;-1.908299040612283E-03;-7.107831754958974E-03;5.684546081178955E-01;6.034134920824348E-01;-1.908299040612283E-03;-7.107831754958974E-03;
5.050050050050050E+07;5.422324493691967E-01;5.887432844063523E-01;-2.982425690815245E-03;-7.121270347220159E-03;5.422324493691967E-01;5.887432844063523E-01;-2.982425690815245E-03;-7.121270347220159E-03;
5.075075075075075E+07;5.096589258289449E-01;5.797595389764664E-01;-4.052437969087555E-03;-6.794156810362536E-03;5.096589258289449E-01;5.797595389764664E-01;-4.052437969087555E-03;-6.794156810362536E-03;
5.100100100100100E+07;4.730966974654875E-01;5.798121368600766E-01;-5.071969227657880E-03;-6.119782871144766E-03;4.730966974654875E-01;5.798121368600766E-01;-5.071969227657880E-03;-6.119782871144766E-03;
5.125125125125125E+07;4.364682442309783E-01;5.902522428453072E-01;-5.934569584665689E-03;-5.362175840262414E-03;4.364682442309783E-01;5.902522428453072E-01;-5.934569584665689E-03;-5.362175840262414E-03;
5.150150150150150E+07;4.033949753295124E-01;6.097115335969796E-01;-6.467685644919099E-03;-4.245399104976344E-03;4.033949753295124E-01;6.097115335969796E-01;-6.467685644919099E-03;-4.245399104976344E-03;
5.175175175175175E+07;3.778429789608110E-01;6.357580452044612E-01;-6.688828590419807E-03;-3.151542884863782E-03;3.778429789608110E-01;6.357580452044612E-01;-6.688828590419807E-03;-3.151542884863782E-03;
5.200200200200200E+07;3.607863135774099E-01;6.648354192834778E-01;-6.620467185241538E-03;-2.085062446476665E-03;3.607863135774099E-01;6.648354192834778E-01;-6.620467185241538E-03;-2.085062446476665E-03;
5.225225225225225E+07;3.516300715105326E-01;6.932353570083215E-01;-6.361102859668314E-03;-1.238005646784047E-03;3.516300715105326E-01;6.932353570083215E-01;-6.361102859668314E-03;-1.238005646784047E-03;
5.250250250250250E+07;3.488682489538903E-01;7.184539309252183E-01;-5.873531196048391E-03;-5.408152135581550E-04;3.488682489538903E-01;7.184539309252183E-01;-5.873531196048391E-03;-5.408152135581550E-04;
