# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz];re:SMag2_S11;im:SMag2_S11;re:ZPh2_S12;im:ZPh2_S12;re:SPh2_S11;im:SPh2_S11;re:ZMag2_S12;im:ZMag2_S12;
5.000000000000000E+07;4.542007064002443E-01;6.401149548354635E-01;-8.163895785469489E-03;-1.953591127012992E-03;4.542007064002443E-01;6.401149548354635E-01;-8.163895785469489E-03;-1.953591127012992E-03;
5.025025025025025E+07;4.519239315561814E-01;6.627760497236410E-01;-7.175038617644997E-03;-8.535004258654681E-04;4.519239315561814E-01;6.627760497236410E-01;-7.175038617644997E-03;-8.535004258654681E-04;
5.050050050050050E+07;4.528173551112132E-01;6.765765258578199E-01;-6.368705288682807E-03;-3.282793426681856E-04;4.528173551112132E-01;6.765765258578199E-01;-6.368705288682807E-03;-3.282793426681856E-04;
5.075075075075075E+07;4.519082387203839E-01;6.842496039081579E-01;-5.695257966931481E-03;-1.148720949873626E-04;4.519082387203839E-01;6.842496039081579E-01;-5.695257966931481E-03;-1.148720949873626E-04;
5.100100100100100E+07;4.478399765417764E-01;6.888061103790163E-01;-5.264616759133961E-03;-3.725576317256411E-05;4.478399765417764E-01;6.888061103790163E-01;-5.264616759133961E-03;-3.725576317256411E-05;
5.125125125125125E+07;4.404759758431108E-01;6.930186616562295E-01;-4.925365910929541E-03;3.090304381618999E-06;4.404759758431108E-01;6.930186616562295E-01;-4.925365910929541E-03;3.090304381618999E-06;
5.150150150150150E+07;4.303413893272137E-01;6.990818033452525E-01;-4.803821164103660E-03;9.420817104536733E-05;4.303413893272137E-01;6.990818033452525E-01;-4.803821164103660E-03;9.420817104536733E-05;
5.175175175175175E+07;4.193973386856072E-01;7.089445740158717E-01;-4.653263240082328E-03;2.552248568733975E-04;4.193973386856072E-01;7.089445740158717E-01;-4.653263240082328E-03;2.552248568733975E-04;
5.200200200200200E+07;4.098566186159179E-01;7.184740330819772E-01;-4.458908632122225E-03;4.029731765199116E-04;4.098566186159179E-01;7.184740330819772E-01;-4.458908632122225E-03;4.029731765199116E-04;
5.225225225225225E+07;4.023611410897442E-01;7.308136984782807E-01;-4.305387223816706E-03;5.434779109241444E-04;4.023611410897442E-01;7.308136984782807E-01;-4.305387223816706E-03;5.434779109241444E-04;
5.250250250250250E+07;3.967214258965396E-01;7.437971157932716E-01;-4.117548311113806E-03;7.006544928859416E-04;3.967214258965396E-01;7.437971157932716E-01;-4.117548311113806E-03;7.006544928859416E-04;
5.275275275275275E+07;3.935685619452127E-01;7.560539836157582E-01;-3.948362088317304E-03;7.784471534995007E-04;3.935685619452127E-01;7.560539836157582E-01;-3.948362088317304E-03;7.784471534995007E-04;
5.300300300300300E+07;3.916513115279813E-01;7.676965122936366E-01;-3.754122533289538E-03;8.936792067936117E-04;3.916513115279813E-01;7.676965122936366E-01;-3.754122533289538E-03;8.936792067936117E-04;
5.325325325325325E+07;3.908634978183249E-01;7.774920748457461E-01;-3.485350432333060E-03;9.745234598907539E-04;3.908634978183249E-01;7.774920748457461E-01;-3.485350432333060E-03;9.745234598907539E-04;
5.350350350350350E+07;3.907560286486160E-01;7.865262839305741E-01;-3.272173820712605E-03;9.830805759707209E-04;3.907560286486160E-01;7.865262839305741E-01;-3.272173820712605E-03;9.830805759707209E-04;
5.375375375375375E+07;3.909822136266088E-01;7.941473296453986E-01;-3.140511269810267E-03;9.489402274235574E-04;3.909822136266088E-01;7.941473296453986E-01;-3.140511269810267E-03;9.489402274235574E-04;
5.400400400400400E+07;3.912876695105382E-01;8.010076946239599E-01;-3.054719181850435E-03;1.003625745637241E-03;3.912876695105382E-01;8.010076946239599E-01;-3.054719181850435E-03;1.003625745637241E-03;
5.425425425425425E+07;3.919313862746047E-01;8.070427860365258E-01;-2.868889354169154E-03;1.006723874693311E-03;3.919313862746047E-01;8.070427860365258E-01;-2.868889354169154E-03;1.006723874693311E-03;
5.450450450450450E+07;3.920938462150121E-01;8.120334642277033E-01;-2.713710833647287E-03;9.761811507199846E-04;3.920938462150121E-01;8.120334642277033E-01;-2.713710833647287E-03;9.761811507199846E-04;
5.475475475475475E+07;3.920759177750860E-01;8.165999444442900E-01;-2.534184456020288E-03;9.196068247841780E-04;3.920759177750860E-01;8.165999444442900E-01;-2.534184456020288E-03;9.196068247841780E-04;
5.500500500500500E+07;3.921639694866034E-01;8.205001725003352E-01;-2.512587422674793E-03;9.172216060939393E-04;3.921639694866034E-01;8.205001725003352E-01;-2.512587422674793E-03;9.172216060939393E-04;
5.525525525525525E+07;3.920050932111550E-01;8.239104177208236E-01;-2.394312088937806E-03;8.853598782695250E-04;3.920050932111550E-01;8.239104177208236E-01;-2.394312088937806E-03;8.853598782695250E-04;
5.550550550550550E+07;3.916338490276304E-01;8.268360272275722E-01;-2.365053878462866E-03;8.487393749455763E-04;3.916338490276304E-01;8.268360272275722E-01;-2.365053878462866E-03;8.487393749455763E-04;
5.575575575575575E+07;3.915149720092790E-01;8.295955993676886E-01;-2.193438013500539E-03;7.974845105254981E-04;3.915149720092790E-01;8.295955993676886E-01;-2.193438013500539E-03;7.974845105254981E-04;
5.600600600600600E+07;3.908015068449484E-01;8.318245035681949E-01;-2.184675815685465E-03;8.019900943491692E-04;3.908015068449484E-01;8.318245035681949E-01;-2.184675815685465E-03;8.019900943491692E-04;
5.625625625625625E+07;3.898755500439867E-01;8.340661006622309E-01;-2.099554183609635E-03;7.268878012069702E-04;3.898755500439867E-01;8.340661006622309E-01;-2.099554183609635E-03;7.268878012069702E-04;
