# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz];re:ZMag1_S12;im:ZMag1_S12;re:SMag1_S11;im:SMag1_S11;re:ZPh1_S12;im:ZPh1_S12;re:SPh1_S11;im:SPh1_S11;
5.000000000000000E+07;-8.961020275113101E-03;-7.787658017927342E-04;4.304719627390406E-01;6.342775562013150E-01;-8.961020275113101E-03;-7.787658017927342E-04;4.304719627390406E-01;6.342775562013150E-01;
5.025025025025025E+07;-7.809819485825658E-03;1.288596112330683E-04;4.354234461796572E-01;6.590741738387269E-01;-7.809819485825658E-03;1.288596112330683E-04;4.354234461796572E-01;6.590741738387269E-01;
5.050050050050050E+07;-6.817995727088707E-03;5.025643558770779E-04;4.408550250854751E-01;6.736576358889401E-01;-6.817995727088707E-03;5.025643558770779E-04;4.408550250854751E-01;6.736576358889401E-01;
5.075075075075075E+07;-6.093865364825249E-03;6.177080758635948E-04;4.436091513849748E-01;6.814612456085982E-01;-6.093865364825249E-03;6.177080758635948E-04;4.436091513849748E-01;6.814612456085982E-01;
5.100100100100100E+07;-5.610371590650705E-03;6.207547168935920E-04;4.421477347591503E-01;6.861258436669789E-01;-5.610371590650705E-03;6.207547168935920E-04;4.421477347591503E-01;6.861258436669789E-01;
5.125125125125125E+07;-5.296574483936260E-03;6.370570260886167E-04;4.360996601444729E-01;6.909538744518879E-01;-5.296574483936260E-03;6.370570260886167E-04;4.360996601444729E-01;6.909538744518879E-01;
5.150150150150150E+07;-5.065371955644323E-03;6.928255305012450E-04;4.287780944805098E-01;6.963458444900614E-01;-5.065371955644323E-03;6.928255305012450E-04;4.287780944805098E-01;6.963458444900614E-01;
5.175175175175175E+07;-4.881543025705292E-03;7.233862144963813E-04;4.196643194683002E-01;7.048294973855498E-01;-4.881543025705292E-03;7.233862144963813E-04;4.196643194683002E-01;7.048294973855498E-01;
5.200200200200200E+07;-4.745395762558727E-03;8.481968334373851E-04;4.115314199799491E-01;7.159540334775556E-01;-4.745395762558727E-03;8.481968334373851E-04;4.115314199799491E-01;7.159540334775556E-01;
5.225225225225225E+07;-4.530373148377997E-03;9.903760824392376E-04;4.052027098474712E-01;7.282360476737736E-01;-4.530373148377997E-03;9.903760824392376E-04;4.052027098474712E-01;7.282360476737736E-01;
5.250250250250250E+07;-4.329043642709213E-03;1.071339722257872E-03;4.012078988285480E-01;7.407242736878745E-01;-4.329043642709213E-03;1.071339722257872E-03;4.012078988285480E-01;7.407242736878745E-01;
5.275275275275275E+07;-4.122739685570398E-03;1.166856269369959E-03;3.990283309267770E-01;7.528087238536214E-01;-4.122739685570398E-03;1.166856269369959E-03;3.990283309267770E-01;7.528087238536214E-01;
