# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz];re:ZMag1_S12;im:ZMag1_S12;re:SMag1_S11;im:SMag1_S11;re:ZPh1_S12;im:ZPh1_S12;re:SPh1_S11;im:SPh1_S11;
5.000000000000000E+07;-1.424612456218970E-04;-3.146526416591224E-04;6.546531980563031E-01;6.241506830644511E-01;-1.424612456218970E-04;-3.146526416591224E-04;6.546531980563031E-01;6.241506830644511E-01;
5.025025025025025E+07;-1.444586754917164E-04;-3.460615050481541E-04;6.557327808004420E-01;6.181263438431609E-01;-1.444586754917164E-04;-3.460615050481541E-04;6.557327808004420E-01;6.181263438431609E-01;
5.050050050050050E+07;-1.611635192274553E-04;-3.679145345248558E-04;6.566991350947039E-01;6.109378455653934E-01;-1.611635192274553E-04;-3.679145345248558E-04;6.566991350947039E-01;6.109378455653934E-01;
5.075075075075075E+07;-1.766715340532010E-04;-3.670109239721066E-04;6.572037770936375E-01;6.029996190332120E-01;-1.766715340532010E-04;-3.670109239721066E-04;6.572037770936375E-01;6.029996190332120E-01;
5.100100100100100E+07;-1.916487174447499E-04;-4.032870684395816E-04;6.579032464512464E-01;5.938010102113306E-01;-1.916487174447499E-04;-4.032870684395816E-04;6.579032464512464E-01;5.938010102113306E-01;
5.125125125125125E+07;-2.037041255717076E-04;-4.468486611700635E-04;6.587048461721502E-01;5.836126434605330E-01;-2.037041255717076E-04;-4.468486611700635E-04;6.587048461721502E-01;5.836126434605330E-01;
5.150150150150150E+07;-2.456958851336901E-04;-4.546368474336379E-04;6.597579381303443E-01;5.718879424440513E-01;-2.456958851336901E-04;-4.546368474336379E-04;6.597579381303443E-01;5.718879424440513E-01;
5.175175175175175E+07;-2.539956440063373E-04;-5.248942414794260E-04;6.609137044029514E-01;5.583536368164371E-01;-2.539956440063373E-04;-5.248942414794260E-04;6.609137044029514E-01;5.583536368164371E-01;
5.200200200200200E+07;-3.030255173550766E-04;-5.694517668861640E-04;6.624691630030357E-01;5.417837103822782E-01;-3.030255173550766E-04;-5.694517668861640E-04;6.624691630030357E-01;5.417837103822782E-01;
5.225225225225225E+07;-3.155291133940780E-04;-5.871209889001458E-04;6.632385450459515E-01;5.221504399062278E-01;-3.155291133940780E-04;-5.871209889001458E-04;6.632385450459515E-01;5.221504399062278E-01;
5.250250250250250E+07;-3.756109817158329E-04;-6.744316483525144E-04;6.632311854636265E-01;4.985029595166135E-01;-3.756109817158329E-04;-6.744316483525144E-04;6.632311854636265E-01;4.985029595166135E-01;
5.275275275275275E+07;-4.624359961384829E-04;-7.359274048695776E-04;6.615328613871021E-01;4.703651830000330E-01;-4.624359961384829E-04;-7.359274048695776E-04;6.615328613871021E-01;4.703651830000330E-01;
5.300300300300300E+07;-5.357426949363302E-04;-7.994890651076569E-04;6.569619542832046E-01;4.368206609065922E-01;-5.357426949363302E-04;-7.994890651076569E-04;6.569619542832046E-01;4.368206609065922E-01;
5.325325325325325E+07;-6.540829911190895E-04;-8.665967655173123E-04;6.479702985638287E-01;3.967766318130355E-01;-6.540829911190895E-04;-8.665967655173123E-04;6.479702985638287E-01;3.967766318130355E-01;
5.350350350350350E+07;-7.955326052512738E-04;-9.505280305996196E-04;6.319594243275518E-01;3.495658388319595E-01;-7.955326052512738E-04;-9.505280305996196E-04;6.319594243275518E-01;3.495658388319595E-01;
5.375375375375375E+07;-9.656698661593424E-04;-1.020760782076956E-03;6.049964694409418E-01;2.947381590992493E-01;-9.656698661593424E-04;-1.020760782076956E-03;6.049964694409418E-01;2.947381590992493E-01;
5.400400400400400E+07;-1.211822691458834E-03;-1.060112874786662E-03;5.617338169906818E-01;2.334100363122228E-01;-1.211822691458834E-03;-1.060112874786662E-03;5.617338169906818E-01;2.334100363122228E-01;
5.425425425425425E+07;-1.525208474308738E-03;-1.059994041075628E-03;4.946478382601096E-01;1.698321406468097E-01;-1.525208474308738E-03;-1.059994041075628E-03;4.946478382601096E-01;1.698321406468097E-01;
5.450450450450450E+07;-1.922323891774031E-03;-9.730081406489091E-04;3.960240712340473E-01;1.134758099557355E-01;-1.922323891774031E-03;-9.730081406489091E-04;3.960240712340473E-01;1.134758099557355E-01;
5.475475475475475E+07;-2.313708391763462E-03;-7.050426122482857E-04;2.621387944963827E-01;8.301199304723110E-02;-2.313708391763462E-03;-7.050426122482857E-04;2.621387944963827E-01;8.301199304723110E-02;
5.500500500500500E+07;-2.701797121734573E-03;-2.585237723599581E-04;1.024854717815854E-01;1.045654594971199E-01;-2.701797121734573E-03;-2.585237723599581E-04;1.024854717815854E-01;1.045654594971199E-01;
5.525525525525525E+07;-2.920392081225132E-03;3.337955208037743E-04;-5.099181368037453E-02;1.955512504623031E-01;-2.920392081225132E-03;3.337955208037743E-04;-5.099181368037453E-02;1.955512504623031E-01;
5.550550550550550E+07;-2.824021629862698E-03;9.789330181914065E-04;-1.566101442576423E-01;3.433745563224103E-01;-2.824021629862698E-03;9.789330181914065E-04;-1.566101442576423E-01;3.433745563224103E-01;
5.575575575575575E+07;-2.530619845141786E-03;1.522293412260265E-03;-1.920871945837395E-01;5.071939767923263E-01;-2.530619845141786E-03;1.522293412260265E-03;-1.920871945837395E-01;5.071939767923263E-01;
5.600600600600600E+07;-2.132404294622550E-03;1.889949956710874E-03;-1.689746694178179E-01;6.487576521338541E-01;-2.132404294622550E-03;1.889949956710874E-03;-1.689746694178179E-01;6.487576521338541E-01;
5.625625625625625E+07;-1.707518759606097E-03;2.054202455624197E-03;-1.135869110193419E-01;7.526918999864384E-01;-1.707518759606097E-03;2.054202455624197E-03;-1.135869110193419E-01;7.526918999864384E-01;
5.650650650650650E+07;-1.359704312110425E-03;2.113176843140095E-03;-4.805383678314681E-02;8.208811623599775E-01;-1.359704312110425E-03;2.113176843140095E-03;-4.805383678314681E-02;8.208811623599775E-01;
5.675675675675675E+07;-1.038313572255701E-03;2.127188146869152E-03;1.579191710307707E-02;8.618131115704561E-01;-1.038313572255701E-03;2.127188146869152E-03;1.579191710307707E-02;8.618131115704561E-01;
