# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz];re:SMag2_S11;im:SMag2_S11;re:ZPh2_S12;im:ZPh2_S12;re:SPh2_S11;im:SPh2_S11;re:ZMag2_S12;im:ZMag2_S12;
5.000000000000000E+07;6.634614350749606E-01;6.218242025276269E-01;3.131566326323115E-04;-2.530708733057156E-04;6.634614350749606E-01;6.218242025276269E-01;3.131566326323115E-04;-2.530708733057156E-04;
5.025025025025025E+07;6.644510737868027E-01;6.157934748219424E-01;2.613673706974331E-04;-3.498441735682598E-04;6.644510737868027E-01;6.157934748219424E-01;2.613673706974331E-04;-3.498441735682598E-04;
5.050050050050050E+07;6.650726998195130E-01;6.087916144926693E-01;2.844702245015600E-04;-2.897028065952738E-04;6.650726998195130E-01;6.087916144926693E-01;2.844702245015600E-04;-2.897028065952738E-04;
5.075075075075075E+07;6.656049767018499E-01;6.006896975938271E-01;2.933759628051615E-04;-2.359655226692954E-04;6.656049767018499E-01;6.006896975938271E-01;2.933759628051615E-04;-2.359655226692954E-04;
5.100100100100100E+07;6.656963862766738E-01;5.915495802286828E-01;3.545449765319215E-04;-3.582356525243915E-04;6.656963862766738E-01;5.915495802286828E-01;3.545449765319215E-04;-3.582356525243915E-04;
5.125125125125125E+07;6.660200797722874E-01;5.814896651765480E-01;3.468011653266386E-04;-3.864710946647257E-04;6.660200797722874E-01;5.814896651765480E-01;3.468011653266386E-04;-3.864710946647257E-04;
5.150150150150150E+07;6.669543780821939E-01;5.697856587070069E-01;4.231217537118353E-04;-3.471034070362683E-04;6.669543780821939E-01;5.697856587070069E-01;4.231217537118353E-04;-3.471034070362683E-04;
5.175175175175175E+07;6.678950827359830E-01;5.560266426182523E-01;3.535697788800198E-04;-4.448310785756751E-04;6.678950827359830E-01;5.560266426182523E-01;3.535697788800198E-04;-4.448310785756751E-04;
5.200200200200200E+07;6.688252361857888E-01;5.395765869410415E-01;4.444512795071682E-04;-5.031288755699783E-04;6.688252361857888E-01;5.395765869410415E-01;4.444512795071682E-04;-5.031288755699783E-04;
5.225225225225225E+07;6.694479355711734E-01;5.198178325045499E-01;4.962448108446940E-04;-4.999109239828525E-04;6.694479355711734E-01;5.198178325045499E-01;4.962448108446940E-04;-4.999109239828525E-04;
5.250250250250250E+07;6.687683700815296E-01;4.962902026669554E-01;4.008167314400853E-04;-5.724255834686587E-04;6.687683700815296E-01;4.962902026669554E-01;4.008167314400853E-04;-5.724255834686587E-04;
5.275275275275275E+07;6.662068247922542E-01;4.682687431246579E-01;5.661715628903967E-04;-5.934623337413045E-04;6.662068247922542E-01;4.682687431246579E-01;5.661715628903967E-04;-5.934623337413045E-04;
5.300300300300300E+07;6.613458111148858E-01;4.349173556106986E-01;5.307825691140361E-04;-7.359192314579119E-04;6.613458111148858E-01;4.349173556106986E-01;5.307825691140361E-04;-7.359192314579119E-04;
5.325325325325325E+07;6.514185070747512E-01;3.951736914972313E-01;5.856506999988230E-04;-8.592831061644776E-04;6.514185070747512E-01;3.951736914972313E-01;5.856506999988230E-04;-8.592831061644776E-04;
5.350350350350350E+07;6.345877198375601E-01;3.485131534885569E-01;6.378362337838201E-04;-1.099767719779080E-03;6.345877198375601E-01;3.485131534885569E-01;6.378362337838201E-04;-1.099767719779080E-03;
5.375375375375375E+07;6.066364108025520E-01;2.944371983893809E-01;6.463620248138785E-04;-1.214516092163687E-03;6.066364108025520E-01;2.944371983893809E-01;6.463620248138785E-04;-1.214516092163687E-03;
5.400400400400400E+07;5.622718692736186E-01;2.337779119078473E-01;6.512792441030561E-04;-1.530373160619806E-03;5.622718692736186E-01;2.337779119078473E-01;6.512792441030561E-04;-1.530373160619806E-03;
5.425425425425425E+07;4.942124053962180E-01;1.712971520928347E-01;5.679264037457149E-04;-1.824792624561780E-03;4.942124053962180E-01;1.712971520928347E-01;5.679264037457149E-04;-1.824792624561780E-03;
5.450450450450450E+07;3.950094492635418E-01;1.157198550070494E-01;3.581824671627563E-04;-2.086075885844786E-03;3.950094492635418E-01;1.157198550070494E-01;3.581824671627563E-04;-2.086075885844786E-03;
5.475475475475475E+07;2.606232268598990E-01;8.581844682397748E-02;-6.306755157895558E-05;-2.357536533263238E-03;2.606232268598990E-01;8.581844682397748E-02;-6.306755157895558E-05;-2.357536533263238E-03;
5.500500500500500E+07;1.001214465313876E-01;1.063832987317123E-01;-5.627838770364562E-04;-2.790122966000186E-03;1.001214465313876E-01;1.063832987317123E-01;-5.627838770364562E-04;-2.790122966000186E-03;
5.525525525525525E+07;-5.445286406004819E-02;1.961072913855164E-01;-1.121239364431632E-03;-2.747296070564797E-03;-5.445286406004819E-02;1.961072913855164E-01;-1.121239364431632E-03;-2.747296070564797E-03;
5.550550550550550E+07;-1.598697240311722E-01;3.438597409353467E-01;-1.748330121984384E-03;-2.449081561233891E-03;-1.598697240311722E-01;3.438597409353467E-01;-1.748330121984384E-03;-2.449081561233891E-03;
5.575575575575575E+07;-1.938555594582407E-01;5.089226477783406E-01;-2.153596967911120E-03;-1.975729086002317E-03;-1.938555594582407E-01;5.089226477783406E-01;-2.153596967911120E-03;-1.975729086002317E-03;
5.600600600600600E+07;-1.683008344800724E-01;6.518916726301247E-01;-2.319753603044312E-03;-1.543550518456727E-03;-1.683008344800724E-01;6.518916726301247E-01;-2.319753603044312E-03;-1.543550518456727E-03;
5.625625625625625E+07;-1.107133987125315E-01;7.565839177388968E-01;-2.399781154940875E-03;-1.127106326269945E-03;-1.107133987125315E-01;7.565839177388968E-01;-2.399781154940875E-03;-1.127106326269945E-03;
5.650650650650650E+07;-4.317292899986753E-02;8.253137071205098E-01;-2.408146615787566E-03;-7.545304570221357E-04;-4.317292899986753E-02;8.253137071205098E-01;-2.408146615787566E-03;-7.545304570221357E-04;
5.675675675675675E+07;2.210495631963844E-02;8.662285057554134E-01;-2.321551122710588E-03;-4.163900013068948E-04;2.210495631963844E-02;8.662285057554134E-01;-2.321551122710588E-03;-4.163900013068948E-04;
5.700700700700700E+07;8.027033670109228E-02;8.881514012149633E-01;-2.240571524139905E-03;-2.029211479764097E-04;8.027033670109228E-02;8.881514012149633E-01;-2.240571524139905E-03;-2.029211479764097E-04;
5.725725725725726E+07;1.296450318421184E-01;8.973879266041189E-01;-2.160741644742920E-03;-7.674972402795977E-05;1.296450318421184E-01;8.973879266041189E-01;-2.160741644742920E-03;-7.674972402795977E-05;
5.750750750750751E+07;1.708292340541802E-01;8.980922080690645E-01;-2.018959674923662E-03;7.118369369115404E-05;1.708292340541802E-01;8.980922080690645E-01;-2.018959674923662E-03;7.118369369115404E-05;
5.775775775775776E+07;2.040368374067746E-01;8.938014593741788E-01;-1.918993267336642E-03;2.007960916263496E-04;2.040368374067746E-01;8.938014593741788E-01;-1.918993267336642E-03;2.007960916263496E-04;
5.800800800800801E+07;2.307481280704863E-01;8.857803121899201E-01;-1.844190431890497E-03;3.065280589464158E-04;2.307481280704863E-01;8.857803121899201E-01;-1.844190431890497E-03;3.065280589464158E-04;
5.825825825825826E+07;2.518358278621672E-01;8.760030283355738E-01;-1.727936088672619E-03;4.063043772762602E-04;2.518358278621672E-01;8.760030283355738E-01;-1.727936088672619E-03;4.063043772762602E-04;
5.850850850850851E+07;2.681868439601509E-01;8.653264877538105E-01;-1.697544737846255E-03;4.596005052615723E-04;2.681868439601509E-01;8.653264877538105E-01;-1.697544737846255E-03;4.596005052615723E-04;
5.875875875875876E+07;2.799222685913781E-01;8.541357682005434E-01;-1.602985542644703E-03;5.100423366113032E-04;2.799222685913781E-01;8.541357682005434E-01;-1.602985542644703E-03;5.100423366113032E-04;
5.900900900900901E+07;2.880021910995611E-01;8.435606495656415E-01;-1.521279033296939E-03;6.222150717151395E-04;2.880021910995611E-01;8.435606495656415E-01;-1.521279033296939E-03;6.222150717151395E-04;
5.925925925925926E+07;2.929655152177042E-01;8.337922212848385E-01;-1.444392910786738E-03;6.410753900335984E-04;2.929655152177042E-01;8.337922212848385E-01;-1.444392910786738E-03;6.410753900335984E-04;
5.950950950950951E+07;2.957990458114949E-01;8.252326311464562E-01;-1.352617377772682E-03;6.866332665504642E-04;2.957990458114949E-01;8.252326311464562E-01;-1.352617377772682E-03;6.866332665504642E-04;
5.975975975975976E+07;2.972705486681145E-01;8.179396657159332E-01;-1.220956640999923E-03;6.516230177076693E-04;2.972705486681145E-01;8.179396657159332E-01;-1.220956640999923E-03;6.516230177076693E-04;
6.001001001001001E+07;2.984303891911766E-01;8.118199699233752E-01;-1.316744526179817E-03;7.115684620928804E-04;2.984303891911766E-01;8.118199699233752E-01;-1.316744526179817E-03;7.115684620928804E-04;
6.026026026026026E+07;2.993660000154745E-01;8.058678388709820E-01;-1.169401521282868E-03;7.062479165684724E-04;2.993660000154745E-01;8.058678388709820E-01;-1.169401521282868E-03;7.062479165684724E-04;
6.051051051051051E+07;3.000236106532256E-01;7.997905742562949E-01;-1.194653937993941E-03;7.186874635823134E-04;3.000236106532256E-01;7.997905742562949E-01;-1.194653937993941E-03;7.186874635823134E-04;
6.076076076076076E+07;3.001088544748152E-01;7.926075840409823E-01;-1.141313437966981E-03;6.815914641854257E-04;3.001088544748152E-01;7.926075840409823E-01;-1.141313437966981E-03;6.815914641854257E-04;
6.101101101101101E+07;2.987372218140986E-01;7.848957579091850E-01;-1.108441798647182E-03;8.860656037513380E-04;2.987372218140986E-01;7.848957579091850E-01;-1.108441798647182E-03;8.860656037513380E-04;
6.126126126126126E+07;2.954416898226548E-01;7.768784296445559E-01;-1.106113129827077E-03;8.617920363481117E-04;2.954416898226548E-01;7.768784296445559E-01;-1.106113129827077E-03;8.617920363481117E-04;
6.151151151151151E+07;2.905421389212235E-01;7.692545784246265E-01;-1.095619374558317E-03;7.602577327202426E-04;2.905421389212235E-01;7.692545784246265E-01;-1.095619374558317E-03;7.602577327202426E-04;
6.176176176176176E+07;2.841066823424298E-01;7.627243529994847E-01;-9.989694346715758E-04;9.409874723702745E-04;2.841066823424298E-01;7.627243529994847E-01;-9.989694346715758E-04;9.409874723702745E-04;
6.201201201201201E+07;2.767957161042404E-01;7.575461214529757E-01;-1.001953682409158E-03;8.316301629255997E-04;2.767957161042404E-01;7.575461214529757E-01;-1.001953682409158E-03;8.316301629255997E-04;
6.226226226226226E+07;2.688826883382681E-01;7.534094679245266E-01;-9.978032442187288E-04;9.416091133832145E-04;2.688826883382681E-01;7.534094679245266E-01;-9.978032442187288E-04;9.416091133832145E-04;
6.251251251251251E+07;2.603820037115158E-01;7.502705118114649E-01;-8.302110827350622E-04;9.154352174132292E-04;2.603820037115158E-01;7.502705118114649E-01;-8.302110827350622E-04;9.154352174132292E-04;
6.276276276276276E+07;2.519888412525826E-01;7.482755462220616E-01;-8.244970168606957E-04;8.014309387282505E-04;2.519888412525826E-01;7.482755462220616E-01;-8.244970168606957E-04;8.014309387282505E-04;
6.301301301301301E+07;2.436679233858132E-01;7.474443487474223E-01;-8.966162550255707E-04;8.392042522179762E-04;2.436679233858132E-01;7.474443487474223E-01;-8.966162550255707E-04;8.392042522179762E-04;
6.326326326326326E+07;2.357774206547763E-01;7.473387509761532E-01;-8.125072574172915E-04;9.518187824798259E-04;2.357774206547763E-01;7.473387509761532E-01;-8.125072574172915E-04;9.518187824798259E-04;
6.351351351351351E+07;2.287093672129814E-01;7.485892851413857E-01;-8.951993411840931E-04;9.117565246174227E-04;2.287093672129814E-01;7.485892851413857E-01;-8.951993411840931E-04;9.117565246174227E-04;
6.376376376376376E+07;2.231145565337275E-01;7.490795193702009E-01;-7.748342322474040E-04;8.689682942870486E-04;2.231145565337275E-01;7.490795193702009E-01;-7.748342322474040E-04;8.689682942870486E-04;
6.401401401401401E+07;2.176609152166469E-01;7.488669768495375E-01;-8.884293654451483E-04;8.403043207839886E-04;2.176609152166469E-01;7.488669768495375E-01;-8.884293654451483E-04;8.403043207839886E-04;
6.426426426426426E+07;2.121300515024416E-01;7.481261178753382E-01;-7.398313849176954E-04;7.948085818390213E-04;2.121300515024416E-01;7.481261178753382E-01;-7.398313849176954E-04;7.948085818390213E-04;
6.451451451451451E+07;2.063268696597138E-01;7.472115418303690E-01;-7.601334266167621E-04;8.470109688648903E-04;2.063268696597138E-01;7.472115418303690E-01;-7.601334266167621E-04;8.470109688648903E-04;
6.476476476476476E+07;1.993921722462864E-01;7.465721073682132E-01;-6.429608613263151E-04;8.443201694871124E-04;1.993921722462864E-01;7.465721073682132E-01;-6.429608613263151E-04;8.443201694871124E-04;
6.501501501501501E+07;1.926103427905621E-01;7.466401366749208E-01;-7.641165496082318E-04;9.051107490413840E-04;1.926103427905621E-01;7.466401366749208E-01;-7.641165496082318E-04;9.051107490413840E-04;
6.526526526526526E+07;1.863711734221627E-01;7.476041688097981E-01;-6.895081475648360E-04;9.170227479809391E-04;1.863711734221627E-01;7.476041688097981E-01;-6.895081475648360E-04;9.170227479809391E-04;
6.551551551551551E+07;1.811344625088712E-01;7.486608918519332E-01;-6.404743956469406E-04;9.809702334062508E-04;1.811344625088712E-01;7.486608918519332E-01;-6.404743956469406E-04;9.809702334062508E-04;
6.576576576576576E+07;1.801445858515754E-01;7.486316801677666E-01;-7.647742084811956E-04;9.264539207732968E-04;1.801445858515754E-01;7.486316801677666E-01;-7.647742084811956E-04;9.264539207732968E-04;
6.601601601601601E+07;1.761823604639522E-01;7.476605434791632E-01;-7.748619640962324E-04;9.040882817885284E-04;1.761823604639522E-01;7.476605434791632E-01;-7.748619640962324E-04;9.040882817885284E-04;
6.626626626626626E+07;1.713869217381765E-01;7.453077661045422E-01;-9.625980815983861E-04;8.571154759165520E-04;1.713869217381765E-01;7.453077661045422E-01;-9.625980815983861E-04;8.571154759165520E-04;
6.651651651651651E+07;1.651711789029310E-01;7.434389961232716E-01;-8.638512129174770E-04;9.008143857485699E-04;1.651711789029310E-01;7.434389961232716E-01;-8.638512129174770E-04;9.008143857485699E-04;
6.676676676676676E+07;1.587687528929185E-01;7.416308123233033E-01;-8.655259813709785E-04;9.661011962274009E-04;1.587687528929185E-01;7.416308123233033E-01;-8.655259813709785E-04;9.661011962274009E-04;
6.701701701701702E+07;1.531842398159769E-01;7.393639656479570E-01;-9.856797362650369E-04;1.158434530393639E-03;1.531842398159769E-01;7.393639656479570E-01;-9.856797362650369E-04;1.158434530393639E-03;
6.726726726726727E+07;1.466568670691593E-01;7.369759245181697E-01;-8.232199545031125E-04;9.770417020950062E-04;1.466568670691593E-01;7.369759245181697E-01;-8.232199545031125E-04;9.770417020950062E-04;
6.751751751751752E+07;1.396180622207829E-01;7.343091904455790E-01;-7.856066233713836E-04;9.646757754261347E-04;1.396180622207829E-01;7.343091904455790E-01;-7.856066233713836E-04;9.646757754261347E-04;
6.776776776776777E+07;1.319449711709020E-01;7.313557150684911E-01;-8.107550371005231E-04;9.952308337101451E-04;1.319449711709020E-01;7.313557150684911E-01;-8.107550371005231E-04;9.952308337101451E-04;
6.801801801801802E+07;1.232466230109823E-01;7.283034822892526E-01;-8.082641993760628E-04;1.116349848049292E-03;1.232466230109823E-01;7.283034822892526E-01;-8.082641993760628E-04;1.116349848049292E-03;
6.826826826826827E+07;1.137183271134776E-01;7.250074379071647E-01;-7.546718942141275E-04;1.095204939769919E-03;1.137183271134776E-01;7.250074379071647E-01;-7.546718942141275E-04;1.095204939769919E-03;
6.851851851851852E+07;1.034903248050451E-01;7.215813628718664E-01;-8.386578471442413E-04;1.129743160387929E-03;1.034903248050451E-01;7.215813628718664E-01;-8.386578471442413E-04;1.129743160387929E-03;
6.876876876876877E+07;9.125197161082409E-02;7.174088227427839E-01;-9.873928565171145E-04;1.336456553296693E-03;9.125197161082409E-02;7.174088227427839E-01;-9.873928565171145E-04;1.336456553296693E-03;
6.901901901901902E+07;7.844729710759800E-02;7.142374558340244E-01;-1.027336787757185E-03;1.137871827042331E-03;7.844729710759800E-02;7.142374558340244E-01;-1.027336787757185E-03;1.137871827042331E-03;
6.926926926926927E+07;6.394677504553509E-02;7.124178406363524E-01;-8.711493860529316E-04;1.209089080937817E-03;6.394677504553509E-02;7.124178406363524E-01;-8.711493860529316E-04;1.209089080937817E-03;
6.951951951951952E+07;4.859084405888427E-02;7.131722996694401E-01;-8.178616064439923E-04;1.325310103700026E-03;4.859084405888427E-02;7.131722996694401E-01;-8.178616064439923E-04;1.325310103700026E-03;
6.976976976976977E+07;3.369734212523513E-02;7.175342856325835E-01;-7.880097545563868E-04;1.348973189291725E-03;3.369734212523513E-02;7.175342856325835E-01;-7.880097545563868E-04;1.348973189291725E-03;
7.002002002002002E+07;2.097392045042166E-02;7.238509939349329E-01;-8.599730629729971E-04;1.437973155462722E-03;2.097392045042166E-02;7.238509939349329E-01;-8.599730629729971E-04;1.437973155462722E-03;
7.027027027027027E+07;1.041369901761366E-02;7.302541894629679E-01;-7.301551227507651E-04;1.343736252790176E-03;1.041369901761366E-02;7.302541894629679E-01;-7.301551227507651E-04;1.343736252790176E-03;
7.052052052052052E+07;3.853611786705220E-04;7.366927572949491E-01;-6.475001992305283E-04;1.408702482644842E-03;3.853611786705220E-04;7.366927572949491E-01;-6.475001992305283E-04;1.408702482644842E-03;
