# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz];re:ZMag1_S12;im:ZMag1_S12;re:SMag1_S11;im:SMag1_S11;re:ZPh1_S12;im:ZPh1_S12;re:SPh1_S11;im:SPh1_S11;
5.000000000000000E+07;-1.080285035258358E-03;-4.865682619756061E-03;5.075258809803197E-01;7.660728350419820E-01;-1.080285035258358E-03;-4.865682619756061E-03;5.075258809803197E-01;7.660728350419820E-01;
5.025025025025025E+07;-2.802258168742685E-03;-4.338336998195373E-03;4.919522976654900E-01;7.659310644307042E-01;-2.802258168742685E-03;-4.338336998195373E-03;4.919522976654900E-01;7.659310644307042E-01;
5.050050050050050E+07;-3.864233419092500E-03;-2.831889464399062E-03;4.748102080908992E-01;7.741585441575207E-01;-3.864233419092500E-03;-2.831889464399062E-03;4.748102080908992E-01;7.741585441575207E-01;
5.075075075075075E+07;-3.758827315662793E-03;-1.076933161761945E-03;4.643640895158063E-01;7.889056661762501E-01;-3.758827315662793E-03;-1.076933161761945E-03;4.643640895158063E-01;7.889056661762501E-01;
5.100100100100100E+07;-3.231310756410739E-03;-2.529815690490763E-04;4.587808225404764E-01;7.999798357778694E-01;-3.231310756410739E-03;-2.529815690490763E-04;4.587808225404764E-01;7.999798357778694E-01;
5.125125125125125E+07;-2.574839806825319E-03;2.239647845834908E-04;4.563943522383350E-01;8.092756576055868E-01;-2.574839806825319E-03;2.239647845834908E-04;4.563943522383350E-01;8.092756576055868E-01;
5.150150150150150E+07;-2.053710492563287E-03;4.082139718831250E-04;4.541088838857495E-01;8.161391437622528E-01;-2.053710492563287E-03;4.082139718831250E-04;4.541088838857495E-01;8.161391437622528E-01;
5.175175175175175E+07;-1.644159392469725E-03;4.775767331671897E-04;4.515766418324038E-01;8.213441282299923E-01;-1.644159392469725E-03;4.775767331671897E-04;4.515766418324038E-01;8.213441282299923E-01;
5.200200200200200E+07;-1.342130154869337E-03;4.664107740363230E-04;4.486545500832247E-01;8.257436441605945E-01;-1.342130154869337E-03;4.664107740363230E-04;4.486545500832247E-01;8.257436441605945E-01;
5.225225225225225E+07;-1.114302583566044E-03;4.417267229594820E-04;4.455555800534294E-01;8.294599219237194E-01;-1.114302583566044E-03;4.417267229594820E-04;4.455555800534294E-01;8.294599219237194E-01;
5.250250250250250E+07;-9.512696572537438E-04;3.969432842045427E-04;4.418761120382366E-01;8.328420587547827E-01;-9.512696572537438E-04;3.969432842045427E-04;4.418761120382366E-01;8.328420587547827E-01;
5.275275275275275E+07;-8.210922102565271E-04;3.618427200600429E-04;4.382082982507970E-01;8.358064068599190E-01;-8.210922102565271E-04;3.618427200600429E-04;4.382082982507970E-01;8.358064068599190E-01;
5.300300300300300E+07;-7.069959155809329E-04;3.264046259129975E-04;4.338217719884452E-01;8.387515769298129E-01;-7.069959155809329E-04;3.264046259129975E-04;4.338217719884452E-01;8.387515769298129E-01;
5.325325325325325E+07;-6.301533481204066E-04;2.823441628349241E-04;4.297527625325936E-01;8.414678265319646E-01;-6.301533481204066E-04;2.823441628349241E-04;4.297527625325936E-01;8.414678265319646E-01;
5.350350350350350E+07;-5.548420358295949E-04;2.530829524173294E-04;4.252448295806883E-01;8.441739515570130E-01;-5.548420358295949E-04;2.530829524173294E-04;4.252448295806883E-01;8.441739515570130E-01;
5.375375375375375E+07;-4.968982385883776E-04;2.329407684711428E-04;4.206161887465748E-01;8.469253690975606E-01;-4.968982385883776E-04;2.329407684711428E-04;4.206161887465748E-01;8.469253690975606E-01;
5.400400400400400E+07;-4.459771816971056E-04;2.035191612131784E-04;4.161278434279354E-01;8.493569553899202E-01;-4.459771816971056E-04;2.035191612131784E-04;4.161278434279354E-01;8.493569553899202E-01;
5.425425425425425E+07;-4.031652116478800E-04;1.786936568677250E-04;4.113716274796433E-01;8.517785013666664E-01;-4.031652116478800E-04;1.786936568677250E-04;4.113716274796433E-01;8.517785013666664E-01;
5.450450450450450E+07;-3.740752903359369E-04;1.491745152529104E-04;4.065743726228008E-01;8.542307731563621E-01;-3.740752903359369E-04;1.491745152529104E-04;4.065743726228008E-01;8.542307731563621E-01;
5.475475475475475E+07;-3.445618974602595E-04;1.362641675149233E-04;4.018480039286028E-01;8.563835402191381E-01;-3.445618974602595E-04;1.362641675149233E-04;4.018480039286028E-01;8.563835402191381E-01;
5.500500500500500E+07;-3.101577462145804E-04;1.172420846864201E-04;3.969298373253118E-01;8.587926908542649E-01;-3.101577462145804E-04;1.172420846864201E-04;3.969298373253118E-01;8.587926908542649E-01;
5.525525525525525E+07;-2.805938869046564E-04;1.068825067264324E-04;3.921712424185863E-01;8.608402042022618E-01;-2.805938869046564E-04;1.068825067264324E-04;3.921712424185863E-01;8.608402042022618E-01;
5.550550550550550E+07;-2.612169529785398E-04;8.310453308411293E-05;3.870927132684026E-01;8.632469882398752E-01;-2.612169529785398E-04;8.310453308411293E-05;3.870927132684026E-01;8.632469882398752E-01;
5.575575575575575E+07;-2.259120055891907E-04;6.852832444636709E-05;3.824393133207981E-01;8.650736176228454E-01;-2.259120055891907E-04;6.852832444636709E-05;3.824393133207981E-01;8.650736176228454E-01;
5.600600600600600E+07;-2.129851273267432E-04;5.223822614375758E-05;3.774982998338258E-01;8.671531438852218E-01;-2.129851273267432E-04;5.223822614375758E-05;3.774982998338258E-01;8.671531438852218E-01;
5.625625625625625E+07;-2.057821218942393E-04;4.088638288035899E-05;3.728271926424541E-01;8.690327378431201E-01;-2.057821218942393E-04;4.088638288035899E-05;3.728271926424541E-01;8.690327378431201E-01;
5.650650650650650E+07;-1.822603794047309E-04;2.526838549264914E-05;3.678375503299066E-01;8.710395621944593E-01;-1.822603794047309E-04;2.526838549264914E-05;3.678375503299066E-01;8.710395621944593E-01;
5.675675675675675E+07;-1.701898545317081E-04;3.752902787107850E-05;3.630058721855545E-01;8.728986623791545E-01;-1.701898545317081E-04;3.752902787107850E-05;3.630058721855545E-01;8.728986623791545E-01;
5.700700700700700E+07;-1.547111543957148E-04;1.746298378933292E-05;3.580872840838170E-01;8.746599870809855E-01;-1.547111543957148E-04;1.746298378933292E-05;3.580872840838170E-01;8.746599870809855E-01;
5.725725725725726E+07;-1.334124638940726E-04;8.948760283835850E-06;3.534866821612315E-01;8.764599422999679E-01;-1.334124638940726E-04;8.948760283835850E-06;3.534866821612315E-01;8.764599422999679E-01;
5.750750750750751E+07;-1.310827568686169E-04;1.000808137613195E-05;3.487174996765559E-01;8.781321831063952E-01;-1.310827568686169E-04;1.000808137613195E-05;3.487174996765559E-01;8.781321831063952E-01;
5.775775775775776E+07;-1.071081607975813E-04;-8.592018057101587E-06;3.439915718045726E-01;8.798816562144336E-01;-1.071081607975813E-04;-8.592018057101587E-06;3.439915718045726E-01;8.798816562144336E-01;
5.800800800800801E+07;-1.029061202980943E-04;-1.284619493881365E-05;3.460733121671428E-01;8.782423335490858E-01;-1.029061202980943E-04;-1.284619493881365E-05;3.460733121671428E-01;8.782423335490858E-01;
5.825825825825826E+07;-9.133741982166526E-05;-2.748420436754853E-05;3.413169455869980E-01;8.797886580606704E-01;-9.133741982166526E-05;-2.748420436754853E-05;3.413169455869980E-01;8.797886580606704E-01;
5.850850850850851E+07;-6.967712081842004E-05;-2.784404186479988E-05;3.367356711228148E-01;8.812474468993198E-01;-6.967712081842004E-05;-2.784404186479988E-05;3.367356711228148E-01;8.812474468993198E-01;
5.875875875875876E+07;-6.903651314538635E-05;-2.144853597160225E-05;3.322456980416903E-01;8.823837459961709E-01;-6.903651314538635E-05;-2.144853597160225E-05;3.322456980416903E-01;8.823837459961709E-01;
5.900900900900901E+07;-5.207952391140822E-05;-3.057781908972215E-05;3.277251640493641E-01;8.838559169461983E-01;-5.207952391140822E-05;-3.057781908972215E-05;3.277251640493641E-01;8.838559169461983E-01;
5.925925925925926E+07;-3.511163613820350E-05;-3.544269106823566E-05;3.233374547428758E-01;8.848995954016063E-01;-3.511163613820350E-05;-3.544269106823566E-05;3.233374547428758E-01;8.848995954016063E-01;
5.950950950950951E+07;-3.600468711945319E-05;-3.135074045659349E-05;3.188323321111826E-01;8.862259403742845E-01;-3.600468711945319E-05;-3.135074045659349E-05;3.188323321111826E-01;8.862259403742845E-01;
5.975975975975976E+07;-1.453790834968903E-05;-3.371859294086427E-05;3.145337068736499E-01;8.874492564373000E-01;-1.453790834968903E-05;-3.371859294086427E-05;3.145337068736499E-01;8.874492564373000E-01;
6.001001001001001E+07;-1.728703935918325E-05;-5.600594215663263E-05;3.104766184589502E-01;8.884235131330027E-01;-1.728703935918325E-05;-5.600594215663263E-05;3.104766184589502E-01;8.884235131330027E-01;
6.026026026026026E+07;1.870636437292536E-06;-4.457277828471752E-05;3.064813851405487E-01;8.895100065958856E-01;1.870636437292536E-06;-4.457277828471752E-05;3.064813851405487E-01;8.895100065958856E-01;
6.051051051051051E+07;5.565849672180625E-06;-5.300383325490103E-05;3.025840685440598E-01;8.906744295411599E-01;5.565849672180625E-06;-5.300383325490103E-05;3.025840685440598E-01;8.906744295411599E-01;
6.076076076076076E+07;2.393570711826859E-05;-5.198866210611562E-05;2.988890635248397E-01;8.916229894269593E-01;2.393570711826859E-05;-5.198866210611562E-05;2.988890635248397E-01;8.916229894269593E-01;
