# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz];re:SMag2_S11;im:SMag2_S11;re:ZPh2_S12;im:ZPh2_S12;re:SPh2_S11;im:SPh2_S11;re:ZMag2_S12;im:ZMag2_S12;
5.000000000000000E+07;5.140907330324381E-01;7.630016549627875E-01;-1.068125509307080E-03;-4.832347767616205E-03;5.140907330324381E-01;7.630016549627875E-01;-1.068125509307080E-03;-4.832347767616205E-03;
5.025025025025025E+07;4.965180888970274E-01;7.648457951072614E-01;-2.871483785910644E-03;-4.347896832927275E-03;4.965180888970274E-01;7.648457951072614E-01;-2.871483785910644E-03;-4.347896832927275E-03;
5.050050050050050E+07;4.812571830259385E-01;7.711269265190633E-01;-3.888703963602369E-03;-2.770133520239097E-03;4.812571830259385E-01;7.711269265190633E-01;-3.888703963602369E-03;-2.770133520239097E-03;
5.075075075075075E+07;4.703525020918587E-01;7.847616746847824E-01;-3.832111211031880E-03;-1.241589013618363E-03;4.703525020918587E-01;7.847616746847824E-01;-3.832111211031880E-03;-1.241589013618363E-03;
5.100100100100100E+07;4.657336243829630E-01;7.972309599306805E-01;-3.222054151260431E-03;-2.369810781162005E-04;4.657336243829630E-01;7.972309599306805E-01;-3.222054151260431E-03;-2.369810781162005E-04;
5.125125125125125E+07;4.633052183133238E-01;8.065455721425537E-01;-2.552858583241164E-03;2.293246040285031E-04;4.633052183133238E-01;8.065455721425537E-01;-2.552858583241164E-03;2.293246040285031E-04;
5.150150150150150E+07;4.616969762999903E-01;8.135886174575023E-01;-2.067816921185020E-03;4.289365006544218E-04;4.616969762999903E-01;8.135886174575023E-01;-2.067816921185020E-03;4.289365006544218E-04;
5.175175175175175E+07;4.593766465218446E-01;8.189309497960191E-01;-1.650807878992009E-03;5.079694133416348E-04;4.593766465218446E-01;8.189309497960191E-01;-1.650807878992009E-03;5.079694133416348E-04;
5.200200200200200E+07;4.570008224666416E-01;8.233624306638665E-01;-1.345177842452734E-03;4.450197614460792E-04;4.570008224666416E-01;8.233624306638665E-01;-1.345177842452734E-03;4.450197614460792E-04;
5.225225225225225E+07;4.535896869564382E-01;8.269629489317827E-01;-1.140253311831562E-03;4.275753007648113E-04;4.535896869564382E-01;8.269629489317827E-01;-1.140253311831562E-03;4.275753007648113E-04;
5.250250250250250E+07;4.502882960629707E-01;8.305037976619308E-01;-9.753035088532385E-04;4.070375122563323E-04;4.502882960629707E-01;8.305037976619308E-01;-9.753035088532385E-04;4.070375122563323E-04;
5.275275275275275E+07;4.462895465298036E-01;8.336307391143448E-01;-8.041030072606881E-04;3.690901994217110E-04;4.462895465298036E-01;8.336307391143448E-01;-8.041030072606881E-04;3.690901994217110E-04;
5.300300300300300E+07;4.426906945136238E-01;8.364839922492159E-01;-7.095076830665461E-04;3.126240110132061E-04;4.426906945136238E-01;8.364839922492159E-01;-7.095076830665461E-04;3.126240110132061E-04;
5.325325325325325E+07;4.384364553623281E-01;8.395074904438039E-01;-6.327769147172167E-04;2.612289946487660E-04;4.384364553623281E-01;8.395074904438039E-01;-6.327769147172167E-04;2.612289946487660E-04;
5.350350350350350E+07;4.339209291413772E-01;8.424080167127698E-01;-5.576730669919973E-04;2.641212518585556E-04;4.339209291413772E-01;8.424080167127698E-01;-5.576730669919973E-04;2.641212518585556E-04;
5.375375375375375E+07;4.294578502198403E-01;8.449155669567022E-01;-5.111747775055373E-04;2.296788467173981E-04;4.294578502198403E-01;8.449155669567022E-01;-5.111747775055373E-04;2.296788467173981E-04;
5.400400400400400E+07;4.251810043995797E-01;8.473874281753434E-01;-4.472483747133188E-04;1.773061246469558E-04;4.251810043995797E-01;8.473874281753434E-01;-4.472483747133188E-04;1.773061246469558E-04;
5.425425425425425E+07;4.206294343888025E-01;8.498788918876082E-01;-4.385155502924573E-04;1.524288389729434E-04;4.206294343888025E-01;8.498788918876082E-01;-4.385155502924573E-04;1.524288389729434E-04;
5.450450450450450E+07;4.157687862882383E-01;8.525137106765260E-01;-3.560441996912779E-04;1.361602962101151E-04;4.157687862882383E-01;8.525137106765260E-01;-3.560441996912779E-04;1.361602962101151E-04;
5.475475475475475E+07;4.112107166374097E-01;8.547578240961480E-01;-3.264815718556919E-04;1.163445716124887E-04;4.112107166374097E-01;8.547578240961480E-01;-3.264815718556919E-04;1.163445716124887E-04;
5.500500500500500E+07;4.064557781140690E-01;8.571917429856222E-01;-3.043808227615902E-04;1.193432145198727E-04;4.064557781140690E-01;8.571917429856222E-01;-3.043808227615902E-04;1.193432145198727E-04;
5.525525525525525E+07;4.017908697525411E-01;8.593590902715281E-01;-2.715939473983273E-04;1.034879296304534E-04;4.017908697525411E-01;8.593590902715281E-01;-2.715939473983273E-04;1.034879296304534E-04;
5.550550550550550E+07;3.968816592796267E-01;8.617834656801198E-01;-2.623827762278005E-04;8.432470093377688E-05;3.968816592796267E-01;8.617834656801198E-01;-2.623827762278005E-04;8.432470093377688E-05;
5.575575575575575E+07;3.920253621739949E-01;8.639182598399157E-01;-2.674434550486078E-04;6.085048032617317E-05;3.920253621739949E-01;8.639182598399157E-01;-2.674434550486078E-04;6.085048032617317E-05;
5.600600600600600E+07;3.871247944416181E-01;8.658311806851516E-01;-2.278304458094459E-04;8.411649711730791E-05;3.871247944416181E-01;8.658311806851516E-01;-2.278304458094459E-04;8.411649711730791E-05;
5.625625625625625E+07;3.825145328708763E-01;8.679068324703870E-01;-2.184564670810215E-04;5.404400987096627E-05;3.825145328708763E-01;8.679068324703870E-01;-2.184564670810215E-04;5.404400987096627E-05;
5.650650650650650E+07;3.777602050419571E-01;8.700940424504544E-01;-2.133209774893032E-04;4.914501275221932E-05;3.777602050419571E-01;8.700940424504544E-01;-2.133209774893032E-04;4.914501275221932E-05;
5.675675675675675E+07;3.728572405922069E-01;8.720321570913369E-01;-1.621366209565499E-04;4.348305845588219E-05;3.728572405922069E-01;8.720321570913369E-01;-1.621366209565499E-04;4.348305845588219E-05;
5.700700700700700E+07;3.682922080725419E-01;8.739111842482769E-01;-1.626588605759377E-04;2.634757307387617E-05;3.682922080725419E-01;8.739111842482769E-01;-1.626588605759377E-04;2.634757307387617E-05;
5.725725725725726E+07;3.636643354703860E-01;8.755390061780586E-01;-1.542496439114469E-04;-8.878705124147465E-06;3.636643354703860E-01;8.755390061780586E-01;-1.542496439114469E-04;-8.878705124147465E-06;
5.750750750750751E+07;3.588067366039012E-01;8.775606034054584E-01;-9.670814609810278E-05;1.520986746378692E-05;3.588067366039012E-01;8.775606034054584E-01;-9.670814609810278E-05;1.520986746378692E-05;
5.775775775775776E+07;3.544215011066948E-01;8.792401304549673E-01;-7.803428715465748E-05;1.393895664451843E-05;3.544215011066948E-01;8.792401304549673E-01;-7.803428715465748E-05;1.393895664451843E-05;
5.800800800800801E+07;3.496811610361896E-01;8.807317208369241E-01;-7.035435620645398E-05;-3.955174242070629E-06;3.496811610361896E-01;8.807317208369241E-01;-7.035435620645398E-05;-3.955174242070629E-06;
5.825825825825826E+07;3.449884569981478E-01;8.822253862264089E-01;-9.673011396104229E-05;-2.741206735087406E-05;3.449884569981478E-01;8.822253862264089E-01;-9.673011396104229E-05;-2.741206735087406E-05;
5.850850850850851E+07;3.403585174388682E-01;8.835534662632312E-01;-7.580680889663491E-05;-8.406866928560534E-06;3.403585174388682E-01;8.835534662632312E-01;-7.580680889663491E-05;-8.406866928560534E-06;
5.875875875875876E+07;3.358523166876080E-01;8.849560160942823E-01;-8.745695643106599E-05;-6.678932797828098E-05;3.358523166876080E-01;8.849560160942823E-01;-8.745695643106599E-05;-6.678932797828098E-05;
5.900900900900901E+07;3.313006265745660E-01;8.863829018166873E-01;-1.018377291578621E-04;-1.535363498114435E-05;3.313006265745660E-01;8.863829018166873E-01;-1.018377291578621E-04;-1.535363498114435E-05;
5.925925925925926E+07;3.269941796885738E-01;8.875155741807681E-01;-7.539108280239796E-05;-5.248015837855507E-05;3.269941796885738E-01;8.875155741807681E-01;-7.539108280239796E-05;-5.248015837855507E-05;
5.950950950950951E+07;3.224066034140737E-01;8.889426046480187E-01;-4.599200749858174E-05;-1.317140157231839E-05;3.224066034140737E-01;8.889426046480187E-01;-4.599200749858174E-05;-1.317140157231839E-05;
5.975975975975976E+07;3.182965410878160E-01;8.898780390818309E-01;-5.072605956413911E-05;1.770886135348941E-06;3.182965410878160E-01;8.898780390818309E-01;-5.072605956413911E-05;1.770886135348941E-06;
6.001001001001001E+07;3.140429367338565E-01;8.912084149236568E-01;-3.988464157970114E-05;-5.829284410366456E-05;3.140429367338565E-01;8.912084149236568E-01;-3.988464157970114E-05;-5.829284410366456E-05;
6.026026026026026E+07;3.099748956568505E-01;8.923264634139281E-01;1.452496279929400E-05;-2.333574044708610E-05;3.099748956568505E-01;8.923264634139281E-01;1.452496279929400E-05;-2.333574044708610E-05;
6.051051051051051E+07;3.061697652824328E-01;8.934118325896560E-01;2.402714868799147E-05;-4.436992827617119E-05;3.061697652824328E-01;8.934118325896560E-01;2.402714868799147E-05;-4.436992827617119E-05;
6.076076076076076E+07;3.023094545424648E-01;8.944603367345925E-01;3.347423652060615E-05;-5.929123807696942E-05;3.023094545424648E-01;8.944603367345925E-01;3.347423652060615E-05;-5.929123807696942E-05;
6.101101101101101E+07;2.986751282573841E-01;8.953830165971752E-01;5.920623569827455E-05;-5.370486827737193E-05;2.986751282573841E-01;8.953830165971752E-01;5.920623569827455E-05;-5.370486827737193E-05;
6.126126126126126E+07;2.949264943671990E-01;8.961635139249808E-01;6.312143552917123E-05;-2.957408556724638E-05;2.949264943671990E-01;8.961635139249808E-01;6.312143552917123E-05;-2.957408556724638E-05;
6.151151151151151E+07;2.914829737427554E-01;8.969661976603577E-01;5.553178909143902E-05;-6.939715039957253E-05;2.914829737427554E-01;8.969661976603577E-01;5.553178909143902E-05;-6.939715039957253E-05;
6.176176176176176E+07;2.879756261210955E-01;8.976146372697555E-01;6.419796081267650E-05;-8.659773335964474E-05;2.879756261210955E-01;8.976146372697555E-01;6.419796081267650E-05;-8.659773335964474E-05;
6.201201201201201E+07;2.845140223949115E-01;8.982879682563472E-01;1.224827145404169E-04;-6.312330455328619E-05;2.845140223949115E-01;8.982879682563472E-01;1.224827145404169E-04;-6.312330455328619E-05;
6.226226226226226E+07;2.812386059897760E-01;8.987387427870093E-01;7.183779754291514E-05;-5.803785642482639E-05;2.812386059897760E-01;8.987387427870093E-01;7.183779754291514E-05;-5.803785642482639E-05;
6.251251251251251E+07;2.778855732754514E-01;8.991616325999001E-01;1.560888436827036E-04;-1.134022825373164E-04;2.778855732754514E-01;8.991616325999001E-01;1.560888436827036E-04;-1.134022825373164E-04;
6.276276276276276E+07;2.750112172617118E-01;8.996431063650618E-01;1.023307930419844E-04;-8.597771325813147E-05;2.750112172617118E-01;8.996431063650618E-01;1.023307930419844E-04;-8.597771325813147E-05;
6.301301301301301E+07;2.717711527628726E-01;8.997896052531165E-01;9.956271612951576E-05;-5.263096357456000E-05;2.717711527628726E-01;8.997896052531165E-01;9.956271612951576E-05;-5.263096357456000E-05;
6.326326326326326E+07;2.688387796815763E-01;8.999471561610283E-01;1.680317505382662E-04;-7.280743868198578E-05;2.688387796815763E-01;8.999471561610283E-01;1.680317505382662E-04;-7.280743868198578E-05;
6.351351351351351E+07;2.659131361904618E-01;9.000329224237503E-01;1.935420831180848E-04;-4.120182261380393E-05;2.659131361904618E-01;9.000329224237503E-01;1.935420831180848E-04;-4.120182261380393E-05;
6.376376376376376E+07;2.631264497768762E-01;8.998913942670957E-01;2.038091942995599E-04;-1.054939188215153E-04;2.631264497768762E-01;8.998913942670957E-01;2.038091942995599E-04;-1.054939188215153E-04;
