# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz];re:ZMag1_S12;im:ZMag1_S12;re:SMag1_S11;im:SMag1_S11;re:ZPh1_S12;im:ZPh1_S12;re:SPh1_S11;im:SPh1_S11;
5.000000000000000E+07;-1.623962616522387E-03;-7.557844207205863E-03;5.749153475985020E-01;6.327073703157494E-01;-1.623962616522387E-03;-7.557844207205863E-03;5.749153475985020E-01;6.327073703157494E-01;
5.025025025025025E+07;-2.954153932227229E-03;-7.704166078994408E-03;5.528023959577839E-01;6.150277830333591E-01;-2.954153932227229E-03;-7.704166078994408E-03;5.528023959577839E-01;6.150277830333591E-01;
5.050050050050050E+07;-4.416923926139186E-03;-7.432809190995746E-03;5.210452238324218E-01;6.020173599571611E-01;-4.416923926139186E-03;-7.432809190995746E-03;5.210452238324218E-01;6.020173599571611E-01;
5.075075075075075E+07;-5.833101062021378E-03;-6.603802281975731E-03;4.822795217736091E-01;5.996425312623176E-01;-5.833101062021378E-03;-6.603802281975731E-03;4.822795217736091E-01;5.996425312623176E-01;
5.100100100100100E+07;-6.891932545545259E-03;-5.330257067711289E-03;4.424339546518223E-01;6.114121190357176E-01;-6.891932545545259E-03;-5.330257067711289E-03;4.424339546518223E-01;6.114121190357176E-01;
5.125125125125125E+07;-7.341587688691521E-03;-3.845754456772365E-03;4.091557473091544E-01;6.352617178769256E-01;-7.341587688691521E-03;-3.845754456772365E-03;4.091557473091544E-01;6.352617178769256E-01;
5.150150150150150E+07;-7.299398302297818E-03;-2.425568241757100E-03;3.865355732671856E-01;6.671251799080514E-01;-7.299398302297818E-03;-2.425568241757100E-03;3.865355732671856E-01;6.671251799080514E-01;
5.175175175175175E+07;-6.899962150857834E-03;-1.313226714863018E-03;3.736526861230055E-01;6.964050514633716E-01;-6.899962150857834E-03;-1.313226714863018E-03;3.736526861230055E-01;6.964050514633716E-01;
5.200200200200200E+07;-6.324752276305240E-03;-4.504861761979321E-04;3.692775078074584E-01;7.235741091002522E-01;-6.324752276305240E-03;-4.504861761979321E-04;3.692775078074584E-01;7.235741091002522E-01;
5.225225225225225E+07;-5.729730676681625E-03;1.168888058598971E-04;3.695225248257239E-01;7.462237445406233E-01;-5.729730676681625E-03;1.168888058598971E-04;3.695225248257239E-01;7.462237445406233E-01;
5.250250250250250E+07;-5.120773565191128E-03;4.765844810318230E-04;3.728938173421126E-01;7.637002116238034E-01;-5.120773565191128E-03;4.765844810318230E-04;3.728938173421126E-01;7.637002116238034E-01;
5.275275275275275E+07;-4.591806889384808E-03;6.934646173621603E-04;3.755763109049026E-01;7.780177716279782E-01;-4.591806889384808E-03;6.934646173621603E-04;3.755763109049026E-01;7.780177716279782E-01;
5.300300300300300E+07;-4.153917723398498E-03;8.128171303784287E-04;3.787511528497117E-01;7.888900759162978E-01;-4.153917723398498E-03;8.128171303784287E-04;3.787511528497117E-01;7.888900759162978E-01;
5.325325325325325E+07;-3.758146806342233E-03;8.571913545623907E-04;3.817572391081480E-01;7.972425934572609E-01;-3.758146806342233E-03;8.571913545623907E-04;3.817572391081480E-01;7.972425934572609E-01;
5.350350350350350E+07;-3.430684549668134E-03;8.497560605463999E-04;3.838784165700659E-01;8.039145769168428E-01;-3.430684549668134E-03;8.497560605463999E-04;3.838784165700659E-01;8.039145769168428E-01;
5.375375375375375E+07;-3.169030512533077E-03;8.532883389415620E-04;3.851747378631882E-01;8.095627107640725E-01;-3.169030512533077E-03;8.532883389415620E-04;3.851747378631882E-01;8.095627107640725E-01;
5.400400400400400E+07;-2.926177161196814E-03;8.296455583419887E-04;3.857674908195650E-01;8.142900121048169E-01;-2.926177161196814E-03;8.296455583419887E-04;3.857674908195650E-01;8.142900121048169E-01;
5.425425425425425E+07;-2.723875393424335E-03;8.024282818189272E-04;3.858479535964229E-01;8.183514795815801E-01;-2.723875393424335E-03;8.024282818189272E-04;3.858479535964229E-01;8.183514795815801E-01;
5.450450450450450E+07;-2.558620736860085E-03;7.678094708373518E-04;3.854271555905719E-01;8.220054494421988E-01;-2.558620736860085E-03;7.678094708373518E-04;3.854271555905719E-01;8.220054494421988E-01;
5.475475475475475E+07;-2.397866716170165E-03;7.262802317325035E-04;3.846281870475654E-01;8.254055034960520E-01;-2.397866716170165E-03;7.262802317325035E-04;3.846281870475654E-01;8.254055034960520E-01;
5.500500500500500E+07;-2.280771849012333E-03;6.757633112812964E-04;3.835264349387469E-01;8.284072843081906E-01;-2.280771849012333E-03;6.757633112812964E-04;3.835264349387469E-01;8.284072843081906E-01;
5.525525525525525E+07;-2.163441468088577E-03;6.587495477502392E-04;3.823964544179189E-01;8.311573837584320E-01;-2.163441468088577E-03;6.587495477502392E-04;3.823964544179189E-01;8.311573837584320E-01;
5.550550550550550E+07;-2.038491969175802E-03;6.111422489661482E-04;3.808544699157075E-01;8.336608922673874E-01;-2.038491969175802E-03;6.111422489661482E-04;3.808544699157075E-01;8.336608922673874E-01;
5.575575575575575E+07;-1.948327172885939E-03;5.610577671263209E-04;3.791915838319954E-01;8.358598036598776E-01;-1.948327172885939E-03;5.610577671263209E-04;3.791915838319954E-01;8.358598036598776E-01;
5.600600600600600E+07;-1.887897371785816E-03;5.337914596189614E-04;3.771223403209760E-01;8.379557483276472E-01;-1.887897371785816E-03;5.337914596189614E-04;3.771223403209760E-01;8.379557483276472E-01;
5.625625625625625E+07;-1.789309517017009E-03;4.882742513643092E-04;3.750058095064336E-01;8.396394798512424E-01;-1.789309517017009E-03;4.882742513643092E-04;3.750058095064336E-01;8.396394798512424E-01;
5.650650650650650E+07;-1.741685891454958E-03;4.567572502340174E-04;3.728318884311028E-01;8.413470666728174E-01;-1.741685891454958E-03;4.567572502340174E-04;3.728318884311028E-01;8.413470666728174E-01;
5.675675675675675E+07;-1.662496719038073E-03;4.139391377265030E-04;3.702001483755241E-01;8.426791201552126E-01;-1.662496719038073E-03;4.139391377265030E-04;3.702001483755241E-01;8.426791201552126E-01;
5.700700700700700E+07;-1.612035711679893E-03;3.786398455517550E-04;3.677292756120674E-01;8.440781265165012E-01;-1.612035711679893E-03;3.786398455517550E-04;3.677292756120674E-01;8.440781265165012E-01;
5.725725725725726E+07;-1.583035545184057E-03;3.317344642536550E-04;3.648644777206892E-01;8.450623329933784E-01;-1.583035545184057E-03;3.317344642536550E-04;3.648644777206892E-01;8.450623329933784E-01;
5.750750750750751E+07;-1.536905065998571E-03;2.934272083136921E-04;3.618362046220483E-01;8.461301213857230E-01;-1.536905065998571E-03;2.934272083136921E-04;3.618362046220483E-01;8.461301213857230E-01;
5.775775775775776E+07;-1.491479513043849E-03;2.559466617591839E-04;3.588273797862804E-01;8.473126265191574E-01;-1.491479513043849E-03;2.559466617591839E-04;3.588273797862804E-01;8.473126265191574E-01;
5.800800800800801E+07;-1.450739878108383E-03;2.125499734643869E-04;3.614094084944543E-01;8.454590360390016E-01;-1.450739878108383E-03;2.125499734643869E-04;3.614094084944543E-01;8.454590360390016E-01;
5.825825825825826E+07;-1.431251667244660E-03;1.866545585082008E-04;3.582105987863424E-01;8.462321876663575E-01;-1.431251667244660E-03;1.866545585082008E-04;3.582105987863424E-01;8.462321876663575E-01;
5.850850850850851E+07;-1.406153455254653E-03;1.573827987423849E-04;3.548462402967206E-01;8.468041122887080E-01;-1.406153455254653E-03;1.573827987423849E-04;3.548462402967206E-01;8.468041122887080E-01;
5.875875875875876E+07;-1.379329604802662E-03;1.098165249627914E-04;3.513708517025279E-01;8.473399975662843E-01;-1.379329604802662E-03;1.098165249627914E-04;3.513708517025279E-01;8.473399975662843E-01;
5.900900900900901E+07;-1.356742283547548E-03;9.309931879738039E-05;3.476690486250273E-01;8.478994499125190E-01;-1.356742283547548E-03;9.309931879738039E-05;3.476690486250273E-01;8.478994499125190E-01;
5.925925925925926E+07;-1.329194886815240E-03;5.465455356797059E-05;3.437152313624513E-01;8.483401127953570E-01;-1.329194886815240E-03;5.465455356797059E-05;3.437152313624513E-01;8.483401127953570E-01;
5.950950950950951E+07;-1.329583578838215E-03;4.773070604046833E-05;3.396158055179203E-01;8.490576606117716E-01;-1.329583578838215E-03;4.773070604046833E-05;3.396158055179203E-01;8.490576606117716E-01;
5.975975975975976E+07;-1.319581379689818E-03;-4.826006392353559E-06;3.354105625559123E-01;8.497829219710342E-01;-1.319581379689818E-03;-4.826006392353559E-06;3.354105625559123E-01;8.497829219710342E-01;
6.001001001001001E+07;-1.297994375773301E-03;-2.150809823450578E-05;3.311212076236646E-01;8.508072505386690E-01;-1.297994375773301E-03;-2.150809823450578E-05;3.311212076236646E-01;8.508072505386690E-01;
6.026026026026026E+07;-1.296148120405302E-03;-4.337129704338035E-05;3.269587087491368E-01;8.523125687475112E-01;-1.296148120405302E-03;-4.337129704338035E-05;3.269587087491368E-01;8.523125687475112E-01;
6.051051051051051E+07;-1.294421754748945E-03;-4.989193222016241E-05;3.229927239603428E-01;8.539058915772016E-01;-1.294421754748945E-03;-4.989193222016241E-05;3.229927239603428E-01;8.539058915772016E-01;
6.076076076076076E+07;-1.298442061564133E-03;-6.877914606318255E-05;3.191712753806660E-01;8.555758483537672E-01;-1.298442061564133E-03;-6.877914606318255E-05;3.191712753806660E-01;8.555758483537672E-01;
