# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz];re:SMag2_S11;im:SMag2_S11;re:ZPh2_S12;im:ZPh2_S12;re:SPh2_S11;im:SPh2_S11;re:ZMag2_S12;im:ZMag2_S12;
5.000000000000000E+07;5.782630700828270E-01;6.419430161339056E-01;-1.210666968509024E-03;-7.305942250511239E-03;5.782630700828270E-01;6.419430161339056E-01;-1.210666968509024E-03;-7.305942250511239E-03;
5.025025025025025E+07;5.583477755912217E-01;6.252553790255991E-01;-2.342551431426628E-03;-7.593775231852883E-03;5.583477755912217E-01;6.252553790255991E-01;-2.342551431426628E-03;-7.593775231852883E-03;
5.050050050050050E+07;5.284458185946092E-01;6.120933582452348E-01;-3.814275254125775E-03;-7.550025700588194E-03;5.284458185946092E-01;6.120933582452348E-01;-3.814275254125775E-03;-7.550025700588194E-03;
5.075075075075075E+07;4.926154224857132E-01;6.076032916344450E-01;-5.290433086792464E-03;-6.957220971260187E-03;4.926154224857132E-01;6.076032916344450E-01;-5.290433086792464E-03;-6.957220971260187E-03;
5.100100100100100E+07;4.541375345515513E-01;6.165305169867363E-01;-6.383612921967063E-03;-5.931868166389744E-03;4.541375345515513E-01;6.165305169867363E-01;-6.383612921967063E-03;-5.931868166389744E-03;
5.125125125125125E+07;4.204862157420591E-01;6.377829517919336E-01;-7.376397022310016E-03;-4.411904892873638E-03;4.204862157420591E-01;6.377829517919336E-01;-7.376397022310016E-03;-4.411904892873638E-03;
5.150150150150150E+07;3.979815199019094E-01;6.666953700745993E-01;-7.349626605779451E-03;-2.932262807823750E-03;3.979815199019094E-01;6.666953700745993E-01;-7.349626605779451E-03;-2.932262807823750E-03;
5.175175175175175E+07;3.833528787700675E-01;6.956477922177031E-01;-7.088206050542330E-03;-1.640392763898571E-03;3.833528787700675E-01;6.956477922177031E-01;-7.088206050542330E-03;-1.640392763898571E-03;
5.200200200200200E+07;3.782829612802484E-01;7.222202090117961E-01;-6.519559063121967E-03;-6.372816408299183E-04;3.782829612802484E-01;7.222202090117961E-01;-6.519559063121967E-03;-6.372816408299183E-04;
5.225225225225225E+07;3.780827985280568E-01;7.447046896649034E-01;-5.879597835404746E-03;-4.602005067927732E-05;3.780827985280568E-01;7.447046896649034E-01;-5.879597835404746E-03;-4.602005067927732E-05;
5.250250250250250E+07;3.804782500239923E-01;7.626576164556045E-01;-5.281336863086196E-03;4.148821606508943E-04;3.804782500239923E-01;7.626576164556045E-01;-5.281336863086196E-03;4.148821606508943E-04;
5.275275275275275E+07;3.838679959450760E-01;7.767418584496784E-01;-4.696363833122699E-03;6.381056239391978E-04;3.838679959450760E-01;7.767418584496784E-01;-4.696363833122699E-03;6.381056239391978E-04;
5.300300300300300E+07;3.870116210210847E-01;7.876916857200988E-01;-4.236200426056000E-03;7.721640633769540E-04;3.870116210210847E-01;7.876916857200988E-01;-4.236200426056000E-03;7.721640633769540E-04;
5.325325325325325E+07;3.902191092857970E-01;7.968134150986534E-01;-3.795241215190307E-03;8.424987901712988E-04;3.902191092857970E-01;7.968134150986534E-01;-3.795241215190307E-03;8.424987901712988E-04;
5.350350350350350E+07;3.922203827787483E-01;8.039453660587863E-01;-3.458042129973647E-03;9.258562658551553E-04;3.922203827787483E-01;8.039453660587863E-01;-3.458042129973647E-03;9.258562658551553E-04;
5.375375375375375E+07;3.938653318450669E-01;8.098318139501424E-01;-3.159961883390314E-03;9.106222361603521E-04;3.938653318450669E-01;8.098318139501424E-01;-3.159961883390314E-03;9.106222361603521E-04;
5.400400400400400E+07;3.947942148983761E-01;8.146116592468415E-01;-2.961039009431925E-03;9.049102770085588E-04;3.947942148983761E-01;8.146116592468415E-01;-2.961039009431925E-03;9.049102770085588E-04;
5.425425425425425E+07;3.951600192452607E-01;8.186957624959580E-01;-2.693504932267617E-03;8.126211489848301E-04;3.951600192452607E-01;8.186957624959580E-01;-2.693504932267617E-03;8.126211489848301E-04;
5.450450450450450E+07;3.952309772276623E-01;8.225264123830934E-01;-2.527605285931662E-03;7.886299100097860E-04;3.952309772276623E-01;8.225264123830934E-01;-2.527605285931662E-03;7.886299100097860E-04;
5.475475475475475E+07;3.946173797655280E-01;8.258285029956187E-01;-2.418225666129343E-03;7.191522303774316E-04;3.946173797655280E-01;8.258285029956187E-01;-2.418225666129343E-03;7.191522303774316E-04;
5.500500500500500E+07;3.938355843133320E-01;8.288125371488942E-01;-2.214507988553113E-03;7.334000518909863E-04;3.938355843133320E-01;8.288125371488942E-01;-2.214507988553113E-03;7.334000518909863E-04;
5.525525525525525E+07;3.926147735685163E-01;8.315422834978964E-01;-2.099395635828272E-03;6.918148091419592E-04;3.926147735685163E-01;8.315422834978964E-01;-2.099395635828272E-03;6.918148091419592E-04;
5.550550550550550E+07;3.911062447807182E-01;8.338056989854793E-01;-2.002393682887768E-03;6.359670574279457E-04;3.911062447807182E-01;8.338056989854793E-01;-2.002393682887768E-03;6.359670574279457E-04;
5.575575575575575E+07;3.893885114127135E-01;8.361946062485613E-01;-1.906139301852096E-03;5.873302696753669E-04;3.893885114127135E-01;8.361946062485613E-01;-1.906139301852096E-03;5.873302696753669E-04;
5.600600600600600E+07;3.875759677019796E-01;8.383795741209922E-01;-1.751669153419077E-03;5.163798344532661E-04;3.875759677019796E-01;8.383795741209922E-01;-1.751669153419077E-03;5.163798344532661E-04;
5.625625625625625E+07;3.856937755589527E-01;8.400072189661782E-01;-1.755517622008341E-03;4.930437431820531E-04;3.856937755589527E-01;8.400072189661782E-01;-1.755517622008341E-03;4.930437431820531E-04;
5.650650650650650E+07;3.833083168998679E-01;8.418343901923548E-01;-1.709423275034580E-03;4.502549466681784E-04;3.833083168998679E-01;8.418343901923548E-01;-1.709423275034580E-03;4.502549466681784E-04;
5.675675675675675E+07;3.810116125961227E-01;8.432871520162827E-01;-1.649075472175663E-03;3.738122148567391E-04;3.810116125961227E-01;8.432871520162827E-01;-1.649075472175663E-03;3.738122148567391E-04;
5.700700700700700E+07;3.785579475190137E-01;8.443684621902757E-01;-1.583228547556444E-03;3.748443559088597E-04;3.785579475190137E-01;8.443684621902757E-01;-1.583228547556444E-03;3.748443559088597E-04;
5.725725725725726E+07;3.757691489546068E-01;8.457183475339183E-01;-1.517140658087509E-03;3.054463417685319E-04;3.757691489546068E-01;8.457183475339183E-01;-1.517140658087509E-03;3.054463417685319E-04;
5.750750750750751E+07;3.728435640906543E-01;8.469433650465671E-01;-1.457360549512981E-03;3.266266119351596E-04;3.728435640906543E-01;8.469433650465671E-01;-1.457360549512981E-03;3.266266119351596E-04;
5.775775775775776E+07;3.698279650154638E-01;8.478784073485996E-01;-1.445217729018612E-03;2.887139502277776E-04;3.698279650154638E-01;8.478784073485996E-01;-1.445217729018612E-03;2.887139502277776E-04;
5.800800800800801E+07;3.664769490886333E-01;8.484700708822853E-01;-1.443119114539390E-03;2.289747163298560E-04;3.664769490886333E-01;8.484700708822853E-01;-1.443119114539390E-03;2.289747163298560E-04;
5.825825825825826E+07;3.633410111887838E-01;8.493557321840540E-01;-1.368188796768794E-03;1.842504778553990E-04;3.633410111887838E-01;8.493557321840540E-01;-1.368188796768794E-03;1.842504778553990E-04;
5.850850850850851E+07;3.597181552925347E-01;8.499910274678398E-01;-1.367694110346631E-03;1.798089699306869E-04;3.597181552925347E-01;8.499910274678398E-01;-1.367694110346631E-03;1.798089699306869E-04;
5.875875875875876E+07;3.558768159799058E-01;8.506902095808988E-01;-1.351118027034366E-03;1.456227931147792E-04;3.558768159799058E-01;8.506902095808988E-01;-1.351118027034366E-03;1.456227931147792E-04;
5.900900900900901E+07;3.523163448493025E-01;8.511539071361856E-01;-1.285195298492600E-03;9.792718236374731E-05;3.523163448493025E-01;8.511539071361856E-01;-1.285195298492600E-03;9.792718236374731E-05;
5.925925925925926E+07;3.482821899156248E-01;8.518601717810713E-01;-1.281910436118005E-03;7.868638762379428E-05;3.482821899156248E-01;8.518601717810713E-01;-1.281910436118005E-03;7.868638762379428E-05;
5.950950950950951E+07;3.440979283516817E-01;8.528400068191865E-01;-1.272427225357010E-03;2.478713424861869E-05;3.440979283516817E-01;8.528400068191865E-01;-1.272427225357010E-03;2.478713424861869E-05;
