# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz];re:ZMag1_S12;im:ZMag1_S12;re:SMag1_S11;im:SMag1_S11;re:ZPh1_S12;im:ZPh1_S12;re:SPh1_S11;im:SPh1_S11;
5.000000000000000E+07;1.088173421749210E-01;1.489260176812669E-02;3.511166916039130E-01;8.131110593392920E-01;1.088173421749210E-01;1.489260176812669E-02;3.511166916039130E-01;8.131110593392920E-01;
5.025025025025025E+07;1.126942804780482E-01;1.737749619377262E-02;3.438793825232862E-01;8.138347314176840E-01;1.126942804780482E-01;1.737749619377262E-02;3.438793825232862E-01;8.138347314176840E-01;
5.050050050050050E+07;1.171703568463121E-01;1.888031709668097E-02;3.359080992345654E-01;8.155903458813460E-01;1.171703568463121E-01;1.888031709668097E-02;3.359080992345654E-01;8.155903458813460E-01;
5.075075075075075E+07;1.219271000499692E-01;1.759904340942416E-02;3.272093306572770E-01;8.180715547582526E-01;1.219271000499692E-01;1.759904340942416E-02;3.272093306572770E-01;8.180715547582526E-01;
5.100100100100100E+07;1.267681584788317E-01;1.884095428198401E-02;3.188752087994920E-01;8.200574136551899E-01;1.267681584788317E-01;1.884095428198401E-02;3.188752087994920E-01;8.200574136551899E-01;
5.125125125125125E+07;1.308944221159828E-01;1.714704552727414E-02;3.106463283248033E-01;8.238738874185907E-01;1.308944221159828E-01;1.714704552727414E-02;3.106463283248033E-01;8.238738874185907E-01;
5.150150150150150E+07;1.341684709040503E-01;1.469716746420562E-02;3.026695196489925E-01;8.281957838883484E-01;1.341684709040503E-01;1.469716746420562E-02;3.026695196489925E-01;8.281957838883484E-01;
5.175175175175175E+07;1.364172813666566E-01;1.177160695756422E-02;2.955713547518457E-01;8.328369432321162E-01;1.364172813666566E-01;1.177160695756422E-02;2.955713547518457E-01;8.328369432321162E-01;
5.200200200200200E+07;1.377257446913421E-01;9.021153807078117E-03;2.888264063123356E-01;8.376586246365559E-01;1.377257446913421E-01;9.021153807078117E-03;2.888264063123356E-01;8.376586246365559E-01;
5.225225225225225E+07;1.384182653541774E-01;6.900343730574941E-03;2.829198305686434E-01;8.425097590371463E-01;1.384182653541774E-01;6.900343730574941E-03;2.829198305686434E-01;8.425097590371463E-01;
5.250250250250250E+07;1.381501026718693E-01;4.323777688892077E-03;2.776117024937524E-01;8.472359809431202E-01;1.381501026718693E-01;4.323777688892077E-03;2.776117024937524E-01;8.472359809431202E-01;
5.275275275275275E+07;1.371064288836458E-01;2.617995834814848E-03;2.724616831251732E-01;8.516838179287824E-01;1.371064288836458E-01;2.617995834814848E-03;2.724616831251732E-01;8.516838179287824E-01;
5.300300300300300E+07;1.366779163871804E-01;1.109197199010003E-03;2.678346684660577E-01;8.559124946477663E-01;1.366779163871804E-01;1.109197199010003E-03;2.678346684660577E-01;8.559124946477663E-01;
5.325325325325325E+07;1.356067407008305E-01;1.474452564784244E-04;2.628737476564616E-01;8.602681425005851E-01;1.356067407008305E-01;1.474452564784244E-04;2.628737476564616E-01;8.602681425005851E-01;
5.350350350350350E+07;1.343769189593363E-01;-4.817003146936170E-04;2.586845882593634E-01;8.640379396044490E-01;1.343769189593363E-01;-4.817003146936170E-04;2.586845882593634E-01;8.640379396044490E-01;
5.375375375375375E+07;1.330919488817038E-01;-8.367595274599266E-04;2.548319944015549E-01;8.671801067671630E-01;1.330919488817038E-01;-8.367595274599266E-04;2.548319944015549E-01;8.671801067671630E-01;
5.400400400400400E+07;1.319618573943760E-01;-1.360443592236895E-03;2.511155277687229E-01;8.701240329780452E-01;1.319618573943760E-01;-1.360443592236895E-03;2.511155277687229E-01;8.701240329780452E-01;
5.425425425425425E+07;1.306692135704835E-01;-1.220917716209327E-03;2.476161242950217E-01;8.727387802044438E-01;1.306692135704835E-01;-1.220917716209327E-03;2.476161242950217E-01;8.727387802044438E-01;
5.450450450450450E+07;1.276344912660324E-01;-9.886020474152866E-04;2.446536553677380E-01;8.755346447755692E-01;1.276344912660324E-01;-9.886020474152866E-04;2.446536553677380E-01;8.755346447755692E-01;
