# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz];re:SMag2_S11;im:SMag2_S11;re:ZPh2_S12;im:ZPh2_S12;re:SPh2_S11;im:SPh2_S11;re:ZMag2_S12;im:ZMag2_S12;
5.000000000000000E+07;3.688667829328442E-01;7.965292971149154E-01;1.015058868947297E-01;4.175125240933258E-02;3.688667829328442E-01;7.965292971149154E-01;1.015058868947297E-01;4.175125240933258E-02;
5.025025025025025E+07;3.602149286532429E-01;7.954894965421545E-01;1.081893057295676E-01;4.657170377644393E-02;3.602149286532429E-01;7.954894965421545E-01;1.081893057295676E-01;4.657170377644393E-02;
5.050050050050050E+07;3.503824344645624E-01;7.949499573616217E-01;1.166624383320338E-01;4.977944874762923E-02;3.503824344645624E-01;7.949499573616217E-01;1.166624383320338E-01;4.977944874762923E-02;
5.075075075075075E+07;3.390871213961504E-01;7.955553907605332E-01;1.261993105141610E-01;5.128173260737054E-02;3.390871213961504E-01;7.955553907605332E-01;1.261993105141610E-01;5.128173260737054E-02;
5.100100100100100E+07;3.275561126712136E-01;7.985237955794017E-01;1.357664714820650E-01;4.849553168904788E-02;3.275561126712136E-01;7.985237955794017E-01;1.357664714820650E-01;4.849553168904788E-02;
5.125125125125125E+07;3.160023771619493E-01;8.031208687325072E-01;1.437874732156224E-01;4.398350999325362E-02;3.160023771619493E-01;8.031208687325072E-01;1.437874732156224E-01;4.398350999325362E-02;
5.150150150150150E+07;3.057895480869209E-01;8.093720496080721E-01;1.497287396125685E-01;3.767051665482759E-02;3.057895480869209E-01;8.093720496080721E-01;1.497287396125685E-01;3.767051665482759E-02;
5.175175175175175E+07;2.969930680047356E-01;8.162380474367227E-01;1.533495254858839E-01;3.086563260061480E-02;2.969930680047356E-01;8.162380474367227E-01;1.533495254858839E-01;3.086563260061480E-02;
5.200200200200200E+07;2.906844621389106E-01;8.249950889515146E-01;1.544150312634408E-01;2.409884371247347E-02;2.906844621389106E-01;8.249950889515146E-01;1.544150312634408E-01;2.409884371247347E-02;
5.225225225225225E+07;2.848378850037717E-01;8.315163594843319E-01;1.527300747875693E-01;1.689596091554416E-02;2.848378850037717E-01;8.315163594843319E-01;1.527300747875693E-01;1.689596091554416E-02;
5.250250250250250E+07;2.801220908247599E-01;8.350883779798217E-01;1.533918647745059E-01;1.358494970861236E-02;2.801220908247599E-01;8.350883779798217E-01;1.533918647745059E-01;1.358494970861236E-02;
5.275275275275275E+07;2.756138009809704E-01;8.407958379792337E-01;1.515217518307125E-01;9.654029363091071E-03;2.756138009809704E-01;8.407958379792337E-01;1.515217518307125E-01;9.654029363091071E-03;
5.300300300300300E+07;2.713479834231974E-01;8.463264631345401E-01;1.491585646225007E-01;6.706269517971745E-03;2.713479834231974E-01;8.463264631345401E-01;1.491585646225007E-01;6.706269517971745E-03;
5.325325325325325E+07;2.674168297126840E-01;8.516188983952970E-01;1.459586927188888E-01;4.976620481824091E-03;2.674168297126840E-01;8.516188983952970E-01;1.459586927188888E-01;4.976620481824091E-03;
5.350350350350350E+07;2.639315940180188E-01;8.559945988789226E-01;1.437882261047609E-01;5.541910659971555E-03;2.639315940180188E-01;8.559945988789226E-01;1.437882261047609E-01;5.541910659971555E-03;
5.375375375375375E+07;2.603623998299133E-01;8.602525807056539E-01;1.415936463995673E-01;4.794924344247479E-03;2.603623998299133E-01;8.602525807056539E-01;1.415936463995673E-01;4.794924344247479E-03;
5.400400400400400E+07;2.569774039968332E-01;8.640299757920827E-01;1.391489356579002E-01;4.269113603379094E-03;2.569774039968332E-01;8.640299757920827E-01;1.391489356579002E-01;4.269113603379094E-03;
5.425425425425425E+07;2.538825875673889E-01;8.673476625308466E-01;1.367601457142640E-01;3.994985933160625E-03;2.538825875673889E-01;8.673476625308466E-01;1.367601457142640E-01;3.994985933160625E-03;
5.450450450450450E+07;2.505127610880210E-01;8.702620549299638E-01;1.344403376286241E-01;4.265650880975662E-03;2.505127610880210E-01;8.702620549299638E-01;1.344403376286241E-01;4.265650880975662E-03;
5.475475475475475E+07;2.476766229484397E-01;8.729997396481624E-01;1.321279528431149E-01;4.810424175412119E-03;2.476766229484397E-01;8.729997396481624E-01;1.321279528431149E-01;4.810424175412119E-03;
5.500500500500500E+07;2.442022559266702E-01;8.752446894638608E-01;1.300957632601491E-01;5.724246927577553E-03;2.442022559266702E-01;8.752446894638608E-01;1.300957632601491E-01;5.724246927577553E-03;
