# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz];re:ZMag1_S12;im:ZMag1_S12;re:SMag1_S11;im:SMag1_S11;re:ZPh1_S12;im:ZPh1_S12;re:SPh1_S11;im:SPh1_S11;
5.000000000000000E+07;9.641106974359681E-02;1.593974180045686E-03;3.597940481589171E-01;8.256508675314558E-01;9.641106974359681E-02;1.593974180045686E-03;3.597940481589171E-01;8.256508675314558E-01;
5.025025025025025E+07;9.805911495362897E-02;5.792120192985016E-03;3.546085390208683E-01;8.261839942821423E-01;9.805911495362897E-02;5.792120192985016E-03;3.546085390208683E-01;8.261839942821423E-01;
5.050050050050050E+07;1.006274650143105E-01;1.045485912850911E-02;3.489321005902218E-01;8.262197897096750E-01;1.006274650143105E-01;1.045485912850911E-02;3.489321005902218E-01;8.262197897096750E-01;
5.075075075075075E+07;1.044398541328026E-01;1.424930129884589E-02;3.427149222327044E-01;8.264769908255956E-01;1.044398541328026E-01;1.424930129884589E-02;3.427149222327044E-01;8.264769908255956E-01;
5.100100100100100E+07;1.093726692445170E-01;1.745482956102868E-02;3.356030340595083E-01;8.267021741779643E-01;1.093726692445170E-01;1.745482956102868E-02;3.356030340595083E-01;8.267021741779643E-01;
5.125125125125125E+07;1.149479580239300E-01;1.932474487171078E-02;3.278473335654762E-01;8.278684003967676E-01;1.149479580239300E-01;1.932474487171078E-02;3.278473335654762E-01;8.278684003967676E-01;
5.150150150150150E+07;1.206062099285985E-01;1.961272957152884E-02;3.198752111629159E-01;8.294177135086523E-01;1.206062099285985E-01;1.961272957152884E-02;3.198752111629159E-01;8.294177135086523E-01;
5.175175175175175E+07;1.257029626222945E-01;1.853985670579245E-02;3.116771546564805E-01;8.320963814035787E-01;1.257029626222945E-01;1.853985670579245E-02;3.116771546564805E-01;8.320963814035787E-01;
5.200200200200200E+07;1.281088599514115E-01;1.265434180031579E-02;3.040702233028766E-01;8.368397085425366E-01;1.281088599514115E-01;1.265434180031579E-02;3.040702233028766E-01;8.368397085425366E-01;
5.225225225225225E+07;1.327004895382752E-01;1.396571308381639E-02;2.967702964910307E-01;8.390679792208878E-01;1.327004895382752E-01;1.396571308381639E-02;2.967702964910307E-01;8.390679792208878E-01;
5.250250250250250E+07;1.347994593136329E-01;1.130693064093726E-02;2.899709749633604E-01;8.430113914883676E-01;1.347994593136329E-01;1.130693064093726E-02;2.899709749633604E-01;8.430113914883676E-01;
5.275275275275275E+07;1.359400991069978E-01;8.761134819678856E-03;2.837489084925036E-01;8.471232613458605E-01;1.359400991069978E-01;8.761134819678856E-03;2.837489084925036E-01;8.471232613458605E-01;
5.300300300300300E+07;1.363086731127770E-01;6.480857601422827E-03;2.781533758805627E-01;8.512671708832817E-01;1.363086731127770E-01;6.480857601422827E-03;2.781533758805627E-01;8.512671708832817E-01;
