# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz];re:SMag2_S11;im:SMag2_S11;re:ZPh2_S12;im:ZPh2_S12;re:SPh2_S11;im:SPh2_S11;re:ZMag2_S12;im:ZMag2_S12;
5.000000000000000E+07;3.654982560844566E-01;8.213872774108790E-01;9.601628122753346E-02;-6.983554211402408E-05;3.654982560844566E-01;8.213872774108790E-01;9.601628122753346E-02;-6.983554211402408E-05;
5.025025025025025E+07;3.602626269596845E-01;8.217294021670860E-01;9.770316505482197E-02;3.982625686647038E-03;3.602626269596845E-01;8.217294021670860E-01;9.770316505482197E-02;3.982625686647038E-03;
5.050050050050050E+07;3.545518360345015E-01;8.217135409957219E-01;1.001986269553317E-01;8.165734779932030E-03;3.545518360345015E-01;8.217135409957219E-01;1.001986269553317E-01;8.165734779932030E-03;
5.075075075075075E+07;3.479797932267527E-01;8.215533454383360E-01;1.039536316751553E-01;1.207145748425167E-02;3.479797932267527E-01;8.215533454383360E-01;1.039536316751553E-01;1.207145748425167E-02;
5.100100100100100E+07;3.405167372250800E-01;8.218711288440435E-01;1.085908548533770E-01;1.515616556435929E-02;3.405167372250800E-01;8.218711288440435E-01;1.085908548533770E-01;1.515616556435929E-02;
5.125125125125125E+07;3.323748625455342E-01;8.228383869214614E-01;1.139852893004604E-01;1.678501531280888E-02;3.323748625455342E-01;8.228383869214614E-01;1.139852893004604E-01;1.678501531280888E-02;
5.150150150150150E+07;3.236191821505676E-01;8.248067831983834E-01;1.193031006114055E-01;1.716301280455303E-02;3.236191821505676E-01;8.248067831983834E-01;1.193031006114055E-01;1.716301280455303E-02;
5.175175175175175E+07;3.153073439109627E-01;8.297542850687515E-01;1.229596552242843E-01;1.255896550258828E-02;3.153073439109627E-01;8.297542850687515E-01;1.229596552242843E-01;1.255896550258828E-02;
5.200200200200200E+07;3.074174954198778E-01;8.316349782310134E-01;1.279529203502570E-01;1.448552949199732E-02;3.074174954198778E-01;8.316349782310134E-01;1.279529203502570E-01;1.448552949199732E-02;
5.225225225225225E+07;3.000605905299627E-01;8.358486816684135E-01;1.303842192632644E-01;1.226733829126956E-02;3.000605905299627E-01;8.358486816684135E-01;1.303842192632644E-01;1.226733829126956E-02;
5.250250250250250E+07;2.933443312668311E-01;8.403883354366112E-01;1.327843006115806E-01;9.719090936357986E-03;2.933443312668311E-01;8.403883354366112E-01;1.327843006115806E-01;9.719090936357986E-03;
5.275275275275275E+07;2.871667806221689E-01;8.447863782754995E-01;1.338847154651795E-01;7.418386699865212E-03;2.871667806221689E-01;8.447863782754995E-01;1.338847154651795E-01;7.418386699865212E-03;
5.300300300300300E+07;2.818738671740222E-01;8.495919380644444E-01;1.343739209132527E-01;5.322985601070076E-03;2.818738671740222E-01;8.495919380644444E-01;1.343739209132527E-01;5.322985601070076E-03;
5.325325325325325E+07;2.768648956151562E-01;8.536529965091664E-01;1.343611859239920E-01;3.635305769321421E-03;2.768648956151562E-01;8.536529965091664E-01;1.343611859239920E-01;3.635305769321421E-03;
5.350350350350350E+07;2.723234690757235E-01;8.579371132120610E-01;1.338318015961976E-01;2.288785895291351E-03;2.723234690757235E-01;8.579371132120610E-01;1.338318015961976E-01;2.288785895291351E-03;
5.375375375375375E+07;2.680249500264317E-01;8.618325839406438E-01;1.329665356453037E-01;1.225080597345696E-03;2.680249500264317E-01;8.618325839406438E-01;1.329665356453037E-01;1.225080597345696E-03;
5.400400400400400E+07;2.640611310900646E-01;8.652965681619591E-01;1.319591777953958E-01;6.411064038246440E-04;2.640611310900646E-01;8.652965681619591E-01;1.319591777953958E-01;6.411064038246440E-04;
5.425425425425425E+07;2.603571536383210E-01;8.684799561111968E-01;1.307518351917026E-01;3.948958658731734E-04;2.603571536383210E-01;8.684799561111968E-01;1.307518351917026E-01;3.948958658731734E-04;
