# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz];re:ZMag1_S12;im:ZMag1_S12;re:SMag1_S11;im:SMag1_S11;re:ZPh1_S12;im:ZPh1_S12;re:SPh1_S11;im:SPh1_S11;
5.000000000000000E+07;9.869505130419456E-02;-1.465839744262135E-02;3.698143122546653E-01;8.241405171407882E-01;9.869505130419456E-02;-1.465839744262135E-02;3.698143122546653E-01;8.241405171407882E-01;
5.025025025025025E+07;1.013487500824502E-01;-1.218775159880537E-02;3.640958459431138E-01;8.253067727438943E-01;1.013487500824502E-01;-1.218775159880537E-02;3.640958459431138E-01;8.253067727438943E-01;
5.050050050050050E+07;1.046568438670156E-01;-9.992297333543541E-03;3.578839586151004E-01;8.263921178509451E-01;1.046568438670156E-01;-9.992297333543541E-03;3.578839586151004E-01;8.263921178509451E-01;
5.075075075075075E+07;1.088141208303456E-01;-1.091990957797592E-02;3.505393111342573E-01;8.293829365697295E-01;1.088141208303456E-01;-1.091990957797592E-02;3.505393111342573E-01;8.293829365697295E-01;
5.100100100100100E+07;1.129615018202986E-01;-8.143683477484854E-03;3.442677190452098E-01;8.294353732838422E-01;1.129615018202986E-01;-8.143683477484854E-03;3.442677190452098E-01;8.294353732838422E-01;
5.125125125125125E+07;1.173500279598892E-01;-8.321783707662759E-03;3.370389945864261E-01;8.318615273370208E-01;1.173500279598892E-01;-8.321783707662759E-03;3.370389945864261E-01;8.318615273370208E-01;
5.150150150150150E+07;1.209263102126610E-01;-9.488923822765762E-03;3.299738035066630E-01;8.351730619709707E-01;1.209263102126610E-01;-9.488923822765762E-03;3.299738035066630E-01;8.351730619709707E-01;
5.175175175175175E+07;1.236646810863579E-01;-1.121929233166547E-02;3.233000764972282E-01;8.388143480056397E-01;1.236646810863579E-01;-1.121929233166547E-02;3.233000764972282E-01;8.388143480056397E-01;
5.200200200200200E+07;1.255153110763290E-01;-1.313202294297234E-02;3.173082283657676E-01;8.426257348688467E-01;1.255153110763290E-01;-1.313202294297234E-02;3.173082283657676E-01;8.426257348688467E-01;
5.225225225225225E+07;1.266830040494045E-01;-1.479917575674937E-02;3.117897157351093E-01;8.465200126226363E-01;1.266830040494045E-01;-1.479917575674937E-02;3.117897157351093E-01;8.465200126226363E-01;
5.250250250250250E+07;1.272554392255278E-01;-1.621677140425524E-02;3.067012267968228E-01;8.501746004704992E-01;1.272554392255278E-01;-1.621677140425524E-02;3.067012267968228E-01;8.501746004704992E-01;
5.275275275275275E+07;1.274078692877252E-01;-1.728638806863760E-02;3.021786475808704E-01;8.537007898088373E-01;1.274078692877252E-01;-1.728638806863760E-02;3.021786475808704E-01;8.537007898088373E-01;
5.300300300300300E+07;1.273207264836296E-01;-1.809512303076117E-02;2.978920501186065E-01;8.569885750417757E-01;1.273207264836296E-01;-1.809512303076117E-02;2.978920501186065E-01;8.569885750417757E-01;
5.325325325325325E+07;1.272623986502444E-01;-1.843571810578416E-02;2.936229295568144E-01;8.599748639166507E-01;1.272623986502444E-01;-1.843571810578416E-02;2.936229295568144E-01;8.599748639166507E-01;
5.350350350350350E+07;1.270551971757702E-01;-1.837661219175406E-02;2.898459004852857E-01;8.625071712138354E-01;1.270551971757702E-01;-1.837661219175406E-02;2.898459004852857E-01;8.625071712138354E-01;
5.375375375375375E+07;1.267580109835108E-01;-1.802929613810791E-02;2.858058680668449E-01;8.651560554113279E-01;1.267580109835108E-01;-1.802929613810791E-02;2.858058680668449E-01;8.651560554113279E-01;
