# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz];re:SMag2_S11;im:SMag2_S11;re:ZPh2_S12;im:ZPh2_S12;re:SPh2_S11;im:SPh2_S11;re:ZMag2_S12;im:ZMag2_S12;
5.000000000000000E+07;3.763441833241723E-01;8.244505267867419E-01;9.878197626180496E-02;-1.358946371425821E-02;3.763441833241723E-01;8.244505267867419E-01;9.878197626180496E-02;-1.358946371425821E-02;
5.025025025025025E+07;3.703006375527984E-01;8.255724326387252E-01;1.017323437209596E-01;-1.105629354867468E-02;3.703006375527984E-01;8.255724326387252E-01;1.017323437209596E-01;-1.105629354867468E-02;
5.050050050050050E+07;3.641757833547256E-01;8.269166586090053E-01;1.053799564135947E-01;-8.756523122858911E-03;3.641757833547256E-01;8.269166586090053E-01;1.053799564135947E-01;-8.756523122858911E-03;
5.075075075075075E+07;3.575486745784266E-01;8.283431803149093E-01;1.096170000377603E-01;-7.117580109095965E-03;3.575486745784266E-01;8.283431803149093E-01;1.096170000377603E-01;-7.117580109095965E-03;
5.100100100100100E+07;3.504564559560367E-01;8.317075814761856E-01;1.138821660344499E-01;-9.631294757561715E-03;3.504564559560367E-01;8.317075814761856E-01;1.138821660344499E-01;-9.631294757561715E-03;
5.125125125125125E+07;3.441347106119030E-01;8.327873462457938E-01;1.186957007731309E-01;-7.339103138338272E-03;3.441347106119030E-01;8.327873462457938E-01;1.186957007731309E-01;-7.339103138338272E-03;
5.150150150150150E+07;3.374687577474003E-01;8.359017203170339E-01;1.225945416174289E-01;-9.102242804181999E-03;3.374687577474003E-01;8.359017203170339E-01;1.225945416174289E-01;-9.102242804181999E-03;
5.175175175175175E+07;3.314363715140390E-01;8.393624614321855E-01;1.256865106357493E-01;-1.122486334965869E-02;3.314363715140390E-01;8.393624614321855E-01;1.256865106357493E-01;-1.122486334965869E-02;
5.200200200200200E+07;3.258124818113950E-01;8.431605322052602E-01;1.275992388669999E-01;-1.319926393484205E-02;3.258124818113950E-01;8.431605322052602E-01;1.275992388669999E-01;-1.319926393484205E-02;
5.225225225225225E+07;3.210577620877039E-01;8.467225547943392E-01;1.285524623955372E-01;-1.509339786567433E-02;3.210577620877039E-01;8.467225547943392E-01;1.285524623955372E-01;-1.509339786567433E-02;
5.250250250250250E+07;3.159859144957776E-01;8.500741608894750E-01;1.289886947421658E-01;-1.647893289903168E-02;3.159859144957776E-01;8.500741608894750E-01;1.289886947421658E-01;-1.647893289903168E-02;
5.275275275275275E+07;3.115159286748787E-01;8.531940302320796E-01;1.289375987848077E-01;-1.766288182101781E-02;3.115159286748787E-01;8.531940302320796E-01;1.289375987848077E-01;-1.766288182101781E-02;
5.300300300300300E+07;3.072528654696674E-01;8.564062885314485E-01;1.287380255182399E-01;-1.832175295896987E-02;3.072528654696674E-01;8.564062885314485E-01;1.287380255182399E-01;-1.832175295896987E-02;
5.325325325325325E+07;3.030156529655393E-01;8.593216679256287E-01;1.284023542484130E-01;-1.863622356037414E-02;3.030156529655393E-01;8.593216679256287E-01;1.284023542484130E-01;-1.863622356037414E-02;
5.350350350350350E+07;2.990662259830317E-01;8.618768029099773E-01;1.278682081481768E-01;-1.848462570186389E-02;2.990662259830317E-01;8.618768029099773E-01;1.278682081481768E-01;-1.848462570186389E-02;
5.375375375375375E+07;2.950620421644035E-01;8.646328854050143E-01;1.274366094961338E-01;-1.794899997501808E-02;2.950620421644035E-01;8.646328854050143E-01;1.274366094961338E-01;-1.794899997501808E-02;
5.400400400400400E+07;2.913089192703999E-01;8.670691377961535E-01;1.270329523739479E-01;-1.732742232140510E-02;2.913089192703999E-01;8.670691377961535E-01;1.270329523739479E-01;-1.732742232140510E-02;
5.425425425425425E+07;2.877455237719820E-01;8.691628102147577E-01;1.266452881203283E-01;-1.657897833207968E-02;2.877455237719820E-01;8.691628102147577E-01;1.266452881203283E-01;-1.657897833207968E-02;
5.450450450450450E+07;2.839828863456790E-01;8.712093592639496E-01;1.262177743709239E-01;-1.554941148993782E-02;2.839828863456790E-01;8.712093592639496E-01;1.262177743709239E-01;-1.554941148993782E-02;
5.475475475475475E+07;2.803688374937571E-01;8.732203516413738E-01;1.258434219808018E-01;-1.431841976710668E-02;2.803688374937571E-01;8.732203516413738E-01;1.258434219808018E-01;-1.431841976710668E-02;
5.500500500500500E+07;2.770022563082339E-01;8.747811725064575E-01;1.250704558324503E-01;-1.321574714816519E-02;2.770022563082339E-01;8.747811725064575E-01;1.250704558324503E-01;-1.321574714816519E-02;
5.525525525525525E+07;2.730293160546768E-01;8.763033863167745E-01;1.254121351363469E-01;-1.140950345348992E-02;2.730293160546768E-01;8.763033863167745E-01;1.254121351363469E-01;-1.140950345348992E-02;
5.550550550550550E+07;2.695993134691513E-01;8.777086538685339E-01;1.253274785191406E-01;-9.820347571097126E-03;2.695993134691513E-01;8.777086538685339E-01;1.253274785191406E-01;-9.820347571097126E-03;
5.575575575575575E+07;2.662040166420391E-01;8.789454471291984E-01;1.253407757131754E-01;-7.970250760274113E-03;2.662040166420391E-01;8.789454471291984E-01;1.253407757131754E-01;-7.970250760274113E-03;
