# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz];re:SMag2_S11;im:SMag2_S11;re:ZPh2_S12;im:ZPh2_S12;re:SPh2_S11;im:SPh2_S11;re:ZMag2_S12;im:ZMag2_S12;
5.000000000000000E+07;3.608894569049312E-01;8.207680951125071E-01;9.519034197417857E-02;-1.110959911560014E-03;3.608894569049312E-01;8.207680951125071E-01;9.519034197417857E-02;-1.110959911560014E-03;
5.025025025025025E+07;3.551879798888822E-01;8.211047544488329E-01;9.744736476492720E-02;2.042058812895215E-03;3.551879798888822E-01;8.211047544488329E-01;9.744736476492720E-02;2.042058812895215E-03;
5.050050050050050E+07;3.486378666546377E-01;8.208776130755996E-01;1.007249804379694E-01;6.792324575448991E-03;3.486378666546377E-01;8.208776130755996E-01;1.007249804379694E-01;6.792324575448991E-03;
5.075075075075075E+07;3.409637999906737E-01;8.203635791074969E-01;1.050907112920758E-01;1.032726540854637E-02;3.409637999906737E-01;8.203635791074969E-01;1.050907112920758E-01;1.032726540854637E-02;
5.100100100100100E+07;3.325673714988618E-01;8.205717178030033E-01;1.106079573198507E-01;1.271104137706927E-02;3.325673714988618E-01;8.205717178030033E-01;1.106079573198507E-01;1.271104137706927E-02;
5.125125125125125E+07;3.234256127889850E-01;8.222656651317904E-01;1.166385156021941E-01;1.355943965508363E-02;3.234256127889850E-01;8.222656651317904E-01;1.166385156021941E-01;1.355943965508363E-02;
5.150150150150150E+07;3.141133070070975E-01;8.270629042749642E-01;1.227095346308256E-01;1.185866949605491E-02;3.141133070070975E-01;8.270629042749642E-01;1.227095346308256E-01;1.185866949605491E-02;
5.175175175175175E+07;3.059553251731654E-01;8.291996049431323E-01;1.274153083282837E-01;1.015318156325042E-02;3.059553251731654E-01;8.291996049431323E-01;1.274153083282837E-01;1.015318156325042E-02;
5.200200200200200E+07;2.979669381964152E-01;8.342674034068726E-01;1.311902703760486E-01;8.237567849962558E-03;2.979669381964152E-01;8.342674034068726E-01;1.311902703760486E-01;8.237567849962558E-03;
5.225225225225225E+07;2.912071433219535E-01;8.394608175144542E-01;1.333650844747058E-01;5.273613856278751E-03;2.912071433219535E-01;8.394608175144542E-01;1.333650844747058E-01;5.273613856278751E-03;
5.250250250250250E+07;2.855324937857052E-01;8.447025534307870E-01;1.344230848624823E-01;2.501720159849290E-03;2.855324937857052E-01;8.447025534307870E-01;1.344230848624823E-01;2.501720159849290E-03;
5.275275275275275E+07;2.803150048874146E-01;8.489897912125949E-01;1.347758957540005E-01;1.991171256891384E-04;2.803150048874146E-01;8.489897912125949E-01;1.347758957540005E-01;1.991171256891384E-04;
5.300300300300300E+07;2.759833219378103E-01;8.536013069137843E-01;1.345135114631661E-01;-1.753588402157848E-03;2.759833219378103E-01;8.536013069137843E-01;1.345135114631661E-01;-1.753588402157848E-03;
5.325325325325325E+07;2.713224803571216E-01;8.576823955432766E-01;1.337027052175775E-01;-3.141238402272662E-03;2.713224803571216E-01;8.576823955432766E-01;1.337027052175775E-01;-3.141238402272662E-03;
5.350350350350350E+07;2.672599612517176E-01;8.615699900336581E-01;1.327637525485780E-01;-3.803574390674331E-03;2.672599612517176E-01;8.615699900336581E-01;1.327637525485780E-01;-3.803574390674331E-03;
5.375375375375375E+07;2.631379214843761E-01;8.654344013272804E-01;1.317671544211532E-01;-4.078218705032049E-03;2.631379214843761E-01;8.654344013272804E-01;1.317671544211532E-01;-4.078218705032049E-03;
5.400400400400400E+07;2.596692002826506E-01;8.686232283928544E-01;1.306106974528981E-01;-4.141091692818613E-03;2.596692002826506E-01;8.686232283928544E-01;1.306106974528981E-01;-4.141091692818613E-03;
5.425425425425425E+07;2.562147362020190E-01;8.712784827508883E-01;1.293849151711776E-01;-3.960267923141685E-03;2.562147362020190E-01;8.712784827508883E-01;1.293849151711776E-01;-3.960267923141685E-03;
5.450450450450450E+07;2.525148102949565E-01;8.740101382949086E-01;1.282364252904905E-01;-3.450639466470422E-03;2.525148102949565E-01;8.740101382949086E-01;1.282364252904905E-01;-3.450639466470422E-03;
5.475475475475475E+07;2.491505775346703E-01;8.762598768107697E-01;1.271167746808182E-01;-2.579969959221345E-03;2.491505775346703E-01;8.762598768107697E-01;1.271167746808182E-01;-2.579969959221345E-03;
5.500500500500500E+07;2.454526502933178E-01;8.783157510524312E-01;1.259984726544674E-01;-1.428554041279914E-03;2.454526502933178E-01;8.783157510524312E-01;1.259984726544674E-01;-1.428554041279914E-03;
5.525525525525525E+07;2.419471187443384E-01;8.802907538242939E-01;1.249520045726823E-01;-1.606254741043885E-04;2.419471187443384E-01;8.802907538242939E-01;1.249520045726823E-01;-1.606254741043885E-04;
5.550550550550550E+07;2.385973210605378E-01;8.821146216742042E-01;1.232555899762378E-01;9.614698317014622E-04;2.385973210605378E-01;8.821146216742042E-01;1.232555899762378E-01;9.614698317014622E-04;
5.575575575575575E+07;2.348461847185521E-01;8.834419840756058E-01;1.232398747784568E-01;2.977281640387605E-03;2.348461847185521E-01;8.834419840756058E-01;1.232398747784568E-01;2.977281640387605E-03;
5.600600600600600E+07;2.308364161670739E-01;8.846116947771353E-01;1.224805257156895E-01;4.811538072797377E-03;2.308364161670739E-01;8.846116947771353E-01;1.224805257156895E-01;4.811538072797377E-03;
5.625625625625625E+07;2.272268760639740E-01;8.858408370163767E-01;1.217827679428224E-01;6.805094893481251E-03;2.272268760639740E-01;8.858408370163767E-01;1.217827679428224E-01;6.805094893481251E-03;
5.650650650650650E+07;2.234541641972389E-01;8.871548202737463E-01;1.212360143557401E-01;8.827513681747653E-03;2.234541641972389E-01;8.871548202737463E-01;1.212360143557401E-01;8.827513681747653E-03;
5.675675675675675E+07;2.197283538573992E-01;8.880941622066623E-01;1.207240703267959E-01;1.096903070412518E-02;2.197283538573992E-01;8.880941622066623E-01;1.207240703267959E-01;1.096903070412518E-02;
5.700700700700700E+07;2.158777478920690E-01;8.888675538481022E-01;1.202792406073505E-01;1.321149460953026E-02;2.158777478920690E-01;8.888675538481022E-01;1.202792406073505E-01;1.321149460953026E-02;
5.725725725725726E+07;2.121665249717013E-01;8.898260063457412E-01;1.198958825687511E-01;1.548081411909944E-02;2.121665249717013E-01;8.898260063457412E-01;1.198958825687511E-01;1.548081411909944E-02;
5.750750750750751E+07;2.082009520390848E-01;8.906905962593622E-01;1.195066418561831E-01;1.778937624544207E-02;2.082009520390848E-01;8.906905962593622E-01;1.195066418561831E-01;1.778937624544207E-02;
5.775775775775776E+07;2.044924886682896E-01;8.914715014745744E-01;1.190836938842536E-01;2.019475599671811E-02;2.044924886682896E-01;8.914715014745744E-01;1.190836938842536E-01;2.019475599671811E-02;
5.800800800800801E+07;2.007276145623625E-01;8.917430795863627E-01;1.186680936727617E-01;2.326305569717883E-02;2.007276145623625E-01;8.917430795863627E-01;1.186680936727617E-01;2.326305569717883E-02;
5.825825825825826E+07;1.971357194796184E-01;8.920922611405343E-01;1.179705404722859E-01;2.592837442096170E-02;1.971357194796184E-01;8.920922611405343E-01;1.179705404722859E-01;2.592837442096170E-02;
5.850850850850851E+07;1.933617811220847E-01;8.922028272390281E-01;1.173223916731229E-01;2.888162853806461E-02;1.933617811220847E-01;8.922028272390281E-01;1.173223916731229E-01;2.888162853806461E-02;
5.875875875875876E+07;1.895886894850681E-01;8.920603981323432E-01;1.168418435958110E-01;3.237480992184144E-02;1.895886894850681E-01;8.920603981323432E-01;1.168418435958110E-01;3.237480992184144E-02;
5.900900900900901E+07;1.857843571990881E-01;8.914822912766944E-01;1.164692891109704E-01;3.601355331553276E-02;1.857843571990881E-01;8.914822912766944E-01;1.164692891109704E-01;3.601355331553276E-02;
