# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz];re:ZMag1_S12;im:ZMag1_S12;re:SMag1_S11;im:SMag1_S11;re:ZPh1_S12;im:ZPh1_S12;re:SPh1_S11;im:SPh1_S11;
5.000000000000000E+07;1.009507443062462E-01;-2.346846100111338E-03;3.593859389670780E-01;8.189218358832361E-01;1.009507443062462E-01;-2.346846100111338E-03;3.593859389670780E-01;8.189218358832361E-01;
5.025025025025025E+07;1.040438539156180E-01;-1.440460963937134E-03;3.525191215983860E-01;8.207005728790037E-01;1.040438539156180E-01;-1.440460963937134E-03;3.525191215983860E-01;8.207005728790037E-01;
5.050050050050050E+07;1.073771446287634E-01;3.662979404900465E-03;3.465382232471411E-01;8.198341458119320E-01;1.073771446287634E-01;3.662979404900465E-03;3.465382232471411E-01;8.198341458119320E-01;
5.075075075075075E+07;1.117404599099257E-01;5.766811801797363E-03;3.391083427008890E-01;8.208557296177065E-01;1.117404599099257E-01;5.766811801797363E-03;3.391083427008890E-01;8.208557296177065E-01;
5.100100100100100E+07;1.164687180051476E-01;6.870866271112602E-03;3.311304522122527E-01;8.224570614501900E-01;1.164687180051476E-01;6.870866271112602E-03;3.311304522122527E-01;8.224570614501900E-01;
5.125125125125125E+07;1.210740765938851E-01;6.682325030442256E-03;3.229437292942249E-01;8.249019412866830E-01;1.210740765938851E-01;6.682325030442256E-03;3.229437292942249E-01;8.249019412866830E-01;
5.150150150150150E+07;1.250971363925040E-01;5.487108988272899E-03;3.146757802722699E-01;8.283484563992005E-01;1.250971363925040E-01;5.487108988272899E-03;3.146757802722699E-01;8.283484563992005E-01;
5.175175175175175E+07;1.282045261900986E-01;3.628647731718129E-03;3.067470804661588E-01;8.330358430113413E-01;1.282045261900986E-01;3.628647731718129E-03;3.067470804661588E-01;8.330358430113413E-01;
5.200200200200200E+07;1.304977075470416E-01;1.600141604667591E-03;3.002946112243107E-01;8.372623576995748E-01;1.304977075470416E-01;1.600141604667591E-03;3.002946112243107E-01;8.372623576995748E-01;
5.225225225225225E+07;1.316578120313381E-01;-5.884911833305744E-04;2.941925105325648E-01;8.415342195179439E-01;1.316578120313381E-01;-5.884911833305744E-04;2.941925105325648E-01;8.415342195179439E-01;
5.250250250250250E+07;1.323165329243266E-01;-2.920271546678601E-03;2.886709744504735E-01;8.457091453810751E-01;1.323165329243266E-01;-2.920271546678601E-03;2.886709744504735E-01;8.457091453810751E-01;
5.275275275275275E+07;1.322854692490915E-01;-4.569134613221720E-03;2.837236741727764E-01;8.497753995515714E-01;1.322854692490915E-01;-4.569134613221720E-03;2.837236741727764E-01;8.497753995515714E-01;
5.300300300300300E+07;1.319953169994346E-01;-5.486350808591630E-03;2.790547231805887E-01;8.534817621220230E-01;1.319953169994346E-01;-5.486350808591630E-03;2.790547231805887E-01;8.534817621220230E-01;
