# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz];re:ZMag1_S12;im:ZMag1_S12;re:SMag1_S11;im:SMag1_S11;re:ZPh1_S12;im:ZPh1_S12;re:SPh1_S11;im:SPh1_S11;
5.000000000000000E+07;1.063225929771694E-01;-2.627261488447434E-03;3.546669550692821E-01;8.138843570345468E-01;1.063225929771694E-01;-2.627261488447434E-03;3.546669550692821E-01;8.138843570345468E-01;
5.025025025025025E+07;1.104428715603447E-01;-1.107394083348365E-04;3.475642970449969E-01;8.145297256574080E-01;1.104428715603447E-01;-1.107394083348365E-04;3.475642970449969E-01;8.145297256574080E-01;
5.050050050050050E+07;1.153315271468493E-01;1.763619802430943E-03;3.394761403965077E-01;8.156158126458756E-01;1.153315271468493E-01;1.763619802430943E-03;3.394761403965077E-01;8.156158126458756E-01;
5.075075075075075E+07;1.206971231044110E-01;2.468519755234053E-03;3.310581439224849E-01;8.172223580114885E-01;1.206971231044110E-01;2.468519755234053E-03;3.310581439224849E-01;8.172223580114885E-01;
5.100100100100100E+07;1.259220795461478E-01;1.825428674438648E-03;3.220532357333725E-01;8.202776716402297E-01;1.259220795461478E-01;1.825428674438648E-03;3.220532357333725E-01;8.202776716402297E-01;
5.125125125125125E+07;1.304858086884190E-01;1.165314263622402E-04;3.135688360364954E-01;8.242500518804704E-01;1.304858086884190E-01;1.165314263622402E-04;3.135688360364954E-01;8.242500518804704E-01;
5.150150150150150E+07;1.340843295800791E-01;-2.502103907984121E-03;3.057266690775642E-01;8.287593704083668E-01;1.340843295800791E-01;-2.502103907984121E-03;3.057266690775642E-01;8.287593704083668E-01;
5.175175175175175E+07;1.364556564704025E-01;-5.479435917007253E-03;2.986665505741084E-01;8.338765149474423E-01;1.364556564704025E-01;-5.479435917007253E-03;2.986665505741084E-01;8.338765149474423E-01;
5.200200200200200E+07;1.379683599639385E-01;-8.008653103330180E-03;2.923929931845576E-01;8.390678771395391E-01;1.379683599639385E-01;-8.008653103330180E-03;2.923929931845576E-01;8.390678771395391E-01;
5.225225225225225E+07;1.384203381164728E-01;-1.045934275051935E-02;2.870522083138068E-01;8.440816270662719E-01;1.384203381164728E-01;-1.045934275051935E-02;2.870522083138068E-01;8.440816270662719E-01;
5.250250250250250E+07;1.383267379770911E-01;-1.252706914379870E-02;2.822335860932239E-01;8.487338059971727E-01;1.383267379770911E-01;-1.252706914379870E-02;2.822335860932239E-01;8.487338059971727E-01;
5.275275275275275E+07;1.380465159702240E-01;-1.377582224937125E-02;2.776076643359862E-01;8.530758577197484E-01;1.380465159702240E-01;-1.377582224937125E-02;2.776076643359862E-01;8.530758577197484E-01;
5.300300300300300E+07;1.374635752719369E-01;-1.461303850469918E-02;2.729067879484225E-01;8.578653206943871E-01;1.374635752719369E-01;-1.461303850469918E-02;2.729067879484225E-01;8.578653206943871E-01;
5.325325325325325E+07;1.346272103174698E-01;-1.558009651814166E-02;2.706590001610880E-01;8.613844606884483E-01;1.346272103174698E-01;-1.558009651814166E-02;2.706590001610880E-01;8.613844606884483E-01;
5.350350350350350E+07;1.360386844510024E-01;-1.515107004412408E-02;2.651907571399648E-01;8.642552619188132E-01;1.360386844510024E-01;-1.515107004412408E-02;2.651907571399648E-01;8.642552619188132E-01;
5.375375375375375E+07;1.354049606244188E-01;-1.534767662669712E-02;2.616291579395099E-01;8.672664301555638E-01;1.354049606244188E-01;-1.534767662669712E-02;2.616291579395099E-01;8.672664301555638E-01;
5.400400400400400E+07;1.349710538508163E-01;-1.533771317854864E-02;2.579507175064875E-01;8.698890850679792E-01;1.349710538508163E-01;-1.533771317854864E-02;2.579507175064875E-01;8.698890850679792E-01;
5.425425425425425E+07;1.341735933310610E-01;-1.446813565607071E-02;2.544985153039247E-01;8.723077865682127E-01;1.341735933310610E-01;-1.446813565607071E-02;2.544985153039247E-01;8.723077865682127E-01;
5.450450450450450E+07;1.334391483173249E-01;-1.341446402283903E-02;2.509046903649622E-01;8.745621951094206E-01;1.334391483173249E-01;-1.341446402283903E-02;2.509046903649622E-01;8.745621951094206E-01;
5.475475475475475E+07;1.327659544973722E-01;-1.213688767282436E-02;2.472818181175721E-01;8.763563057801447E-01;1.327659544973722E-01;-1.213688767282436E-02;2.472818181175721E-01;8.763563057801447E-01;
5.500500500500500E+07;1.321445547481955E-01;-1.069310409417968E-02;2.439152894589761E-01;8.781226582106975E-01;1.321445547481955E-01;-1.069310409417968E-02;2.439152894589761E-01;8.781226582106975E-01;
5.525525525525525E+07;1.315860779119291E-01;-9.050110309196108E-03;2.403217649207120E-01;8.796488935040837E-01;1.315860779119291E-01;-9.050110309196108E-03;2.403217649207120E-01;8.796488935040837E-01;
5.550550550550550E+07;1.310804515834927E-01;-7.306151956934345E-03;2.367143814983855E-01;8.811135381471812E-01;1.310804515834927E-01;-7.306151956934345E-03;2.367143814983855E-01;8.811135381471812E-01;
5.575575575575575E+07;1.306620238132482E-01;-5.363544634918796E-03;2.331666159126379E-01;8.823265637957682E-01;1.306620238132482E-01;-5.363544634918796E-03;2.331666159126379E-01;8.823265637957682E-01;
5.600600600600600E+07;1.302978262261794E-01;-3.347605328526676E-03;2.296354837204641E-01;8.832729136530811E-01;1.302978262261794E-01;-3.347605328526676E-03;2.296354837204641E-01;8.832729136530811E-01;
5.625625625625625E+07;1.300028601216790E-01;-1.159747369928039E-03;2.259054311901509E-01;8.843747887296083E-01;1.300028601216790E-01;-1.159747369928039E-03;2.259054311901509E-01;8.843747887296083E-01;
5.650650650650650E+07;1.297290198623913E-01;1.109463607855680E-03;2.224030934217249E-01;8.852881548423880E-01;1.297290198623913E-01;1.109463607855680E-03;2.224030934217249E-01;8.852881548423880E-01;
