# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz];re:SMag2_S11;im:SMag2_S11;re:ZPh2_S12;im:ZPh2_S12;re:SPh2_S11;im:SPh2_S11;re:ZMag2_S12;im:ZMag2_S12;
5.000000000000000E+07;3.606740137236614E-01;8.137414300778794E-01;1.096236213272846E-01;2.065238942847230E-03;3.606740137236614E-01;8.137414300778794E-01;1.096236213272846E-01;2.065238942847230E-03;
5.025025025025025E+07;3.526373376903456E-01;8.148597520795571E-01;1.151525322120140E-01;3.856912551033247E-03;3.526373376903456E-01;8.148597520795571E-01;1.151525322120140E-01;3.856912551033247E-03;
5.050050050050050E+07;3.445651262290431E-01;8.167105993101995E-01;1.210602210194614E-01;4.397478223956704E-03;3.445651262290431E-01;8.167105993101995E-01;1.210602210194614E-01;4.397478223956704E-03;
5.075075075075075E+07;3.362065386379522E-01;8.194430437198583E-01;1.268184651480490E-01;3.406553836806611E-03;3.362065386379522E-01;8.194430437198583E-01;1.268184651480490E-01;3.406553836806611E-03;
5.100100100100100E+07;3.283504322742251E-01;8.256353919420265E-01;1.303710733846132E-01;-1.510623022528749E-03;3.283504322742251E-01;8.256353919420265E-01;1.303710733846132E-01;-1.510623022528749E-03;
5.125125125125125E+07;3.204184384553923E-01;8.273133756748307E-01;1.354147405402397E-01;-1.843964297606521E-03;3.204184384553923E-01;8.273133756748307E-01;1.354147405402397E-01;-1.843964297606521E-03;
5.150150150150150E+07;3.135437632237265E-01;8.320330705588118E-01;1.375483088528586E-01;-4.963266957832502E-03;3.135437632237265E-01;8.320330705588118E-01;1.375483088528586E-01;-4.963266957832502E-03;
5.175175175175175E+07;3.071803067297002E-01;8.367482373405121E-01;1.395533998059540E-01;-8.017202170278610E-03;3.071803067297002E-01;8.367482373405121E-01;1.395533998059540E-01;-8.017202170278610E-03;
5.200200200200200E+07;3.015461862121718E-01;8.413871183672051E-01;1.402190515028931E-01;-1.072782289963563E-02;3.015461862121718E-01;8.413871183672051E-01;1.402190515028931E-01;-1.072782289963563E-02;
5.225225225225225E+07;2.963102205083052E-01;8.456949832133650E-01;1.402856131140938E-01;-1.285249603974991E-02;2.963102205083052E-01;8.456949832133650E-01;1.402856131140938E-01;-1.285249603974991E-02;
5.250250250250250E+07;2.919763398192453E-01;8.499746464837268E-01;1.400984835649411E-01;-1.443264946171358E-02;2.919763398192453E-01;8.499746464837268E-01;1.400984835649411E-01;-1.443264946171358E-02;
5.275275275275275E+07;2.877725705520032E-01;8.532011872943506E-01;1.395323337615115E-01;-1.546956661739613E-02;2.877725705520032E-01;8.532011872943506E-01;1.395323337615115E-01;-1.546956661739613E-02;
5.300300300300300E+07;2.832857367695917E-01;8.561365552420166E-01;1.388936819155799E-01;-1.618397056785102E-02;2.832857367695917E-01;8.561365552420166E-01;1.388936819155799E-01;-1.618397056785102E-02;
5.325325325325325E+07;2.790869623720227E-01;8.595801502813851E-01;1.381527151039513E-01;-1.640158603205151E-02;2.790869623720227E-01;8.595801502813851E-01;1.381527151039513E-01;-1.640158603205151E-02;
5.350350350350350E+07;2.750549128197282E-01;8.626311060916845E-01;1.373291339912394E-01;-1.632333175376968E-02;2.750549128197282E-01;8.626311060916845E-01;1.373291339912394E-01;-1.632333175376968E-02;
5.375375375375375E+07;2.709337406507663E-01;8.657036805337350E-01;1.366816801301500E-01;-1.491561033513489E-02;2.709337406507663E-01;8.657036805337350E-01;1.366816801301500E-01;-1.491561033513489E-02;
5.400400400400400E+07;2.670594067155500E-01;8.685295491036432E-01;1.360641318974092E-01;-1.426311310234579E-02;2.670594067155500E-01;8.685295491036432E-01;1.360641318974092E-01;-1.426311310234579E-02;
5.425425425425425E+07;2.632392110796895E-01;8.712270004342242E-01;1.352656596652274E-01;-1.350454410257589E-02;2.632392110796895E-01;8.712270004342242E-01;1.352656596652274E-01;-1.350454410257589E-02;
5.450450450450450E+07;2.597346463928379E-01;8.736212437189373E-01;1.345906285098633E-01;-1.255891045172013E-02;2.597346463928379E-01;8.736212437189373E-01;1.345906285098633E-01;-1.255891045172013E-02;
5.475475475475475E+07;2.559001151499669E-01;8.756644601883953E-01;1.338449527460368E-01;-1.132315931948730E-02;2.559001151499669E-01;8.756644601883953E-01;1.338449527460368E-01;-1.132315931948730E-02;
5.500500500500500E+07;2.527124856849312E-01;8.778249914928494E-01;1.324724057971706E-01;-1.009149961496673E-02;2.527124856849312E-01;8.778249914928494E-01;1.324724057971706E-01;-1.009149961496673E-02;
5.525525525525525E+07;2.485933355411509E-01;8.793706561487543E-01;1.327378121273254E-01;-8.419377091749196E-03;2.485933355411509E-01;8.793706561487543E-01;1.327378121273254E-01;-8.419377091749196E-03;
5.550550550550550E+07;2.449182848054643E-01;8.809869909818300E-01;1.323209246581365E-01;-6.688254707953160E-03;2.449182848054643E-01;8.809869909818300E-01;1.323209246581365E-01;-6.688254707953160E-03;
5.575575575575575E+07;2.412445569829308E-01;8.825552527795212E-01;1.319505212576882E-01;-4.809336215841664E-03;2.412445569829308E-01;8.825552527795212E-01;1.319505212576882E-01;-4.809336215841664E-03;
