# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz];re:ZMag1_S12;im:ZMag1_S12;re:SMag1_S11;im:SMag1_S11;re:ZPh1_S12;im:ZPh1_S12;re:SPh1_S11;im:SPh1_S11;
5.000000000000000E+07;4.084936729256444E-05;-2.058828520473679E-05;9.406763396390451E-01;2.156466447644079E-02;4.084936729256444E-05;-2.058828520473679E-05;9.406763396390451E-01;2.156466447644079E-02;
5.025025025025025E+07;4.514607100634379E-05;-1.859816549266196E-05;9.408441071822938E-01;2.157812529756990E-02;4.514607100634379E-05;-1.859816549266196E-05;9.408441071822938E-01;2.157812529756990E-02;
5.050050050050050E+07;4.514678271319779E-05;-2.167434805218245E-05;9.409013230117746E-01;2.147666471400879E-02;4.514678271319779E-05;-2.167434805218245E-05;9.409013230117746E-01;2.147666471400879E-02;
5.075075075075075E+07;4.795473827862881E-05;-2.390994202848192E-05;9.409648120235082E-01;2.154190878875757E-02;4.795473827862881E-05;-2.390994202848192E-05;9.409648120235082E-01;2.154190878875757E-02;
5.100100100100100E+07;5.262771791141831E-05;-2.493053578316763E-05;9.409651043016298E-01;2.138655825560492E-02;5.262771791141831E-05;-2.493053578316763E-05;9.409651043016298E-01;2.138655825560492E-02;
5.125125125125125E+07;5.628149174480235E-05;-2.639516154307143E-05;9.410776432843673E-01;2.140438828057382E-02;5.628149174480235E-05;-2.639516154307143E-05;9.410776432843673E-01;2.140438828057382E-02;
5.150150150150150E+07;6.212490800029051E-05;-3.271757439421515E-05;9.410174817231904E-01;2.134669449219283E-02;6.212490800029051E-05;-3.271757439421515E-05;9.410174817231904E-01;2.134669449219283E-02;
5.175175175175175E+07;8.058862946868676E-05;-3.572906473161519E-05;9.410792023304990E-01;2.116555742631021E-02;8.058862946868676E-05;-3.572906473161519E-05;9.410792023304990E-01;2.116555742631021E-02;
5.200200200200200E+07;7.613811923312237E-05;-3.876031641386427E-05;9.410855387950519E-01;2.116302073903829E-02;7.613811923312237E-05;-3.876031641386427E-05;9.410855387950519E-01;2.116302073903829E-02;
5.225225225225225E+07;8.072004563850674E-05;-4.563508772783017E-05;9.410213718893872E-01;2.097445738669505E-02;8.072004563850674E-05;-4.563508772783017E-05;9.410213718893872E-01;2.097445738669505E-02;
5.250250250250250E+07;9.223866127446335E-05;-5.168958492848355E-05;9.410658526871721E-01;2.078074131041491E-02;9.223866127446335E-05;-5.168958492848355E-05;9.410658526871721E-01;2.078074131041491E-02;
5.275275275275275E+07;1.006836944918480E-04;-5.935085662289046E-05;9.410772025497377E-01;2.073891508056471E-02;1.006836944918480E-04;-5.935085662289046E-05;9.410772025497377E-01;2.073891508056471E-02;
5.300300300300300E+07;1.140189719341443E-04;-6.170635157116974E-05;9.410576077958501E-01;2.044218667271176E-02;1.140189719341443E-04;-6.170635157116974E-05;9.410576077958501E-01;2.044218667271176E-02;
5.325325325325325E+07;1.256762382148845E-04;-8.638757580945067E-05;9.410497629802180E-01;2.022426585409110E-02;1.256762382148845E-04;-8.638757580945067E-05;9.410497629802180E-01;2.022426585409110E-02;
5.350350350350350E+07;1.443512099555119E-04;-1.022357819202176E-04;9.409454495855210E-01;1.990286434733538E-02;1.443512099555119E-04;-1.022357819202176E-04;9.409454495855210E-01;1.990286434733538E-02;
5.375375375375375E+07;1.631090358447603E-04;-1.308920295683848E-04;9.408943166414294E-01;1.962803066560086E-02;1.631090358447603E-04;-1.308920295683848E-04;9.408943166414294E-01;1.962803066560086E-02;
5.400400400400400E+07;1.864314268455369E-04;-1.709341600985106E-04;9.406449603325608E-01;1.933139861126440E-02;1.864314268455369E-04;-1.709341600985106E-04;9.406449603325608E-01;1.933139861126440E-02;
