# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz];re:SMag2_S11;im:SMag2_S11;re:ZPh2_S12;im:ZPh2_S12;re:SPh2_S11;im:SPh2_S11;re:ZMag2_S12;im:ZMag2_S12;
5.000000000000000E+07;9.407333753381777E-01;2.152442080224009E-02;-6.465319326153886E-05;-2.041704986934193E-04;9.407333753381777E-01;2.152442080224009E-02;-6.465319326153886E-05;-2.041704986934193E-04;
5.025025025025025E+07;9.409121137918237E-01;2.159650593395490E-02;-8.680584709980913E-05;-2.312236432170666E-04;9.409121137918237E-01;2.159650593395490E-02;-8.680584709980913E-05;-2.312236432170666E-04;
5.050050050050050E+07;9.408726780423554E-01;2.163083109063904E-02;-9.688748565603382E-05;-2.284744061699803E-04;9.408726780423554E-01;2.163083109063904E-02;-9.688748565603382E-05;-2.284744061699803E-04;
5.075075075075075E+07;9.410198306283393E-01;2.161970094958941E-02;-9.230122169714592E-05;-2.547434811421049E-04;9.410198306283393E-01;2.161970094958941E-02;-9.230122169714592E-05;-2.547434811421049E-04;
5.100100100100100E+07;9.409261984359600E-01;2.152266979122886E-02;-9.705137728888266E-05;-2.687642984384461E-04;9.409261984359600E-01;2.152266979122886E-02;-9.705137728888266E-05;-2.687642984384461E-04;
5.125125125125125E+07;9.410229267820217E-01;2.141656542945831E-02;-5.912500290978105E-05;-3.094347770558912E-04;9.410229267820217E-01;2.141656542945831E-02;-5.912500290978105E-05;-3.094347770558912E-04;
5.150150150150150E+07;9.410623773512585E-01;2.140057284594600E-02;-1.095160528220470E-04;-3.121437727551035E-04;9.410623773512585E-01;2.140057284594600E-02;-1.095160528220470E-04;-3.121437727551035E-04;
5.175175175175175E+07;9.411754249739341E-01;2.133360562934269E-02;-1.265200016773002E-04;-3.360757328231190E-04;9.411754249739341E-01;2.133360562934269E-02;-1.265200016773002E-04;-3.360757328231190E-04;
5.200200200200200E+07;9.410563787776769E-01;2.120166300921047E-02;-1.170231083039599E-04;-3.640846833528464E-04;9.410563787776769E-01;2.120166300921047E-02;-1.170231083039599E-04;-3.640846833528464E-04;
5.225225225225225E+07;9.410924491170960E-01;2.113704123587433E-02;-1.486037418180839E-04;-3.918640618608691E-04;9.410924491170960E-01;2.113704123587433E-02;-1.486037418180839E-04;-3.918640618608691E-04;
5.250250250250250E+07;9.411114602551786E-01;2.095283318787907E-02;-1.630367168999313E-04;-4.343522728157043E-04;9.411114602551786E-01;2.095283318787907E-02;-1.630367168999313E-04;-4.343522728157043E-04;
5.275275275275275E+07;9.410819638080231E-01;2.069728287242943E-02;-1.778576012931194E-04;-4.795584657683136E-04;9.410819638080231E-01;2.069728287242943E-02;-1.778576012931194E-04;-4.795584657683136E-04;
5.300300300300300E+07;9.410677107569000E-01;2.058752794350178E-02;-2.082543472105163E-04;-5.316861029273129E-04;9.410677107569000E-01;2.058752794350178E-02;-2.082543472105163E-04;-5.316861029273129E-04;
5.325325325325325E+07;9.410018127598980E-01;2.034336200242028E-02;-2.377885806771874E-04;-5.873141039889317E-04;9.410018127598980E-01;2.034336200242028E-02;-2.377885806771874E-04;-5.873141039889317E-04;
5.350350350350350E+07;9.409487370946380E-01;1.997055337999509E-02;-2.897486061448008E-04;-6.551510633260973E-04;9.409487370946380E-01;1.997055337999509E-02;-2.897486061448008E-04;-6.551510633260973E-04;
5.375375375375375E+07;9.408313618341948E-01;1.980076908119871E-02;-3.726758099010729E-04;-7.572942706846698E-04;9.408313618341948E-01;1.980076908119871E-02;-3.726758099010729E-04;-7.572942706846698E-04;
5.400400400400400E+07;9.406813557613065E-01;1.954982898995963E-02;-4.779889479272079E-04;-8.622156898944897E-04;9.406813557613065E-01;1.954982898995963E-02;-4.779889479272079E-04;-8.622156898944897E-04;
5.425425425425425E+07;9.403810376540239E-01;1.908964415917935E-02;-6.648120231238542E-04;-9.971186073439266E-04;9.403810376540239E-01;1.908964415917935E-02;-6.648120231238542E-04;-9.971186073439266E-04;
5.450450450450450E+07;9.399989933708818E-01;1.867280796301284E-02;-9.594482813202706E-04;-1.118672711828752E-03;9.399989933708818E-01;1.867280796301284E-02;-9.594482813202706E-04;-1.118672711828752E-03;
5.475475475475475E+07;9.391648748935087E-01;1.836312270923119E-02;-1.454830771325719E-03;-1.136187761855200E-03;9.391648748935087E-01;1.836312270923119E-02;-1.454830771325719E-03;-1.136187761855200E-03;
5.500500500500500E+07;9.380842473479868E-01;1.852328316580585E-02;-2.116392060255687E-03;-7.776275729371916E-04;9.380842473479868E-01;1.852328316580585E-02;-2.116392060255687E-03;-7.776275729371916E-04;
5.525525525525525E+07;9.374891882520544E-01;1.981131611506306E-02;-2.429075663760753E-03;1.237755416417168E-04;9.374891882520544E-01;1.981131611506306E-02;-2.429075663760753E-03;1.237755416417168E-04;
5.550550550550550E+07;9.380438341817710E-01;2.093454665352262E-02;-2.011530923123746E-03;9.446722943779618E-04;9.380438341817710E-01;2.093454665352262E-02;-2.011530923123746E-03;9.446722943779618E-04;
5.575575575575575E+07;9.389966577290616E-01;2.128097680146361E-02;-1.375943655827200E-03;1.216400078234455E-03;9.389966577290616E-01;2.128097680146361E-02;-1.375943655827200E-03;1.216400078234455E-03;
5.600600600600600E+07;9.395993823319705E-01;2.103628257541995E-02;-9.128496705599503E-04;1.168002056804939E-03;9.395993823319705E-01;2.103628257541995E-02;-9.128496705599503E-04;1.168002056804939E-03;
5.625625625625625E+07;9.401201179507080E-01;2.066246543542270E-02;-6.442783238989555E-04;1.036217433426006E-03;9.401201179507080E-01;2.066246543542270E-02;-6.442783238989555E-04;1.036217433426006E-03;
5.650650650650650E+07;9.403769523275229E-01;2.029493115650702E-02;-4.689545521907743E-04;8.992320157260828E-04;9.403769523275229E-01;2.029493115650702E-02;-4.689545521907743E-04;8.992320157260828E-04;
5.675675675675675E+07;9.405976606786292E-01;1.993232515785786E-02;-3.677743858874154E-04;8.334130337262241E-04;9.405976606786292E-01;1.993232515785786E-02;-3.677743858874154E-04;8.334130337262241E-04;
5.700700700700700E+07;9.406617556862917E-01;1.944778541041535E-02;-3.166606634766309E-04;7.282482316716682E-04;9.406617556862917E-01;1.944778541041535E-02;-3.166606634766309E-04;7.282482316716682E-04;
5.725725725725726E+07;9.406710762671289E-01;1.925093990775937E-02;-2.450854166797448E-04;6.463014110412058E-04;9.406710762671289E-01;1.925093990775937E-02;-2.450854166797448E-04;6.463014110412058E-04;
5.750750750750751E+07;9.407497045304221E-01;1.864364165354081E-02;-2.275387925996639E-04;5.982452993412388E-04;9.407497045304221E-01;1.864364165354081E-02;-2.275387925996639E-04;5.982452993412388E-04;
5.775775775775776E+07;9.408068760844727E-01;1.824455454833251E-02;-2.041716952885524E-04;5.403255468048436E-04;9.408068760844727E-01;1.824455454833251E-02;-2.041716952885524E-04;5.403255468048436E-04;
5.800800800800801E+07;9.406395969100703E-01;1.070697730820289E-02;-1.937921069227011E-04;5.031279452144836E-04;9.406395969100703E-01;1.070697730820289E-02;-1.937921069227011E-04;5.031279452144836E-04;
5.825825825825826E+07;9.405704281087333E-01;1.036085421205902E-02;-1.744905632499585E-04;4.645988427761718E-04;9.405704281087333E-01;1.036085421205902E-02;-1.744905632499585E-04;4.645988427761718E-04;
