# Version 1.00
#
# Ref Impedances: Z01: 50
# 
freq[Hz];mag:Smith_S11[U];ang:Smith_S11[°];Magnitude_S11[dB];Phase_S11[°];
8.000000000000000E+07;8.696785803098757E-01;-1.727362735602784E+02;-1.212824524407255E+00;-1.727362735602784E+02;
8.060000000000000E+07;8.705692817846677E-01;-1.770604872721794E+02;-1.203933221559443E+00;-1.770604872721794E+02;
8.120000000000000E+07;8.690162642938962E-01;1.784252574174599E+02;-1.219441906538949E+00;1.784252574174599E+02;
8.180000000000000E+07;8.660737923441026E-01;1.739471771308735E+02;-1.248902061673143E+00;1.739471771308735E+02;
8.240000000000000E+07;8.623727611995314E-01;1.694107977904757E+02;-1.286099390260837E+00;1.694107977904757E+02;
8.300000000000000E+07;8.567658230645235E-01;1.647962043434968E+02;-1.342757322294495E+00;1.647962043434968E+02;
8.360000000000000E+07;8.483847083934678E-01;1.600231338529738E+02;-1.428143359455260E+00;1.600231338529738E+02;
8.420000000000000E+07;8.350939308358748E-01;1.551988083277583E+02;-1.565293452019136E+00;1.551988083277583E+02;
8.480000000000000E+07;8.186195113461088E-01;1.506811103067627E+02;-1.738358167942371E+00;1.506811103067627E+02;
8.540000000000000E+07;8.024446777778361E-01;1.463470209387277E+02;-1.911697981302916E+00;1.463470209387277E+02;
8.600000000000000E+07;7.852041472089537E-01;1.421082930080277E+02;-2.100348305098106E+00;1.421082930080277E+02;
8.660000000000000E+07;7.667459132264615E-01;1.380291970615234E+02;-2.306970602779811E+00;1.380291970615234E+02;
8.720000000000000E+07;7.484058392353120E-01;1.341442295437101E+02;-2.517256653857938E+00;1.341442295437101E+02;
8.780000000000000E+07;7.307719042395374E-01;1.303193188151595E+02;-2.724363163672175E+00;1.303193188151595E+02;
8.840000000000000E+07;7.127730404925459E-01;1.265206960199466E+02;-2.940974703181896E+00;1.265206960199466E+02;
8.900000000000000E+07;6.901494637204506E-01;1.229625896879205E+02;-3.221136902944637E+00;1.229625896879205E+02;
8.960000000000000E+07;6.686295681987838E-01;1.202468223448552E+02;-3.496288438158483E+00;1.202468223448552E+02;
9.020000000000000E+07;6.582549315600419E-01;1.178665278526898E+02;-3.632117570642502E+00;1.178665278526898E+02;
9.080000000000000E+07;6.547967772589834E-01;1.147297590250611E+02;-3.677869334807432E+00;1.147297590250611E+02;
9.140000000000000E+07;6.469128417700437E-01;1.107645603881383E+02;-3.783084553183051E+00;1.107645603881383E+02;
9.200000000000000E+07;6.269399400995759E-01;1.066711820734827E+02;-4.055481238654785E+00;1.066711820734827E+02;
9.260000000000000E+07;5.963687908538884E-01;1.032896839563160E+02;-4.489701842093391E+00;1.032896839563160E+02;
9.320000000000000E+07;5.616351615707144E-01;1.018452118850029E+02;-5.010914214213286E+00;1.018452118850029E+02;
9.380000000000000E+07;5.389388713472880E-01;1.022033967571320E+02;-5.369209829552211E+00;1.022033967571320E+02;
9.440000000000000E+07;5.384780036562579E-01;1.038992106748755E+02;-5.376640650878771E+00;1.038992106748755E+02;
9.500000000000000E+07;5.637084385713100E-01;1.044870198851519E+02;-4.978909277074180E+00;1.044870198851519E+02;
9.560000000000000E+07;6.016860436261745E-01;1.027828426759330E+02;-4.412601240881029E+00;1.027828426759330E+02;
9.620000000000000E+07;6.338886055188224E-01;9.931256260678596E+01;-3.959741096593165E+00;9.931256260678596E+01;
9.680000000000000E+07;6.572751088709367E-01;9.513734768266664E+01;-3.645056284399882E+00;9.513734768266664E+01;
9.740000000000000E+07;6.722123678241503E-01;9.079008638437702E+01;-3.449870026906278E+00;9.079008638437702E+01;
9.800000000000000E+07;6.843569057730018E-01;8.655444694578746E+01;-3.294346919329405E+00;8.655444694578746E+01;
9.860000000000000E+07;6.906840767217095E-01;8.230710273982885E+01;-3.214411125182106E+00;8.230710273982885E+01;
9.920000000000000E+07;6.935481236819460E-01;7.816213761409328E+01;-3.178467977339366E+00;7.816213761409328E+01;
