# Version 1.00
#
# Ref Impedances: Z01: 50
# 
freq[Hz];mag:Smith_S11[U];ang:Smith_S11[°];Magnitude_S11[dB];Phase_S11[°];
8.000000000000000E+07;9.371480494712341E-01;-1.458563937278876E+02;-5.638358879145919E-01;-1.458563937278876E+02;
8.060000000000000E+07;9.365988910183741E-01;-1.496557184407876E+02;-5.689272156161630E-01;-1.496557184407876E+02;
8.120000000000000E+07;9.357127856425032E-01;-1.534710904816226E+02;-5.771487250721891E-01;-1.534710904816226E+02;
8.180000000000000E+07;9.351670640119045E-01;-1.572391537062078E+02;-5.822159430357540E-01;-1.572391537062078E+02;
8.240000000000000E+07;9.346793162406754E-01;-1.609711332346566E+02;-5.867473563678200E-01;-1.609711332346566E+02;
8.300000000000000E+07;9.339472073857961E-01;-1.647002628627858E+02;-5.935534430432454E-01;-1.647002628627858E+02;
8.360000000000000E+07;9.333957373857930E-01;-1.684575464594128E+02;-5.986837354851320E-01;-1.684575464594128E+02;
8.420000000000000E+07;9.326822637530442E-01;-1.722787588828971E+02;-6.053256374119699E-01;-1.722787588828971E+02;
8.480000000000000E+07;9.320839438886750E-01;-1.760309275613404E+02;-6.108994626638589E-01;-1.760309275613404E+02;
8.540000000000000E+07;9.312306619791536E-01;-1.797652379745635E+02;-6.188546549765286E-01;-1.797652379745635E+02;
8.600000000000000E+07;9.308608993935407E-01;1.765177095353503E+02;-6.223042351365572E-01;1.765177095353503E+02;
8.660000000000000E+07;9.300246562699286E-01;1.727950282300565E+02;-6.301107506410865E-01;1.727950282300565E+02;
8.720000000000000E+07;9.294358187724823E-01;1.690852451963245E+02;-6.356118922433784E-01;1.690852451963245E+02;
8.780000000000000E+07;9.284933541590482E-01;1.653633987980103E+02;-6.444240089176688E-01;1.653633987980103E+02;
8.840000000000000E+07;9.278465072195748E-01;1.616556673503338E+02;-6.504772553875353E-01;1.616556673503338E+02;
8.900000000000000E+07;9.269299043041438E-01;1.579453695369741E+02;-6.590621310243140E-01;1.579453695369741E+02;
8.960000000000000E+07;9.262621254481175E-01;1.542366695007520E+02;-6.653218748652128E-01;1.542366695007520E+02;
9.020000000000000E+07;9.251432953160121E-01;1.505289603675520E+02;-6.758198847826637E-01;1.505289603675520E+02;
9.080000000000000E+07;9.246693701408586E-01;1.468164758420380E+02;-6.802705645028562E-01;1.468164758420380E+02;
9.140000000000000E+07;9.240911450721994E-01;1.431073419133373E+02;-6.857038256037655E-01;1.431073419133373E+02;
9.200000000000000E+07;9.237937830182045E-01;1.393989371810872E+02;-6.884992962162262E-01;1.393989371810872E+02;
9.260000000000000E+07;9.231761001664345E-01;1.356623334366986E+02;-6.943089472892218E-01;1.356623334366986E+02;
9.320000000000000E+07;9.227051007875156E-01;1.319431553880421E+02;-6.987415713514421E-01;1.319431553880421E+02;
9.380000000000000E+07;9.219373833403703E-01;1.282276375081390E+02;-7.059714920125000E-01;1.282276375081390E+02;
9.440000000000000E+07;9.215463372736094E-01;1.244958512307783E+02;-7.096564532543583E-01;1.244958512307783E+02;
9.500000000000000E+07;9.206945564753652E-01;1.207567106748253E+02;-7.176884913680338E-01;1.207567106748253E+02;
9.560000000000000E+07;9.197434139950814E-01;1.170166141985682E+02;-7.266662667474635E-01;1.170166141985682E+02;
9.620000000000000E+07;9.188889211238876E-01;1.133019377513189E+02;-7.347396930310018E-01;1.133019377513189E+02;
9.680000000000000E+07;9.179492793254901E-01;1.095830536336574E+02;-7.436262957487906E-01;1.095830536336574E+02;
9.740000000000000E+07;9.168198913471284E-01;1.058644876110676E+02;-7.543194562121069E-01;1.058644876110676E+02;
9.800000000000000E+07;9.159324382297029E-01;1.021608939151996E+02;-7.627311988299924E-01;1.021608939151996E+02;
9.860000000000000E+07;9.152289407361754E-01;9.846787732920224E+01;-7.694051074873637E-01;9.846787732920224E+01;
9.920000000000000E+07;9.148164913616185E-01;9.476373834279343E+01;-7.733202996968170E-01;9.476373834279343E+01;
9.980000000000000E+07;9.144057704338299E-01;9.104544707282665E+01;-7.772208390520137E-01;9.104544707282665E+01;
1.004000000000000E+08;9.145830839877446E-01;8.733075284891437E+01;-7.755367107297026E-01;8.733075284891437E+01;
1.010000000000000E+08;9.151235877013728E-01;8.359264425572579E+01;-7.704050075832456E-01;8.359264425572579E+01;
1.016000000000000E+08;9.155140942285560E-01;7.984735845768648E+01;-7.666993079978095E-01;7.984735845768648E+01;
1.022000000000000E+08;9.159176590923243E-01;7.609568922158839E+01;-7.628713521715866E-01;7.609568922158839E+01;
1.028000000000000E+08;9.163815358908275E-01;7.231469893029387E+01;-7.584733992885959E-01;7.231469893029387E+01;
1.034000000000000E+08;9.168770483650855E-01;6.853679398634510E+01;-7.537779713686463E-01;6.853679398634510E+01;
1.040000000000000E+08;9.170660681256370E-01;6.475375203150620E+01;-7.519875071272919E-01;6.475375203150620E+01;
1.046000000000000E+08;9.171991303305669E-01;6.094570856058984E+01;-7.507273146207570E-01;6.094570856058984E+01;
1.052000000000000E+08;9.175060992958838E-01;5.711952255855574E+01;-7.478208002260972E-01;5.711952255855574E+01;
1.058000000000000E+08;9.171790131849129E-01;5.330499974912898E+01;-7.509178263836753E-01;5.330499974912898E+01;
1.064000000000000E+08;9.168379369852002E-01;4.946915131499200E+01;-7.541484947400992E-01;4.946915131499200E+01;
1.070000000000000E+08;9.169575270405451E-01;4.566531569129821E+01;-7.530156028288846E-01;4.566531569129821E+01;
1.076000000000000E+08;9.171969906236439E-01;4.180158438122729E+01;-7.507475777013186E-01;4.180158438122729E+01;
1.082000000000000E+08;9.169349967420645E-01;3.789570414245071E+01;-7.532290239357241E-01;3.789570414245071E+01;
1.088000000000000E+08;9.164993753037946E-01;3.398125837019050E+01;-7.573565344326144E-01;3.398125837019050E+01;
1.094000000000000E+08;9.158390711121779E-01;3.005605594527125E+01;-7.636166547672791E-01;3.005605594527125E+01;
1.100000000000000E+08;9.151160489035655E-01;2.609814371251857E+01;-7.704765623288092E-01;2.609814371251857E+01;
1.106000000000000E+08;9.137960594562341E-01;2.212679705572086E+01;-7.830143815069796E-01;2.212679705572086E+01;
1.112000000000000E+08;9.124165716333057E-01;1.811289283110085E+01;-7.961367102676358E-01;1.811289283110085E+01;
1.118000000000000E+08;9.106723181541713E-01;1.408228302401256E+01;-8.127572907870553E-01;1.408228302401256E+01;
1.124000000000000E+08;9.085403985761583E-01;1.001055874681163E+01;-8.331151373197778E-01;1.001055874681163E+01;
1.130000000000000E+08;9.056868755635682E-01;5.886092490563542E+00;-8.604385126863457E-01;5.886092490563542E+00;
1.136000000000000E+08;9.019888918739548E-01;1.706780079694782E+00;-8.959762165126273E-01;1.706780079694782E+00;
1.142000000000000E+08;8.965039794559577E-01;-2.523763973143984E+00;-9.489555664993761E-01;-2.523763973143984E+00;
1.148000000000000E+08;8.893224729133361E-01;-6.788976556442961E+00;-1.018814661075935E+00;-6.788976556442961E+00;
1.154000000000000E+08;8.796218008911270E-01;-1.110449262835644E+01;-1.114080309067449E+00;-1.110449262835644E+01;
1.160000000000000E+08;8.660872723053469E-01;-1.540686290092698E+01;-1.248766871640200E+00;-1.540686290092698E+01;
1.166000000000000E+08;8.470489279456687E-01;-1.966936842087366E+01;-1.441830057303270E+00;-1.966936842087366E+01;
1.172000000000000E+08;8.202941731918548E-01;-2.372365383071209E+01;-1.720607467374146E+00;-2.372365383071209E+01;
1.178000000000000E+08;7.845170103621234E-01;-2.665491759626692E+01;-2.107952706899344E+00;-2.665491759626692E+01;
1.184000000000000E+08;7.576909154552240E-01;-2.759263674702428E+01;-2.410158396263079E+00;-2.759263674702428E+01;
1.190000000000000E+08;7.605246086645588E-01;-2.797267764981859E+01;-2.377734574118032E+00;-2.797267764981859E+01;
1.196000000000000E+08;7.867436168902033E-01;-2.956344065440804E+01;-2.083335439489192E+00;-2.956344065440804E+01;
1.202000000000000E+08;8.136161893196034E-01;-3.250812905339225E+01;-1.791608368318369E+00;-3.250812905339225E+01;
1.208000000000000E+08;8.375055086710953E-01;-3.616346301426861E+01;-1.540246554417176E+00;-3.616346301426861E+01;
1.214000000000000E+08;8.565058978415397E-01;-4.018044620583110E+01;-1.345392843316361E+00;-4.018044620583110E+01;
1.220000000000000E+08;8.715475275909087E-01;-4.441929617111964E+01;-1.194178495631485E+00;-4.441929617111964E+01;
1.226000000000000E+08;8.821946206934311E-01;-4.877034846055842E+01;-1.088711894432256E+00;-4.877034846055842E+01;
1.232000000000000E+08;8.895239208806074E-01;-5.309133012324060E+01;-1.016847369436684E+00;-5.309133012324060E+01;
1.238000000000000E+08;8.948323783707739E-01;-5.735897032022179E+01;-9.651661979597936E-01;-5.735897032022179E+01;
1.244000000000000E+08;8.985696905690602E-01;-6.158956158521997E+01;-9.289646915036903E-01;-6.158956158521997E+01;
1.250000000000000E+08;9.016330374917935E-01;-6.576976970554418E+01;-8.994036664459616E-01;-6.576976970554418E+01;
1.256000000000000E+08;9.039765949886008E-01;-6.992860464466351E+01;-8.768562754238395E-01;-6.992860464466351E+01;
1.262000000000000E+08;9.054913314739429E-01;-7.407791489054800E+01;-8.623140590923933E-01;-7.407791489054800E+01;
1.268000000000000E+08;9.065462989169547E-01;-7.820950289934822E+01;-8.522002163516122E-01;-7.820950289934822E+01;
1.274000000000000E+08;9.074770926918463E-01;-8.232957532105121E+01;-8.432865796791977E-01;-8.232957532105121E+01;
1.280000000000000E+08;9.080086924345881E-01;-8.643052645089440E+01;-8.381998785142817E-01;-8.643052645089440E+01;
1.286000000000000E+08;9.082471487213835E-01;-9.052839038170288E+01;-8.359191370509105E-01;-9.052839038170288E+01;
1.292000000000000E+08;9.082202303793482E-01;-9.461074854484082E+01;-8.361765705186014E-01;-9.461074854484082E+01;
1.298000000000000E+08;9.080653156499117E-01;-9.867060536914150E+01;-8.376582453019543E-01;-9.867060536914150E+01;
1.304000000000000E+08;9.079164656677897E-01;-1.027067798162888E+02;-8.390821522304653E-01;-1.027067798162888E+02;
1.310000000000000E+08;9.077155678906330E-01;-1.067338328772624E+02;-8.410043213658237E-01;-1.067338328772624E+02;
1.316000000000000E+08;9.074008810509758E-01;-1.107488499941526E+02;-8.440160677348161E-01;-1.107488499941526E+02;
1.322000000000000E+08;9.073219773924629E-01;-1.147634544721364E+02;-8.447713879944649E-01;-1.147634544721364E+02;
1.328000000000000E+08;9.070496318355808E-01;-1.187656368003790E+02;-8.473789723021448E-01;-1.187656368003790E+02;
1.334000000000000E+08;9.069801606687949E-01;-1.227496975191577E+02;-8.480442523218203E-01;-1.227496975191577E+02;
1.340000000000000E+08;9.066836754941381E-01;-1.267187697093061E+02;-8.508840702395448E-01;-1.267187697093061E+02;
1.346000000000000E+08;9.066421709961957E-01;-1.306939409599317E+02;-8.512816860231293E-01;-1.306939409599317E+02;
1.352000000000000E+08;9.066876658340202E-01;-1.346527198159877E+02;-8.508458434836186E-01;-1.346527198159877E+02;
1.358000000000000E+08;9.064026506338417E-01;-1.385917591078063E+02;-8.535766623201958E-01;-1.385917591078063E+02;
1.364000000000000E+08;9.063182331036671E-01;-1.425193505538778E+02;-8.543856576351637E-01;-1.425193505538778E+02;
1.370000000000000E+08;9.064079608985964E-01;-1.464371848046083E+02;-8.535257751802873E-01;-1.464371848046083E+02;
1.376000000000000E+08;9.063192769645811E-01;-1.503465931306400E+02;-8.543756535823441E-01;-1.503465931306400E+02;
1.382000000000000E+08;9.063547974256614E-01;-1.542390890801950E+02;-8.540352429048438E-01;-1.542390890801950E+02;
1.388000000000000E+08;9.062372308375400E-01;-1.581143388820714E+02;-8.551619944242752E-01;-1.581143388820714E+02;
1.394000000000000E+08;9.060030642907060E-01;-1.620088563282355E+02;-8.574066689296540E-01;-1.620088563282355E+02;
1.400000000000000E+08;9.054486087990201E-01;-1.658740774303589E+02;-8.627238843231900E-01;-1.658740774303589E+02;
1.406000000000000E+08;9.049458049319766E-01;-1.697208029015653E+02;-8.675485777467874E-01;-1.697208029015653E+02;
1.412000000000000E+08;9.042899431361388E-01;-1.735426679994156E+02;-8.738459808708339E-01;-1.735426679994156E+02;
1.418000000000000E+08;9.034506675606393E-01;-1.773487473201963E+02;-8.819111374594936E-01;-1.773487473201963E+02;
1.424000000000000E+08;9.025656319175286E-01;1.788769229329387E+02;-8.904241531386972E-01;1.788769229329387E+02;
1.430000000000000E+08;9.018814304273942E-01;1.751151242880999E+02;-8.970111005114789E-01;1.751151242880999E+02;
1.436000000000000E+08;9.011220386318423E-01;1.713715291791605E+02;-9.043277738639579E-01;1.713715291791605E+02;
1.442000000000000E+08;9.003131558848197E-01;1.676391372262596E+02;-9.121280730524529E-01;1.676391372262596E+02;
1.448000000000000E+08;8.995402049658590E-01;1.639224657426507E+02;-9.195884216969661E-01;1.639224657426507E+02;
1.454000000000000E+08;8.984098901031623E-01;1.602078371136244E+02;-9.305095161967346E-01;1.602078371136244E+02;
1.460000000000000E+08;8.967455964510431E-01;1.565114455327481E+02;-9.466149457682878E-01;1.565114455327481E+02;
1.466000000000000E+08;8.952901808914567E-01;1.528661434654063E+02;-9.607235722448193E-01;1.528661434654063E+02;
1.472000000000000E+08;8.935514889475501E-01;1.492284821870309E+02;-9.776083433788199E-01;1.492284821870309E+02;
1.478000000000000E+08;8.919834134166116E-01;1.456346655614975E+02;-9.928644265720139E-01;1.456346655614975E+02;
1.484000000000000E+08;8.902468407751722E-01;1.420797606418473E+02;-1.009791176693254E+00;1.420797606418473E+02;
1.490000000000000E+08;8.889812066222769E-01;1.385208914564155E+02;-1.022148401439667E+00;1.385208914564155E+02;
1.496000000000000E+08;8.878333334039804E-01;1.349704775014673E+02;-1.033371071285122E+00;1.349704775014673E+02;
1.502000000000000E+08;8.862991893275708E-01;1.313654557053507E+02;-1.048392958643859E+00;1.313654557053507E+02;
1.508000000000000E+08;8.845187718550446E-01;1.276703134618671E+02;-1.065858915310119E+00;1.276703134618671E+02;
1.514000000000000E+08;8.828832813852154E-01;1.239585263786416E+02;-1.081934141378543E+00;1.239585263786416E+02;
1.520000000000000E+08;8.816403100153652E-01;1.202425529253376E+02;-1.094171227898851E+00;1.202425529253376E+02;
1.526000000000000E+08;8.802020063007228E-01;1.164984928408844E+02;-1.108352917135186E+00;1.164984928408844E+02;
1.532000000000000E+08;8.791067659531946E-01;1.127530171250731E+02;-1.119167548614068E+00;1.127530171250731E+02;
1.538000000000000E+08;8.777722198869363E-01;1.090008261530071E+02;-1.132363360245230E+00;1.090008261530071E+02;
1.544000000000000E+08;8.763457196091038E-01;1.052441316617049E+02;-1.146490604981031E+00;1.052441316617049E+02;
1.550000000000000E+08;8.750691557641073E-01;1.014874071321836E+02;-1.159152476012330E+00;1.014874071321836E+02;
1.556000000000000E+08;8.736340675060048E-01;9.772509033660064E+01;-1.173408778469151E+00;9.772509033660064E+01;
1.562000000000000E+08;8.722119127501281E-01;9.395011156600495E+01;-1.187559719766093E+00;9.395011156600495E+01;
1.568000000000000E+08;8.709088894868307E-01;9.017892481964850E+01;-1.200545530450500E+00;9.017892481964850E+01;
1.574000000000000E+08;8.694160870671257E-01;8.640649906984274E+01;-1.215446563790559E+00;8.640649906984274E+01;
1.580000000000000E+08;8.680950571979275E-01;8.265095307472619E+01;-1.228654331581001E+00;8.265095307472619E+01;
1.586000000000000E+08;8.666126817052603E-01;7.889592031671350E+01;-1.243499198848080E+00;7.889592031671350E+01;
1.592000000000000E+08;8.654125703280691E-01;7.510925822914567E+01;-1.255536017170027E+00;7.510925822914567E+01;
1.598000000000000E+08;8.644702738582229E-01;7.138109148283648E+01;-1.264998720358787E+00;7.138109148283648E+01;
1.604000000000000E+08;8.632238187873091E-01;6.765107916783380E+01;-1.277531694927903E+00;6.765107916783380E+01;
1.610000000000000E+08;8.625238774661379E-01;6.394160803117266E+01;-1.284577468090899E+00;6.394160803117266E+01;
1.616000000000000E+08;8.621971289857577E-01;6.025063635462975E+01;-1.287868552577406E+00;6.025063635462975E+01;
1.622000000000000E+08;8.619979189626625E-01;5.654979771408932E+01;-1.289875652974962E+00;5.654979771408932E+01;
1.628000000000000E+08;8.620617082159109E-01;5.283797640978658E+01;-1.289232906743533E+00;5.283797640978658E+01;
1.634000000000000E+08;8.620953551679472E-01;4.913438092329265E+01;-1.288893896199438E+00;4.913438092329265E+01;
1.640000000000000E+08;8.619962247720797E-01;4.542177812099689E+01;-1.289892724439481E+00;4.542177812099689E+01;
1.646000000000000E+08;8.620472640765908E-01;4.172172472040054E+01;-1.289378443020033E+00;4.172172472040054E+01;
1.652000000000000E+08;8.620886496845687E-01;3.803088841503047E+01;-1.288961456376812E+00;3.803088841503047E+01;
1.658000000000000E+08;8.620909016591327E-01;3.434937983953497E+01;-1.288938766857596E+00;3.434937983953497E+01;
1.664000000000000E+08;8.622480133780629E-01;3.068330169407425E+01;-1.287355951503433E+00;3.068330169407425E+01;
1.670000000000000E+08;8.627625308217477E-01;2.702323368023504E+01;-1.282174485360793E+00;2.702323368023504E+01;
1.676000000000000E+08;8.635069495465225E-01;2.330362805185789E+01;-1.274683257180910E+00;2.330362805185789E+01;
1.682000000000000E+08;8.646317119807988E-01;1.963054100454948E+01;-1.263376799001194E+00;1.963054100454948E+01;
1.688000000000000E+08;8.658423811837217E-01;1.594646727302354E+01;-1.251223203819362E+00;1.594646727302354E+01;
1.694000000000000E+08;8.672025458771799E-01;1.225109023626128E+01;-1.237589116602976E+00;1.225109023626128E+01;
1.700000000000000E+08;8.689008154650784E-01;8.519949583055443E+00;-1.220595903814321E+00;8.519949583055443E+00;
1.706000000000000E+08;8.707125605488115E-01;4.748293636656592E+00;-1.202503810759440E+00;4.748293636656592E+00;
1.712000000000000E+08;8.723042615832243E-01;9.407510029539893E-01;-1.186640116055875E+00;9.407510029539893E-01;
1.718000000000000E+08;8.737937855489915E-01;-2.910104169480030E+00;-1.171820966650736E+00;-2.910104169480030E+00;
1.724000000000000E+08;8.748776569641405E-01;-6.802348372361841E+00;-1.161053490873895E+00;-6.802348372361841E+00;
1.730000000000000E+08;8.753027840639370E-01;-1.071730889197672E+01;-1.156833803512473E+00;-1.071730889197672E+01;
1.736000000000000E+08;8.751648356986720E-01;-1.465051331641255E+01;-1.158202814016177E+00;-1.465051331641255E+01;
1.742000000000000E+08;8.746621264813829E-01;-1.859155480215971E+01;-1.163193566811644E+00;-1.859155480215971E+01;
1.748000000000000E+08;8.737409686973380E-01;-2.252790561447592E+01;-1.172346004958006E+00;-2.252790561447592E+01;
1.754000000000000E+08;8.723405877967821E-01;-2.648660662885251E+01;-1.186278408649246E+00;-2.648660662885251E+01;
1.760000000000000E+08;8.707936547353355E-01;-3.046703310046160E+01;-1.201694884384370E+00;-3.046703310046160E+01;
1.766000000000000E+08;8.691735443738849E-01;-3.447592374002473E+01;-1.217870021335200E+00;-3.447592374002473E+01;
1.772000000000000E+08;8.674520528437097E-01;-3.851978206599404E+01;-1.235090417447823E+00;-3.851978206599404E+01;
1.778000000000000E+08;8.651870272892646E-01;-4.260320560629156E+01;-1.257800020880045E+00;-4.260320560629156E+01;
1.784000000000000E+08;8.620845926077160E-01;-4.671302947915654E+01;-1.289002333152917E+00;-4.671302947915654E+01;
1.790000000000000E+08;8.579577863110407E-01;-5.082959326295396E+01;-1.330681600209751E+00;-5.082959326295396E+01;
1.796000000000000E+08;8.529888591952424E-01;-5.494564611070476E+01;-1.381132821470804E+00;-5.494564611070476E+01;
1.802000000000000E+08;8.476675601453352E-01;-5.903203750136446E+01;-1.435488735566819E+00;-5.903203750136446E+01;
1.808000000000000E+08;8.416393007456936E-01;-6.307641309040337E+01;-1.497479862607061E+00;-6.307641309040337E+01;
1.814000000000000E+08;8.349595537665038E-01;-6.712785171227159E+01;-1.566691232877920E+00;-6.712785171227159E+01;
1.820000000000000E+08;8.273630544722633E-01;-7.114149061649053E+01;-1.646077524673516E+00;-7.114149061649053E+01;
1.826000000000000E+08;8.189620352626144E-01;-7.514885796020025E+01;-1.734724608457392E+00;-7.514885796020025E+01;
1.832000000000000E+08;8.089416694242874E-01;-7.911392758347978E+01;-1.841655860967664E+00;-7.911392758347978E+01;
1.838000000000000E+08;7.976011162565187E-01;-8.299989944725161E+01;-1.964284937867151E+00;-8.299989944725161E+01;
1.844000000000000E+08;7.848224836529648E-01;-8.671419296798165E+01;-2.104571274984511E+00;-8.671419296798165E+01;
