# Version 1.00
#
freq[Hz];re:Smith_S11;im:Smith_S11;re:Magnitude_Z<-S11[Ohm];im:Magnitude_Z<-S11[Ohm];re:Phase_S11;im:Phase_S11;
8.000000000000000E+07;-8.031208719915487E-01;-4.434791040316126E-01;2.295923539220257E+00;-1.286222664044888E+01;-8.031208719915487E-01;-4.434791040316126E-01;
8.050000000000000E+07;-8.262725563259264E-01;-3.969669671338749E-01;2.285965566732031E+00;-1.136511694423537E+01;-8.262725563259264E-01;-3.969669671338749E-01;
8.100000000000000E+07;-8.465884297280574E-01;-3.496765828011155E-01;2.279259748178137E+00;-9.899787416520859E+00;-8.465884297280574E-01;-3.496765828011155E-01;
8.150000000000000E+07;-8.640588329531556E-01;-3.020075124655860E-01;2.274218428512067E+00;-8.469264164085727E+00;-8.640588329531556E-01;-3.020075124655860E-01;
8.200000000000000E+07;-8.787067300285222E-01;-2.535935925030460E-01;2.275621299913661E+00;-7.056323583602957E+00;-8.787067300285222E-01;-2.535935925030460E-01;
8.250000000000000E+07;-8.907288588283164E-01;-2.046852832886020E-01;2.276988431894578E+00;-5.659367886989517E+00;-8.907288588283164E-01;-2.046852832886020E-01;
8.300000000000000E+07;-9.001140657109986E-01;-1.548096216237756E-01;2.281376202571082E+00;-4.259565367125341E+00;-9.001140657109986E-01;-1.548096216237756E-01;
8.350000000000000E+07;-9.066544746601717E-01;-1.036348400869519E-01;2.293392834815971E+00;-2.842369960611888E+00;-9.066544746601717E-01;-1.036348400869519E-01;
8.400000000000000E+07;-9.104516716109046E-01;-5.288388480323319E-02;2.303564874844689E+00;-1.447833379269625E+00;-9.104516716109046E-01;-5.288388480323319E-02;
8.450000000000000E+07;-9.112731883414188E-01;-2.157545709643650E-03;2.321077478265517E+00;-5.906278439197128E-02;-9.112731883414188E-01;-2.157545709643650E-03;
8.500000000000000E+07;-9.093188104516559E-01;4.811458551368902E-02;2.341461473110238E+00;1.318998016556328E+00;-9.093188104516559E-01;4.811458551368902E-02;
8.550000000000000E+07;-9.044813231555450E-01;9.802464977547047E-02;2.368997948627405E+00;2.695459714197085E+00;-9.044813231555450E-01;9.802464977547047E-02;
8.600000000000000E+07;-8.972271588270773E-01;1.476946227375293E-01;2.390998544758264E+00;4.078514651716403E+00;-8.972271588270773E-01;1.476946227375293E-01;
8.650000000000000E+07;-8.870503015025576E-01;1.967323417856476E-01;2.422979244508566E+00;5.465299712435138E+00;-8.870503015025576E-01;1.967323417856476E-01;
8.700000000000000E+07;-8.738846781480075E-01;2.453473262222390E-01;2.465678278327590E+00;6.869320206377805E+00;-8.738846781480075E-01;2.453473262222390E-01;
8.750000000000000E+07;-8.585723783920614E-01;2.927625773347771E-01;2.502026606001058E+00;8.270126470818296E+00;-8.585723783920614E-01;2.927625773347771E-01;
8.800000000000000E+07;-8.404920324593739E-01;3.394663755686104E-01;2.545726916232073E+00;9.691705888036772E+00;-8.404920324593739E-01;3.394663755686104E-01;
8.850000000000000E+07;-8.198428897620638E-01;3.849042501583083E-01;2.596928077193456E+00;1.112446644491906E+01;-8.198428897620638E-01;3.849042501583083E-01;
8.900000000000000E+07;-7.964341526999380E-01;4.291685742789759E-01;2.660330549875806E+00;1.258056631198146E+01;-7.964341526999380E-01;4.291685742789759E-01;
8.950000000000000E+07;-7.708817840216640E-01;4.721717501737684E-01;2.721000745761756E+00;1.405704627923054E+01;-7.708817840216640E-01;4.721717501737684E-01;
9.000000000000000E+07;-7.429964925554710E-01;5.135871545646039E-01;2.789144866741190E+00;1.555472246777653E+01;-7.429964925554710E-01;5.135871545646039E-01;
9.050000000000000E+07;-7.124205477671178E-01;5.535571286906344E-01;2.871911131116654E+00;1.709137591947863E+01;-7.124205477671178E-01;5.535571286906344E-01;
9.100000000000000E+07;-6.801790238389277E-01;5.917620249736293E-01;2.949312274231744E+00;1.864884146736273E+01;-6.801790238389277E-01;5.917620249736293E-01;
9.150000000000000E+07;-6.457135842900478E-01;6.282511746126337E-01;3.034966377650321E+00;2.024609885970779E+01;-6.457135842900478E-01;6.282511746126337E-01;
9.200000000000000E+07;-6.092588331896495E-01;6.626535637463976E-01;3.131478505511077E+00;2.187824783226954E+01;-6.092588331896495E-01;6.626535637463976E-01;
9.250000000000000E+07;-5.708541324092125E-01;6.949545758044514E-01;3.239464659676228E+00;2.355343428474556E+01;-5.708541324092125E-01;6.949545758044514E-01;
9.300000000000000E+07;-5.307564959145762E-01;7.249605900981414E-01;3.359084047583849E+00;2.527066398965092E+01;-5.307564959145762E-01;7.249605900981414E-01;
9.350000000000000E+07;-4.891328689315531E-01;7.528009337859856E-01;3.484627223124480E+00;2.703806903789062E+01;-4.891328689315531E-01;7.528009337859856E-01;
9.400000000000000E+07;-4.457819023500241E-01;7.784125547480356E-01;3.622720182353983E+00;2.887060527029602E+01;-4.457819023500241E-01;7.784125547480356E-01;
9.450000000000000E+07;-4.010166086160454E-01;8.013610077172967E-01;3.781270112553241E+00;3.076209985567919E+01;-4.010166086160454E-01;8.013610077172967E-01;
9.500000000000000E+07;-3.548454109630088E-01;8.218643957530540E-01;3.954964874659060E+00;3.272968579719360E+01;-3.548454109630088E-01;8.218643957530540E-01;
9.550000000000000E+07;-3.074637427621179E-01;8.396332755639749E-01;4.151719544700485E+00;3.477540842752917E+01;-3.074637427621179E-01;8.396332755639749E-01;
9.600000000000000E+07;-2.593345238794815E-01;8.543688910385546E-01;4.378471888234161E+00;3.689192493540184E+01;-2.593345238794815E-01;8.543688910385546E-01;
