# Version 1.00
#
freq[Hz];re:Smith_S11;im:Smith_S11;re:Magnitude_Z<-S11[Ohm];im:Magnitude_Z<-S11[Ohm];re:Phase_S11;im:Phase_S11;
8.000000000000000E+07;-8.905392160421322E-01;-1.932837639321108E-01;2.347797667840135E+00;-5.351901341659989E+00;-8.905392160421322E-01;-1.932837639321108E-01;
8.050000000000000E+07;-8.999049067234030E-01;-1.393371957714504E-01;2.352628644349406E+00;-3.839491355990138E+00;-8.999049067234030E-01;-1.393371957714504E-01;
8.100000000000000E+07;-9.058365629279289E-01;-8.567018421248680E-02;2.364586666023069E+00;-2.353865946929349E+00;-9.058365629279289E-01;-8.567018421248680E-02;
8.150000000000000E+07;-9.085099362243347E-01;-3.214703440928333E-02;2.382035823965460E+00;-8.823255651436094E-01;-9.085099362243347E-01;-3.214703440928333E-02;
8.200000000000000E+07;-9.081821579347809E-01;2.135582342036471E-02;2.399334997017198E+00;5.864382186404886E-01;-9.081821579347809E-01;2.135582342036471E-02;
8.250000000000000E+07;-9.047315721851525E-01;7.453002120899832E-02;2.420576504782819E+00;2.051158670199018E+00;-9.047315721851525E-01;7.453002120899832E-02;
8.300000000000000E+07;-8.983583069094648E-01;1.280190556798014E-01;2.438618850640415E+00;3.536288403500097E+00;-8.983583069094648E-01;1.280190556798014E-01;
8.350000000000000E+07;-8.882001416551797E-01;1.821549617797751E-01;2.472155856424565E+00;5.061997048761421E+00;-8.882001416551797E-01;1.821549617797751E-01;
8.400000000000000E+07;-8.749187742661988E-01;2.348733599717302E-01;2.511585929311130E+00;6.578190369600741E+00;-8.749187742661988E-01;2.348733599717302E-01;
8.450000000000000E+07;-8.586647480644702E-01;2.867476530454855E-01;2.551284076271723E+00;8.107410112065473E+00;-8.586647480644702E-01;2.867476530454855E-01;
8.500000000000000E+07;-8.392280760202335E-01;3.371602343174754E-01;2.602924290901840E+00;9.642966259019726E+00;-8.392280760202335E-01;3.371602343174754E-01;
8.550000000000000E+07;-8.168807388426728E-01;3.866410605766605E-01;2.654862440058742E+00;1.120521089970417E+01;-8.168807388426728E-01;3.866410605766605E-01;
8.600000000000000E+07;-7.911449798226836E-01;4.343143751271091E-01;2.729908206311452E+00;1.278587573374497E+01;-7.911449798226836E-01;4.343143751271091E-01;
8.650000000000000E+07;-7.625941121860321E-01;4.806574282817405E-01;2.807543374351570E+00;1.440055757403627E+01;-7.625941121860321E-01;4.806574282817405E-01;
8.700000000000000E+07;-7.313486775383402E-01;5.252811928222035E-01;2.890017423458667E+00;1.604652592572086E+01;-7.313486775383402E-01;5.252811928222035E-01;
8.750000000000000E+07;-6.974005717444743E-01;5.678574893172148E-01;2.983650809862801E+00;1.772543465849498E+01;-6.974005717444743E-01;5.678574893172148E-01;
8.800000000000000E+07;-6.605221038904077E-01;6.085332533667164E-01;3.091747059096033E+00;1.945658747275959E+01;-6.605221038904077E-01;6.085332533667164E-01;
8.850000000000000E+07;-6.209620583728226E-01;6.470695013822956E-01;3.212298839232358E+00;2.124174066842247E+01;-6.209620583728226E-01;6.470695013822956E-01;
8.900000000000000E+07;-5.788831090462521E-01;6.824788488254366E-01;3.364997843037588E+00;2.306724423538139E+01;-5.788831090462521E-01;6.824788488254366E-01;
8.950000000000000E+07;-5.343793721191243E-01;7.153108501814104E-01;3.537505323044382E+00;2.495859833955425E+01;-5.343793721191243E-01;7.153108501814104E-01;
9.000000000000000E+07;-4.882477496596597E-01;7.453340860610252E-01;3.719515555368121E+00;2.690344133848524E+01;-4.882477496596597E-01;7.453340860610252E-01;
9.050000000000000E+07;-4.399136946283858E-01;7.727859698800501E-01;3.918253115060578E+00;2.893733817742018E+01;-4.399136946283858E-01;7.727859698800501E-01;
9.100000000000000E+07;-3.897189421779142E-01;7.974274900827569E-01;4.133448348869713E+00;3.106203602486219E+01;-3.897189421779142E-01;7.974274900827569E-01;
9.150000000000000E+07;-3.371354829834954E-01;8.187542240705223E-01;4.392915524035986E+00;3.330584664872382E+01;-3.371354829834954E-01;8.187542240705223E-01;
9.200000000000000E+07;-2.832837145031046E-01;8.363603162130054E-01;4.693566201167862E+00;3.564568598966276E+01;-2.832837145031046E-01;8.363603162130054E-01;
9.250000000000000E+07;-2.280670963830161E-01;8.506785619808791E-01;5.025788632079371E+00;3.811620625881663E+01;-2.280670963830161E-01;8.506785619808791E-01;
9.300000000000000E+07;-1.716694350444790E-01;8.611701061860247E-01;5.413193807738883E+00;4.072836976728484E+01;-1.716694350444790E-01;8.611701061860247E-01;
9.350000000000000E+07;-1.126490188737289E-01;8.678465889784851E-01;5.879843831099665E+00;4.358529153295722E+01;-1.126490188737289E-01;8.678465889784851E-01;
9.400000000000000E+07;-5.422379366929864E-02;8.701230953302950E-01;6.420800676807787E+00;4.656795077167236E+01;-5.422379366929864E-02;8.701230953302950E-01;
9.450000000000000E+07;6.147594247576033E-03;8.674953675003524E-01;7.108409468859889E+00;4.984772424235628E+01;6.147594247576033E-03;8.674953675003524E-01;
9.500000000000000E+07;6.736629995659761E-02;8.591525548796988E-01;8.001457512632900E+00;5.343158885037695E+01;6.736629995659761E-02;8.591525548796988E-01;
9.550000000000000E+07;1.278612975388340E-01;8.453492100330909E-01;9.118380136695562E+00;5.730244031822089E+01;1.278612975388340E-01;8.453492100330909E-01;
9.600000000000000E+07;1.873379766999215E-01;8.254825438379737E-01;1.056321328346458E+01;6.151865588749884E+01;1.873379766999215E-01;8.254825438379737E-01;
9.650000000000000E+07;2.456796182636325E-01;7.998292711564675E-01;1.240622924615405E+01;6.617125834340733E+01;2.456796182636325E-01;7.998292711564675E-01;
9.700000000000000E+07;3.019998651938943E-01;7.672004973958502E-01;1.488191311904442E+01;7.131436447466112E+01;3.019998651938943E-01;7.672004973958502E-01;
9.750000000000000E+07;3.549028010113132E-01;7.270271462195292E-01;1.828456816018703E+01;7.695698384392512E+01;3.549028010113132E-01;7.270271462195292E-01;
9.800000000000000E+07;4.021357806522359E-01;6.797123688446636E-01;2.295915959412398E+01;8.294733418022423E+01;4.021357806522359E-01;6.797123688446636E-01;
9.850000000000000E+07;4.425437739285721E-01;6.252121670121107E-01;2.944959099082173E+01;8.910628068800661E+01;4.425437739285721E-01;6.252121670121107E-01;
9.900000000000000E+07;4.727905630981627E-01;5.660261188800203E-01;3.811269970829139E+01;9.460014550007207E+01;4.727905630981627E-01;5.660261188800203E-01;
9.950000000000000E+07;4.931019279550582E-01;5.031007187467106E-01;4.938086863566196E+01;9.863637128973151E+01;4.931019279550582E-01;5.031007187467106E-01;
1.000000000000000E+08;5.018175632061078E-01;4.373094370035139E-01;6.337136366706859E+01;9.951849675117701E+01;5.018175632061078E-01;4.373094370035139E-01;
1.005000000000000E+08;4.965482669129032E-01;3.708174195816500E-01;7.877017552427142E+01;9.484568443967541E+01;4.965482669129032E-01;3.708174195816500E-01;
1.010000000000000E+08;4.742565840497048E-01;3.057597426582321E-01;9.213308886067551E+01;8.266119052524368E+01;4.742565840497048E-01;3.057597426582321E-01;
1.015000000000000E+08;4.263470893315413E-01;2.477970520821777E-01;9.690928637379237E+01;6.345943236739124E+01;4.263470893315413E-01;2.477970520821777E-01;
1.020000000000000E+08;3.531517379758503E-01;2.181247342164908E-01;8.881129885255184E+01;4.680877950218304E+01;3.531517379758503E-01;2.181247342164908E-01;
1.025000000000000E+08;2.743575361263363E-01;2.353841332392474E-01;7.468883217959072E+01;4.044660304267532E+01;2.743575361263363E-01;2.353841332392474E-01;
1.030000000000000E+08;2.234871247090265E-01;2.976267586200309E-01;6.228522293128323E+01;4.303738934070172E+01;2.234871247090265E-01;2.976267586200309E-01;
1.035000000000000E+08;2.203773589673210E-01;3.753144984695738E-01;5.413401167271793E+01;5.013066874610258E+01;2.203773589673210E-01;3.753144984695738E-01;
1.040000000000000E+08;2.573388911989329E-01;4.393803667945927E-01;4.973952205075796E+01;5.900886321262611E+01;2.573388911989329E-01;4.393803667945927E-01;
1.045000000000000E+08;3.147556134805747E-01;4.782688608694611E-01;4.813023516679993E+01;6.849036156058652E+01;3.147556134805747E-01;4.782688608694611E-01;
1.050000000000000E+08;3.765451547718309E-01;4.957501872788532E-01;4.826478040333343E+01;7.813682684595950E+01;3.765451547718309E-01;4.957501872788532E-01;
1.055000000000000E+08;4.405834580438409E-01;4.999682889159712E-01;4.937848264805112E+01;8.881769879537364E+01;4.405834580438409E-01;4.999682889159712E-01;
1.060000000000000E+08;5.059034037099054E-01;4.895951612985767E-01;5.212091532197861E+01;1.011905493468884E+02;5.059034037099054E-01;4.895951612985767E-01;
1.065000000000000E+08;5.676906195992986E-01;4.655024716367595E-01;5.711758453546579E+01;1.153421660913327E+02;5.676906195992986E-01;4.655024716367595E-01;
1.070000000000000E+08;6.248790368445496E-01;4.310834992125365E-01;6.487442450242024E+01;1.320120007902846E+02;6.248790368445496E-01;4.310834992125365E-01;
1.075000000000000E+08;6.749421290434098E-01;3.877280981538181E-01;7.697786487963111E+01;1.514588338148153E+02;6.749421290434098E-01;3.877280981538181E-01;
1.080000000000000E+08;7.168332143166641E-01;3.380361977632245E-01;9.562304939849952E+01;1.738405223146618E+02;7.168332143166641E-01;3.380361977632245E-01;
1.085000000000000E+08;7.505421746571515E-01;2.852766578379443E-01;1.237026594770612E+02;1.986440557038998E+02;7.505421746571515E-01;2.852766578379443E-01;
1.090000000000000E+08;7.783736293036533E-01;2.319130934310338E-01;1.653762989117355E+02;2.253729264049666E+02;7.783736293036533E-01;2.319130934310338E-01;
1.095000000000000E+08;8.021865888329758E-01;1.766972955399000E-01;2.311763511187118E+02;2.511614380407387E+02;8.021865888329758E-01;1.766972955399000E-01;
