# Version 1.00
#
freq[Hz];re:Smith_S11;im:Smith_S11;re:Magnitude_Z<-S11[Ohm];im:Magnitude_Z<-S11[Ohm];re:Phase_S11;im:Phase_S11;
8.000000000000000E+07;-7.739767565336297E-01;-5.198244520493910E-01;1.913000391831492E+00;-1.521195071104194E+01;-7.739767565336297E-01;-5.198244520493910E-01;
8.050000000000000E+07;-8.010530571673848E-01;-4.756333268772370E-01;1.903259481475251E+00;-1.370693655287038E+01;-8.010530571673848E-01;-4.756333268772370E-01;
8.100000000000000E+07;-8.255532832205501E-01;-4.305490093508066E-01;1.891538870573368E+00;-1.223839964561311E+01;-8.255532832205501E-01;-4.305490093508066E-01;
8.150000000000000E+07;-8.473295228554730E-01;-3.848485021779689E-01;1.880571286711444E+00;-1.080812053551006E+01;-8.473295228554730E-01;-3.848485021779689E-01;
8.200000000000000E+07;-8.663451541536319E-01;-3.381217448375093E-01;1.877930643902925E+00;-9.398613321248412E+00;-8.663451541536319E-01;-3.381217448375093E-01;
8.250000000000000E+07;-8.829674722801591E-01;-2.907419605817106E-01;1.870990509130430E+00;-8.009205522641142E+00;-8.829674722801591E-01;-2.907419605817106E-01;
8.300000000000000E+07;-8.970671656465364E-01;-2.419362231354942E-01;1.869326265184089E+00;-6.614983971273625E+00;-8.970671656465364E-01;-2.419362231354942E-01;
8.350000000000000E+07;-9.082754594861082E-01;-1.917862416013908E-01;1.879316977676597E+00;-5.213995270198176E+00;-9.082754594861082E-01;-1.917862416013908E-01;
8.400000000000000E+07;-9.169314122782467E-01;-1.415446878662895E-01;1.883824914499682E+00;-3.831060285095945E+00;-9.169314122782467E-01;-1.415446878662895E-01;
8.450000000000000E+07;-9.227467901044092E-01;-9.153073740762718E-02;1.891334488393523E+00;-2.470243162143352E+00;-9.227467901044092E-01;-9.153073740762718E-02;
8.500000000000000E+07;-9.258812019113734E-01;-4.139932214277198E-02;1.900300053694833E+00;-1.115664475616142E+00;-9.258812019113734E-01;-4.139932214277198E-02;
8.550000000000000E+07;-9.261497222370298E-01;8.729431631081920E-03;1.915977729221706E+00;2.352864748341939E-01;-9.261497222370298E-01;8.729431631081920E-03;
8.600000000000000E+07;-9.236249924499836E-01;5.864807455329250E-02;1.936907148139248E+00;1.583468510986660E+00;-9.236249924499836E-01;5.864807455329250E-02;
8.650000000000000E+07;-9.187996076881652E-01;1.084203231973639E-01;1.950053949402123E+00;2.935398577708085E+00;-9.187996076881652E-01;1.084203231973639E-01;
8.700000000000000E+07;-9.108865384966051E-01;1.578687368748976E-01;1.976971825966668E+00;4.294100525300275E+00;-9.108865384966051E-01;1.578687368748976E-01;
8.750000000000000E+07;-9.005090740363100E-01;2.065288655552008E-01;2.003361236578675E+00;5.651220164099413E+00;-9.005090740363100E-01;2.065288655552008E-01;
8.800000000000000E+07;-8.876823575147011E-01;2.546943567234752E-01;2.027868545492705E+00;7.019827492764282E+00;-8.876823575147011E-01;2.546943567234752E-01;
